datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,105.98,111.63,105.98,111.55,4019200,HIG,Hartford (The)
2025-01-30,114.3,114.65,113.25,114.26,1546000,HIG,Hartford (The)
2025-01-29,112.79,114.89,112.79,113.5,1299800,HIG,Hartford (The)
2025-01-28,114.42,114.85,112.85,113.42,1607300,HIG,Hartford (The)
2025-01-27,112.29,114.46,112.29,114.42,1328900,HIG,Hartford (The)
2025-01-24,111.019997,111.66,110.55,111.49,1404800,HIG,Hartford (The)
2025-01-23,111.099998,111.72,110.21,110.89,1667300,HIG,Hartford (The)
2025-01-22,113.25,113.7,111.46,111.56,1810700,HIG,Hartford (The)
2025-01-21,112.28,113.26,111.55,111.99,2079100,HIG,Hartford (The)
2025-01-17,112.62,113.41,111.87,111.93,1211300,HIG,Hartford (The)
2025-01-16,111.21,112.87,111.21,112.47,1268400,HIG,Hartford (The)
2025-01-15,111.21,111.69,110.55,111.23,1161200,HIG,Hartford (The)
2025-01-14,107.53,109.46,107.07,109.39,1786800,HIG,Hartford (The)
2025-01-13,105.66,107.63,105.55,107.48,1740000,HIG,Hartford (The)
2025-01-10,107.21,108.32,104.93,106.31,2819000,HIG,Hartford (The)
2025-01-08,108.87,109.52,107.86,109.42,1229100,HIG,Hartford (The)
2025-01-07,108.66,110.5,108.66,109.019997,1158400,HIG,Hartford (The)
2025-01-06,110.029999,110.8,108.35,108.65,1642200,HIG,Hartford (The)
2025-01-03,110.0,110.19,108.58,109.5,941700,HIG,Hartford (The)
2025-01-02,110.0,110.28,108.64,109.040001,1332200,HIG,Hartford (The)
2025-01-01,110.0,110.28,108.64,109.040001,1332178,HIG,Hartford (The)
2024-12-31,109.31,110.0,108.88,109.4,661200,HIG,Hartford (The)
2024-12-30,109.019997,109.75,108.24,109.27,847100,HIG,Hartford (The)
2024-12-29,109.019997,109.75,108.24,109.27,847509,HIG,Hartford (The)
2024-12-27,110.07,111.41,109.78,110.11,856000,HIG,Hartford (The)
2024-12-26,110.07,111.41,109.78,110.11,856215,HIG,Hartford (The)
2024-12-24,109.71,110.59,109.26,110.57,397800,HIG,Hartford (The)
2024-12-23,108.83,109.9,108.63,109.72,1095600,HIG,Hartford (The)
2024-12-20,106.65,109.78,106.11,109.47,5819000,HIG,Hartford (The)
2024-12-19,107.6,108.77,106.85,107.059998,1620300,HIG,Hartford (The)
2024-12-18,108.57,109.67,106.98,107.059998,1889000,HIG,Hartford (The)
2024-12-17,109.85,110.059998,108.51,109.050003,2117000,HIG,Hartford (The)
2024-12-16,112.0,112.77,110.69,110.73,1455100,HIG,Hartford (The)
2024-12-13,111.99,112.37,111.21,112.080002,1615700,HIG,Hartford (The)
2024-12-12,113.77,114.57,110.68,110.92,3065400,HIG,Hartford (The)
2024-12-11,113.29,113.55,111.6,113.029999,1875100,HIG,Hartford (The)
2024-12-10,115.56,115.56,111.34,112.98,2817900,HIG,Hartford (The)
2024-12-09,119.38,119.74,115.61,116.21,2023300,HIG,Hartford (The)
2024-12-06,120.82,121.59,119.089996,119.54,982200,HIG,Hartford (The)
2024-12-05,121.07,122.17,120.76,121.22,1087900,HIG,Hartford (The)
2024-12-04,120.46,120.99,119.78,120.6,1498600,HIG,Hartford (The)
2024-12-03,121.95,122.4,120.38,120.84,1156200,HIG,Hartford (The)
2024-12-02,123.47,123.54,121.11,121.22,1821400,HIG,Hartford (The)
2024-11-29,124.019997,124.71,123.2,123.31,816400,HIG,Hartford (The)
2024-11-27,123.28,124.9,122.63,123.74,1044600,HIG,Hartford (The)
2024-11-26,121.62,122.74,121.059998,122.62,1034400,HIG,Hartford (The)
2024-11-25,121.040001,122.33,120.8,121.52,3381200,HIG,Hartford (The)
2024-11-22,119.49,120.88,119.49,120.72,1063900,HIG,Hartford (The)
2024-11-21,118.85,120.059998,117.84,119.64,903900,HIG,Hartford (The)
2024-11-20,117.8,118.66,116.5,118.21,1584800,HIG,Hartford (The)
2024-11-19,116.93,117.31,115.8,116.82,1664600,HIG,Hartford (The)
2024-11-18,117.78,118.5,116.95,118.13,875900,HIG,Hartford (The)
2024-11-15,116.95,118.31,116.6,117.95,1260000,HIG,Hartford (The)
2024-11-14,117.28,117.62,116.07,116.43,1242300,HIG,Hartford (The)
2024-11-13,117.56,118.35,117.33,117.64,1126700,HIG,Hartford (The)
2024-11-12,117.57,118.51,117.38,117.9,1414800,HIG,Hartford (The)
2024-11-11,118.0,118.92,117.59,117.7,1059100,HIG,Hartford (The)
2024-11-08,116.010002,117.73,115.44,117.43,1615100,HIG,Hartford (The)
2024-11-07,115.99,116.19,114.83,115.19,1154500,HIG,Hartford (The)
2024-11-06,117.46,117.64,115.43,116.72,2309000,HIG,Hartford (The)
2024-11-05,111.12,111.78,110.6,111.63,1184100,HIG,Hartford (The)
2024-11-04,110.3,111.21,110.059998,111.16,1411400,HIG,Hartford (The)
2024-11-01,111.080002,111.43,109.93,110.089996,2056300,HIG,Hartford (The)
2024-10-31,112.15,113.019997,110.4,110.44,2486500,HIG,Hartford (The)
2024-10-30,112.93,113.81,112.36,112.72,1498500,HIG,Hartford (The)
2024-10-29,113.36,113.84,112.089996,112.14,2030400,HIG,Hartford (The)
2024-10-28,113.4,114.080002,112.81,113.39,1741300,HIG,Hartford (The)
2024-10-25,113.73,114.64,111.28,112.26,2956000,HIG,Hartford (The)
2024-10-24,120.0,120.75,119.77,120.46,1474800,HIG,Hartford (The)
