datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,196.13,198.22,194.23,197.25999,388500,HII,Huntington Ingalls Industries
2025-01-30,193.27,195.81,190.88,195.5,469300,HII,Huntington Ingalls Industries
2025-01-29,195.31,197.039993,191.94,192.89,559700,HII,Huntington Ingalls Industries
2025-01-28,203.2,203.2,193.78999,195.77,495100,HII,Huntington Ingalls Industries
2025-01-27,203.35001,206.60001,201.64,202.99001,414300,HII,Huntington Ingalls Industries
2025-01-24,203.71001,204.2,201.84,202.72,337900,HII,Huntington Ingalls Industries
2025-01-23,206.33,207.17,199.87,204.14,482200,HII,Huntington Ingalls Industries
2025-01-22,207.50999,207.67999,204.86,205.17,590100,HII,Huntington Ingalls Industries
2025-01-21,204.78999,209.24001,204.5,208.61,549100,HII,Huntington Ingalls Industries
2025-01-17,202.5,204.070007,200.58,202.55,640700,HII,Huntington Ingalls Industries
2025-01-16,198.19,202.32001,196.64999,201.020004,411100,HII,Huntington Ingalls Industries
2025-01-15,200.37,200.45,196.69,198.7,346300,HII,Huntington Ingalls Industries
2025-01-14,195.13,197.55,193.14,197.42999,429500,HII,Huntington Ingalls Industries
2025-01-13,190.55,195.88,189.039993,195.14,464000,HII,Huntington Ingalls Industries
2025-01-10,188.0099945,190.39999,187.0099945,190.020004,370200,HII,Huntington Ingalls Industries
2025-01-08,188.97,190.75,186.25,189.66,342100,HII,Huntington Ingalls Industries
2025-01-07,187.87,191.10001,187.34,189.050003,469800,HII,Huntington Ingalls Industries
2025-01-06,189.28999,190.31,186.3,186.7,493000,HII,Huntington Ingalls Industries
2025-01-03,187.86,188.94,187.28999,188.080002,403700,HII,Huntington Ingalls Industries
2025-01-02,189.84,190.99001,187.089996,187.61,328600,HII,Huntington Ingalls Industries
2024-12-31,188.89,190.83,187.33,188.97,342700,HII,Huntington Ingalls Industries
2024-12-30,188.25999,190.28999,186.36,188.41,366100,HII,Huntington Ingalls Industries
2024-12-27,190.55,192.41,189.089996,190.42,332400,HII,Huntington Ingalls Industries
2024-12-26,192.11,194.34,191.67999,191.83,359500,HII,Huntington Ingalls Industries
2024-12-24,190.0,192.47,189.8,192.46001,142000,HII,Huntington Ingalls Industries
2024-12-23,190.2,193.63,188.58,190.41,606800,HII,Huntington Ingalls Industries
2024-12-20,191.13,197.94,190.38,190.45,2470400,HII,Huntington Ingalls Industries
2024-12-19,194.42999,195.49001,187.39,187.61,716200,HII,Huntington Ingalls Industries
2024-12-18,196.0,206.12,194.23,194.44,988200,HII,Huntington Ingalls Industries
2024-12-17,196.45,197.98,193.2,193.49001,481100,HII,Huntington Ingalls Industries
2024-12-16,192.14,199.17,192.089996,198.27,752800,HII,Huntington Ingalls Industries
2024-12-13,190.3,193.37,190.3,192.14,523700,HII,Huntington Ingalls Industries
2024-12-12,191.10001,193.42,190.0,190.85001,511100,HII,Huntington Ingalls Industries
2024-12-11,191.25999,192.34,187.75,191.52,696100,HII,Huntington Ingalls Industries
2024-12-10,193.080002,193.42,188.53,190.98,536100,HII,Huntington Ingalls Industries
2024-12-09,187.89999,194.080002,187.88,193.25,824400,HII,Huntington Ingalls Industries
2024-12-06,190.0,191.34,187.75999,187.95,608900,HII,Huntington Ingalls Industries
2024-12-05,193.23,193.73,188.60001,188.88,685100,HII,Huntington Ingalls Industries
2024-12-04,191.50999,194.82001,190.5,192.89999,558700,HII,Huntington Ingalls Industries
2024-12-03,194.89999,194.97,190.67,191.87,471300,HII,Huntington Ingalls Industries
2024-12-02,198.020004,198.020004,194.56,194.84,537800,HII,Huntington Ingalls Industries
2024-11-29,198.2,200.070007,196.89999,197.92,271700,HII,Huntington Ingalls Industries
2024-11-27,198.45,201.45,198.45,199.37,595600,HII,Huntington Ingalls Industries
2024-11-26,198.020004,199.46001,196.49001,197.98,573800,HII,Huntington Ingalls Industries
2024-11-25,200.23,202.34,198.039993,198.88,939600,HII,Huntington Ingalls Industries
2024-11-22,196.0,200.77,195.46001,198.95,659000,HII,Huntington Ingalls Industries
2024-11-21,191.89999,195.60001,190.0,195.3,564200,HII,Huntington Ingalls Industries
2024-11-20,191.74001,192.34,189.070007,190.25,521700,HII,Huntington Ingalls Industries
2024-11-19,196.5,196.94,191.41,191.61,584100,HII,Huntington Ingalls Industries
2024-11-18,194.0,197.089996,192.72,196.3,520300,HII,Huntington Ingalls Industries
2024-11-15,195.0,196.82001,192.25999,193.56,493400,HII,Huntington Ingalls Industries
2024-11-14,203.75999,204.27,194.66,195.33,541100,HII,Huntington Ingalls Industries
2024-11-13,204.0099945,207.48,202.16,204.0,420900,HII,Huntington Ingalls Industries
2024-11-12,207.41,208.19,203.99001,204.60001,477500,HII,Huntington Ingalls Industries
2024-11-11,205.78,208.24001,204.41,206.63,505200,HII,Huntington Ingalls Industries
2024-11-10,205.78,208.24001,204.4144,206.63,505244,HII,Huntington Ingalls Industries
2024-11-08,199.029999,203.28,199.029999,202.66,431700,HII,Huntington Ingalls Industries
2024-11-07,203.27,204.42,196.78999,197.82001,795800,HII,Huntington Ingalls Industries
2024-11-06,203.27,204.41499,196.78999,197.82001,795820,HII,Huntington Ingalls Industries
2024-11-05,206.0,209.5399,200.0099945,203.21001,963187,HII,Huntington Ingalls Industries
2024-11-04,189.2,193.14999,188.28999,191.039993,849600,HII,Huntington Ingalls Industries
2024-11-01,185.12,191.56,185.0099945,189.23,1492500,HII,Huntington Ingalls Industries
2024-10-31,215.0,217.28,184.28999,184.96001,2606200,HII,Huntington Ingalls Industries
2024-10-30,255.74001,258.12,250.12,250.49001,726900,HII,Huntington Ingalls Industries
2024-10-29,254.91,258.12,253.25,253.75999,320200,HII,Huntington Ingalls Industries
2024-10-28,254.2,256.040009,253.22,255.16,241000,HII,Huntington Ingalls Industries
2024-10-25,257.23999,258.47,252.55,253.83,274100,HII,Huntington Ingalls Industries
2024-10-24,255.14999,257.56,254.050003,254.7,172400,HII,Huntington Ingalls Industries
2024-10-23,257.0,257.26999,253.070007,256.0,196100,HII,Huntington Ingalls Industries
2024-10-22,260.69,260.69,255.5,257.10999,175700,HII,Huntington Ingalls Industries
2024-10-21,262.82001,263.45999,259.76999,261.23999,185700,HII,Huntington Ingalls Industries
