datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,257.35001,258.31,255.50999,256.070007,1888300,HLT,Hilton Worldwide
2025-01-30,255.38,258.079987,255.38,256.79001,1019500,HLT,Hilton Worldwide
2025-01-29,254.14999,255.73,252.47,253.92999,1442900,HLT,Hilton Worldwide
2025-01-28,250.11,254.85001,249.55,253.66,1578800,HLT,Hilton Worldwide
2025-01-27,245.35001,249.97,245.33,249.72,1175500,HLT,Hilton Worldwide
2025-01-24,250.12,250.39,247.0,247.73,1061700,HLT,Hilton Worldwide
2025-01-23,248.059998,250.58,246.39999,250.11,1221900,HLT,Hilton Worldwide
2025-01-22,247.75,249.99001,246.8,248.0,1347000,HLT,Hilton Worldwide
2025-01-21,247.61,248.96001,244.8,247.5,2011700,HLT,Hilton Worldwide
2025-01-17,248.31,248.60001,246.48,246.61,1369200,HLT,Hilton Worldwide
2025-01-16,244.46001,248.19,244.46001,246.64999,2289700,HLT,Hilton Worldwide
2025-01-15,248.99001,249.45,242.82001,243.92,1815100,HLT,Hilton Worldwide
2025-01-14,244.029999,245.74001,241.86,244.97,1032400,HLT,Hilton Worldwide
2025-01-13,238.98,242.34,238.71001,241.47,1179700,HLT,Hilton Worldwide
2025-01-10,242.28,244.87,240.0099945,240.69,1387400,HLT,Hilton Worldwide
2025-01-08,241.56,244.27,241.56,243.3,1124900,HLT,Hilton Worldwide
2025-01-07,243.34,244.28,240.080002,241.38,1167800,HLT,Hilton Worldwide
2025-01-06,246.60001,246.94,242.61,243.55,1334800,HLT,Hilton Worldwide
2025-01-03,246.0,246.87,243.66,246.52,827800,HLT,Hilton Worldwide
2025-01-02,248.56,248.75,244.14,245.12,1120800,HLT,Hilton Worldwide
2024-12-31,248.64,250.039993,246.67,247.16,876700,HLT,Hilton Worldwide
2024-12-30,246.66,249.56,245.0099945,248.2,1146500,HLT,Hilton Worldwide
2024-12-27,249.2,251.85001,247.69,249.94,1288200,HLT,Hilton Worldwide
2024-12-26,251.0,252.89,251.0,251.75999,651300,HLT,Hilton Worldwide
2024-12-24,250.86,253.27,250.14,253.25999,460700,HLT,Hilton Worldwide
2024-12-23,247.75,251.34,247.080002,250.71001,1041700,HLT,Hilton Worldwide
