datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,30.24,30.34,29.93,29.98,11604200,HRL,Hormel Foods
2025-01-30,30.48,30.5,30.17,30.43,1736400,HRL,Hormel Foods
2025-01-29,30.54,30.55,30.040001,30.18,2098900,HRL,Hormel Foods
2025-01-28,31.29,31.45,30.36,30.46,2449200,HRL,Hormel Foods
2025-01-27,31.38,31.95,31.24,31.45,2775600,HRL,Hormel Foods
2025-01-24,30.78,31.030001,30.66,30.88,1518600,HRL,Hormel Foods
2025-01-23,30.3,30.93,30.18,30.86,2138400,HRL,Hormel Foods
2025-01-22,30.89,30.89,30.28,30.35,2217800,HRL,Hormel Foods
2025-01-21,29.91,30.89,29.87,30.86,3362300,HRL,Hormel Foods
2025-01-17,29.75,30.0,29.7,29.93,2515100,HRL,Hormel Foods
2025-01-16,29.45,29.94,29.12,29.89,2894800,HRL,Hormel Foods
2025-01-15,30.14,30.19,29.36,29.6,2851200,HRL,Hormel Foods
2025-01-14,29.95,30.32,29.72,30.01,2150300,HRL,Hormel Foods
2025-01-13,29.95,30.39,29.8,30.26,3314200,HRL,Hormel Foods
2025-01-10,30.28,30.6,29.82,30.049999,3194500,HRL,Hormel Foods
2025-01-08,30.18,30.47,29.99,30.44,2030000,HRL,Hormel Foods
2025-01-07,30.86,31.24,30.08,30.14,2262500,HRL,Hormel Foods
2025-01-06,31.32,31.33,30.51,30.68,2071300,HRL,Hormel Foods
2025-01-03,31.33,31.56,31.19,31.36,1817400,HRL,Hormel Foods
2025-01-02,31.49,31.72,31.38,31.52,1452200,HRL,Hormel Foods
2024-12-31,31.21,31.41,31.01,31.37,1529000,HRL,Hormel Foods
2024-12-30,31.75,31.77,31.11,31.2,1626300,HRL,Hormel Foods
2024-12-27,31.48,32.0,31.48,31.85,1718600,HRL,Hormel Foods
2024-12-26,31.45,31.77,31.38,31.68,1253000,HRL,Hormel Foods
2024-12-24,31.49,31.76,31.35,31.61,844000,HRL,Hormel Foods
2024-12-23,31.48,31.71,31.34,31.55,1845800,HRL,Hormel Foods
2024-12-20,31.64,31.89,31.52,31.68,4859800,HRL,Hormel Foods
2024-12-19,31.65,31.94,31.45,31.58,2889300,HRL,Hormel Foods
2024-12-18,31.75,32.16,31.34,31.9,4278500,HRL,Hormel Foods
2024-12-17,32.22,32.7,32.040001,32.15,2710000,HRL,Hormel Foods
2024-12-16,32.88,33.12,32.33,32.34,2665000,HRL,Hormel Foods
2024-12-13,33.0,33.11,32.63,32.94,2508600,HRL,Hormel Foods
2024-12-12,33.32,33.32,32.81,33.040001,1633600,HRL,Hormel Foods
2024-12-11,33.77,33.8,33.13,33.13,3725900,HRL,Hormel Foods
2024-12-10,33.19,33.76,32.93,33.55,2393700,HRL,Hormel Foods
2024-12-09,32.38,33.31,32.38,33.18,2633100,HRL,Hormel Foods
2024-12-06,32.98,33.049999,32.44,32.47,2147600,HRL,Hormel Foods
2024-12-05,32.14,32.92,32.0,32.86,3162900,HRL,Hormel Foods
2024-12-04,31.02,32.029999,30.84,31.99,4124700,HRL,Hormel Foods
2024-12-03,32.049999,32.18,31.69,31.82,2999400,HRL,Hormel Foods
2024-12-02,32.48,32.48,31.85,32.14,3020800,HRL,Hormel Foods
2024-11-29,31.9,32.49,31.85,32.43,1904800,HRL,Hormel Foods
2024-11-27,31.78,32.060001,31.68,31.92,2220600,HRL,Hormel Foods
2024-11-26,31.36,31.71,31.23,31.62,2312200,HRL,Hormel Foods
2024-11-25,30.98,31.46,30.95,31.43,4316800,HRL,Hormel Foods
2024-11-22,30.56,30.87,30.52,30.67,1999900,HRL,Hormel Foods
2024-11-21,30.19,30.56,30.01,30.5,2093500,HRL,Hormel Foods
2024-11-20,29.69,30.24,29.67,30.22,2590200,HRL,Hormel Foods
2024-11-19,29.15,29.77,29.09,29.73,1809100,HRL,Hormel Foods
2024-11-18,29.47,29.57,29.08,29.4,2885200,HRL,Hormel Foods
2024-11-15,30.33,30.68,29.18,29.21,4146000,HRL,Hormel Foods
2024-11-14,30.47,31.040001,30.38,30.41,2596900,HRL,Hormel Foods
2024-11-13,30.39,30.43,30.040001,30.39,2638600,HRL,Hormel Foods
2024-11-12,30.62,30.9,30.37,30.39,1898500,HRL,Hormel Foods
2024-11-11,30.37,30.72,30.27,30.36,1901500,HRL,Hormel Foods
2024-11-08,30.21,30.43,29.98,30.32,2147100,HRL,Hormel Foods
2024-11-07,30.68,30.88,30.22,30.27,2487400,HRL,Hormel Foods
2024-11-06,31.18,31.49,30.63,30.72,2872400,HRL,Hormel Foods
2024-11-05,30.75,31.12,30.43,31.1,1781100,HRL,Hormel Foods
2024-11-04,30.97,31.08,30.61,30.74,1983300,HRL,Hormel Foods
2024-11-01,30.67,30.97,30.53,30.92,1897300,HRL,Hormel Foods
2024-10-31,30.6,30.8,30.41,30.55,3654900,HRL,Hormel Foods
2024-10-30,30.67,30.89,30.58,30.62,1941900,HRL,Hormel Foods
2024-10-29,30.87,31.059999,30.62,30.69,2414100,HRL,Hormel Foods
2024-10-28,31.13,31.34,30.87,30.94,1612200,HRL,Hormel Foods
2024-10-25,31.2,31.44,31.040001,31.059999,1173800,HRL,Hormel Foods
2024-10-24,31.27,31.47,31.08,31.09,1383700,HRL,Hormel Foods
2024-10-23,30.97,31.27,30.88,31.19,1311100,HRL,Hormel Foods
2024-10-22,31.31,31.31,30.91,31.09,1409900,HRL,Hormel Foods
2024-10-21,31.72,31.88,31.25,31.32,1880400,HRL,Hormel Foods
2024-10-18,31.64,32.21,31.33,32.19,2855600,HRL,Hormel Foods
2024-10-17,31.2,31.62,31.13,31.56,1934900,HRL,Hormel Foods
2024-10-16,31.12,31.35,31.040001,31.23,2239400,HRL,Hormel Foods
2024-10-15,31.07,31.5,30.97,31.14,2068200,HRL,Hormel Foods
2024-10-14,31.14,31.25,30.91,31.23,1571500,HRL,Hormel Foods
2024-10-11,31.18,31.26,30.94,31.08,1814300,HRL,Hormel Foods
2024-10-10,31.11,31.33,30.88,30.99,1702300,HRL,Hormel Foods
2024-10-09,31.14,31.19,30.88,30.98,1914900,HRL,Hormel Foods
2024-10-08,31.2,31.26,30.77,31.07,1869300,HRL,Hormel Foods
2024-10-07,31.35,31.35,31.11,31.26,1620800,HRL,Hormel Foods
2024-10-06,31.35,31.35,31.105,31.26,1620855,HRL,Hormel Foods
2024-10-04,31.040001,31.43,31.0,31.35,1816800,HRL,Hormel Foods
2024-10-03,31.4,31.4,30.88,31.11,2163600,HRL,Hormel Foods
2024-10-02,31.52,31.72,31.38,31.54,1906800,HRL,Hormel Foods
2024-10-01,31.62,31.8,31.34,31.66,2161500,HRL,Hormel Foods
2024-09-30,31.62,31.8,31.34,31.66,2161499,HRL,Hormel Foods
2024-09-27,31.75,32.11,31.68,31.72,1653200,HRL,Hormel Foods
2024-09-26,31.0,31.61,31.0,31.57,3654600,HRL,Hormel Foods
2024-09-25,31.31,31.35,30.93,31.11,3227600,HRL,Hormel Foods
2024-09-24,31.57,31.62,31.11,31.17,1919000,HRL,Hormel Foods
2024-09-23,31.69,31.85,31.43,31.48,2028100,HRL,Hormel Foods
2024-09-20,32.12,32.2,31.63,31.77,6532300,HRL,Hormel Foods
2024-09-19,32.42,32.52,31.89,32.13,1817000,HRL,Hormel Foods
2024-09-18,32.39,32.83,32.28,32.4,1699400,HRL,Hormel Foods
2024-09-17,32.27,32.7,32.27,32.37,1759400,HRL,Hormel Foods
2024-09-16,32.35,32.61,32.26,32.53,1711600,HRL,Hormel Foods
2024-09-13,31.67,32.12,31.62,32.080002,1703200,HRL,Hormel Foods
2024-09-12,31.21,31.65,31.07,31.62,2398900,HRL,Hormel Foods
2024-09-11,32.049999,32.22,31.23,31.34,1760200,HRL,Hormel Foods
2024-09-10,32.46,32.54,32.14,32.22,2123500,HRL,Hormel Foods
2024-09-09,32.57,32.65,32.24,32.4,2533500,HRL,Hormel Foods
2024-09-06,32.060001,32.76,32.0,32.57,2687700,HRL,Hormel Foods
2024-09-05,31.36,32.25,31.08,32.11,4269600,HRL,Hormel Foods
2024-09-04,29.85,31.09,29.21,31.01,5813500,HRL,Hormel Foods
2024-09-03,32.55,33.16,32.28,33.14,3205800,HRL,Hormel Foods
2024-08-30,32.21,32.57,32.13,32.55,3679900,HRL,Hormel Foods
2024-08-29,32.59,32.71,32.080002,32.19,1800400,HRL,Hormel Foods
2024-08-28,32.21,32.55,32.099998,32.39,2171900,HRL,Hormel Foods
2024-08-27,32.38,32.4,32.029999,32.21,1712500,HRL,Hormel Foods
2024-08-26,32.0,32.42,31.9,32.36,1833000,HRL,Hormel Foods
2024-08-23,32.21,32.43,31.81,31.88,2325700,HRL,Hormel Foods
2024-08-22,32.5,32.5,31.8,31.95,1652700,HRL,Hormel Foods
2024-08-21,32.5,32.68,32.28,32.44,1525400,HRL,Hormel Foods
2024-08-20,32.59,32.59,32.16,32.33,1625000,HRL,Hormel Foods
2024-08-19,32.35,32.71,32.26,32.68,1426400,HRL,Hormel Foods
2024-08-18,32.35,32.71,32.255,32.68,1426500,HRL,Hormel Foods
2024-08-16,31.95,32.4,31.85,32.36,2223500,HRL,Hormel Foods
2024-08-15,31.95,32.4,31.85,32.36,2223560,HRL,Hormel Foods
2024-08-14,32.14,32.53,32.07,32.26,1829800,HRL,Hormel Foods
2024-08-13,32.4,32.46,31.5,31.8,2754400,HRL,Hormel Foods
2024-08-12,31.98,32.09,31.2,31.25,1531400,HRL,Hormel Foods
2024-08-09,31.93,32.099998,31.59,32.029999,1350100,HRL,Hormel Foods
2024-08-08,31.8,32.24,31.68,31.97,1461700,HRL,Hormel Foods
