datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,16.7,16.91,16.59,16.71,11269100,HST,Host Hotels & Resorts
2025-01-30,16.84,16.89,16.51,16.64,9613300,HST,Host Hotels & Resorts
2025-01-29,17.049999,17.12,16.51,16.59,11728800,HST,Host Hotels & Resorts
2025-01-28,17.21,17.45,17.01,17.049999,8823200,HST,Host Hotels & Resorts
2025-01-27,16.97,17.25,16.79,17.18,14916400,HST,Host Hotels & Resorts
2025-01-24,17.4,17.49,16.8,16.94,10224100,HST,Host Hotels & Resorts
2025-01-23,17.31,17.52,17.13,17.43,6195800,HST,Host Hotels & Resorts
2025-01-22,17.14,17.37,17.01,17.29,9609600,HST,Host Hotels & Resorts
2025-01-21,17.11,17.31,17.11,17.21,4326900,HST,Host Hotels & Resorts
2025-01-17,17.2,17.29,17.030001,17.059999,5648100,HST,Host Hotels & Resorts
2025-01-16,17.36,17.44,17.059999,17.07,4135800,HST,Host Hotels & Resorts
2025-01-15,17.45,17.73,17.27,17.32,5303600,HST,Host Hotels & Resorts
2025-01-14,17.34,17.38,17.19,17.28,4425600,HST,Host Hotels & Resorts
2025-01-13,16.96,17.2,16.86,17.16,5721100,HST,Host Hotels & Resorts
2025-01-10,16.63,17.11,16.55,17.08,6579100,HST,Host Hotels & Resorts
2025-01-08,17.12,17.12,16.77,16.96,5663600,HST,Host Hotels & Resorts
2025-01-07,17.43,17.48,17.0,17.049999,5538000,HST,Host Hotels & Resorts
2025-01-06,17.54,17.65,17.27,17.28,6391600,HST,Host Hotels & Resorts
2025-01-03,17.21,17.48,17.049999,17.45,7547900,HST,Host Hotels & Resorts
2025-01-02,17.57,17.58,17.16,17.2,5124200,HST,Host Hotels & Resorts
2024-12-31,17.55,17.65,17.39,17.52,5422200,HST,Host Hotels & Resorts
2024-12-30,17.88,17.91,17.53,17.78,5850400,HST,Host Hotels & Resorts
2024-12-27,18.14,18.24,17.83,17.98,7022200,HST,Host Hotels & Resorts
2024-12-26,18.19,18.34,18.09,18.28,3034500,HST,Host Hotels & Resorts
2024-12-24,18.09,18.27,18.01,18.22,1710000,HST,Host Hotels & Resorts
2024-12-23,18.18,18.21,17.91,18.07,4286000,HST,Host Hotels & Resorts
2024-12-20,17.43,18.36,17.38,18.2,19799300,HST,Host Hotels & Resorts
2024-12-19,17.6,17.85,17.55,17.63,7594900,HST,Host Hotels & Resorts
2024-12-18,18.74,18.82,17.53,17.55,10588700,HST,Host Hotels & Resorts
2024-12-17,18.51,18.86,18.45,18.72,7336300,HST,Host Hotels & Resorts
2024-12-16,18.59,19.030001,18.51,18.66,8159700,HST,Host Hotels & Resorts
2024-12-13,18.82,18.92,18.51,18.58,4514400,HST,Host Hotels & Resorts
2024-12-12,18.91,19.030001,18.77,18.82,5529300,HST,Host Hotels & Resorts
2024-12-11,19.23,19.36,18.86,18.93,6231000,HST,Host Hotels & Resorts
2024-12-10,19.01,19.21,18.79,19.07,6518900,HST,Host Hotels & Resorts
2024-12-09,18.91,19.15,18.83,18.94,6789100,HST,Host Hotels & Resorts
2024-12-06,18.92,19.030001,18.64,18.8,5650000,HST,Host Hotels & Resorts
2024-12-05,18.53,18.97,18.38,18.8,9272300,HST,Host Hotels & Resorts
2024-12-04,18.52,18.59,18.39,18.53,5113800,HST,Host Hotels & Resorts
