datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,73.76,75.18,73.099998,74.16,1294600,INCY,Incyte
2025-01-30,74.16,74.56,73.29,73.77,1307800,INCY,Incyte
2025-01-29,73.22,74.11,72.67,73.72,1246600,INCY,Incyte
2025-01-28,72.69,73.99,71.85,73.15,995200,INCY,Incyte
2025-01-27,72.29,73.43,71.36,72.64,1070700,INCY,Incyte
2025-01-24,72.3,73.68,72.29,72.59,1274800,INCY,Incyte
2025-01-23,72.32,72.88,71.050003,72.53,1042500,INCY,Incyte
2025-01-22,73.47,73.55,71.97,72.41,1165500,INCY,Incyte
2025-01-21,72.21,73.98,71.85,73.47,1867900,INCY,Incyte
2025-01-17,72.87,73.0,71.85,71.93,1013300,INCY,Incyte
2025-01-16,72.51,72.98,71.72,72.47,1100000,INCY,Incyte
2025-01-15,72.96,73.83,72.21,72.46,1101900,INCY,Incyte
2025-01-14,72.34,72.93,71.22,71.93,1595800,INCY,Incyte
2025-01-13,70.54,72.94,69.65,72.37,1602100,INCY,Incyte
2025-01-10,72.21,72.6,69.53,70.54,2046000,INCY,Incyte
2025-01-08,73.19,74.010002,72.85,73.13,1571200,INCY,Incyte
2025-01-07,73.059998,75.040001,72.46,73.19,1852800,INCY,Incyte
2025-01-06,69.45,72.79,69.45,71.91,1931700,INCY,Incyte
2025-01-03,69.76,70.44,69.35,69.63,1542700,INCY,Incyte
2025-01-02,69.67,70.27,68.92,69.53,1061800,INCY,Incyte
2024-12-31,68.54,69.2,68.19,69.07,1010100,INCY,Incyte
2024-12-30,68.56,68.87,67.7,68.42,825900,INCY,Incyte
2024-12-27,68.71,69.9,68.19,69.23,966400,INCY,Incyte
2024-12-26,69.52,70.11,69.25,69.56,764500,INCY,Incyte
2024-12-24,69.88,70.099998,68.92,69.91,395900,INCY,Incyte
2024-12-23,68.58,70.19,68.15,69.84,1611100,INCY,Incyte
2024-12-20,66.89,69.11,66.89,68.84,6805500,INCY,Incyte
2024-12-19,68.64,68.64,66.33,67.059998,2026700,INCY,Incyte
2024-12-18,69.18,69.63,67.55,67.55,1897800,INCY,Incyte
2024-12-17,68.78,69.74,68.51,69.4,1971500,INCY,Incyte
2024-12-16,69.31,70.88,68.62,69.8,2836000,INCY,Incyte
2024-12-13,70.64,70.79,68.52,68.55,1769100,INCY,Incyte
2024-12-12,70.5,72.11,70.48,70.83,1387900,INCY,Incyte
2024-12-11,72.65,73.5,72.099998,72.49,1425600,INCY,Incyte
2024-12-10,72.11,73.099998,71.35,72.48,2406800,INCY,Incyte
2024-12-09,75.94,75.98,71.8,72.11,1758100,INCY,Incyte
2024-12-06,75.27,76.46,75.019997,75.92,1322400,INCY,Incyte
2024-12-05,73.019997,75.37,72.87,74.92,1760600,INCY,Incyte
2024-12-04,73.4,75.32,73.34,74.62,2615100,INCY,Incyte
2024-12-03,72.73,72.96,71.72,72.029999,1667700,INCY,Incyte
2024-12-02,74.28,74.7,72.64,73.24,1737300,INCY,Incyte
2024-11-29,75.71,76.080002,74.22,74.59,797600,INCY,Incyte
2024-11-27,75.0,76.14,74.75,75.45,1150800,INCY,Incyte
2024-11-26,74.14,74.95,73.099998,74.8,1475600,INCY,Incyte
2024-11-25,72.34,73.87,72.25,73.52,3350900,INCY,Incyte
2024-11-22,70.43,72.0,70.33,71.72,1521900,INCY,Incyte
2024-11-21,71.33,71.4,69.3,70.39,2145200,INCY,Incyte
2024-11-20,70.66,71.68,70.25,71.050003,2312400,INCY,Incyte
2024-11-19,67.11,74.099998,65.019997,70.56,10883800,INCY,Incyte
2024-11-18,75.89,77.010002,75.42,76.97,1843600,INCY,Incyte
2024-11-15,77.15,77.87,73.25,75.87,3842700,INCY,Incyte
2024-11-14,80.16,80.46,77.58,77.73,1875800,INCY,Incyte
2024-11-13,80.8,81.7,80.37,80.48,1573200,INCY,Incyte
2024-11-12,81.55,82.019997,80.2,80.58,1843100,INCY,Incyte
2024-11-11,83.54,83.54,81.16,81.53,1881000,INCY,Incyte
2024-11-08,82.59,83.95,82.15,83.38,3235700,INCY,Incyte
2024-11-07,81.0,82.97,79.53,82.34,2636600,INCY,Incyte
2024-11-06,78.45,82.19,78.21,80.95,5292100,INCY,Incyte
2024-11-05,75.77,77.37,75.34,77.28,1251600,INCY,Incyte
2024-11-04,75.07,76.57,75.07,75.75,1463500,INCY,Incyte
2024-11-01,74.12,76.33,73.91,76.13,2261700,INCY,Incyte
2024-10-31,73.91,74.68,73.28,74.12,2024300,INCY,Incyte
2024-10-30,73.6,74.6,72.5,73.93,2459000,INCY,Incyte
2024-10-29,67.53,74.07,66.95,73.6,4572000,INCY,Incyte
2024-10-28,65.49,65.88,64.86,65.69,2067300,INCY,Incyte
2024-10-25,65.32,65.74,64.99,65.07,1086400,INCY,Incyte
2024-10-24,65.24,65.91,65.080002,65.24,1208600,INCY,Incyte
2024-10-23,65.49,66.099998,64.76,65.17,1251900,INCY,Incyte
2024-10-22,65.029999,65.78,64.6,65.59,735400,INCY,Incyte
2024-10-21,66.33,66.55,64.87,65.27,841000,INCY,Incyte
2024-10-18,66.41,66.95,65.9,66.39,742400,INCY,Incyte
2024-10-17,65.99,66.49,65.44,66.43,1355900,INCY,Incyte
2024-10-16,66.38,66.61,65.93,66.17,857200,INCY,Incyte
2024-10-15,65.89,67.059998,65.68,66.29,1178600,INCY,Incyte
2024-10-14,65.79,65.79,64.93,65.44,748200,INCY,Incyte
2024-10-11,65.49,66.25,65.38,66.12,1592800,INCY,Incyte
2024-10-10,65.3,65.5,64.59,65.37,1101100,INCY,Incyte
2024-10-09,65.63,66.52,65.24,65.76,1017800,INCY,Incyte
2024-10-08,65.58,66.31,65.46,65.74,1010300,INCY,Incyte
2024-10-07,67.36,67.47,65.7,65.76,1529400,INCY,Incyte
2024-10-04,67.37,67.56,66.45,67.49,1236700,INCY,Incyte
2024-10-03,67.28,67.98,66.83,67.040001,1426500,INCY,Incyte
2024-10-02,67.68,67.82,66.26,67.63,1348900,INCY,Incyte
2024-10-01,66.68,68.17,65.99,68.059998,2737000,INCY,Incyte
2024-09-30,65.4,66.96,65.27,66.099998,1622200,INCY,Incyte
2024-09-27,65.64,66.79,65.63,65.83,1590300,INCY,Incyte
2024-09-26,63.099998,65.21,62.86,65.13,1987400,INCY,Incyte
2024-09-25,64.12,64.59,62.57,63.22,1580000,INCY,Incyte
2024-09-24,64.15,64.2,62.96,63.7,2036200,INCY,Incyte
2024-09-23,65.97,65.97,64.07,64.12,2033000,INCY,Incyte
2024-09-20,66.2,66.2,64.99,65.74,7670500,INCY,Incyte
2024-09-19,66.22,66.95,65.27,66.82,2077700,INCY,Incyte
2024-09-18,65.25,66.080002,64.38,65.17,2858100,INCY,Incyte
2024-09-17,66.42,67.74,66.19,66.43,1658200,INCY,Incyte
2024-09-16,63.94,66.48,63.9,66.41,1859600,INCY,Incyte
2024-09-13,63.37,64.17,63.07,63.56,2021400,INCY,Incyte
2024-09-12,62.94,63.46,61.63,63.36,1417600,INCY,Incyte
2024-09-11,63.040001,63.16,61.67,63.13,1574200,INCY,Incyte
2024-09-10,62.19,63.34,61.45,63.13,1720200,INCY,Incyte
2024-09-09,61.48,62.83,61.19,62.26,1792900,INCY,Incyte
2024-09-06,63.2,63.76,61.19,61.26,1785900,INCY,Incyte
2024-09-05,64.32,64.85,61.15,62.96,2303900,INCY,Incyte
2024-09-04,66.42,66.75,64.13,64.33,2071000,INCY,Incyte
2024-09-03,65.76,67.089996,65.26,66.31,1969900,INCY,Incyte
2024-08-30,65.91,66.33,64.99,65.66,2548300,INCY,Incyte
2024-08-29,65.8,67.48,65.099998,65.91,1490600,INCY,Incyte
2024-08-28,65.52,65.91,65.32,65.64,1321500,INCY,Incyte
2024-08-27,65.32,65.7,64.9,65.63,1493200,INCY,Incyte
2024-08-26,64.26,65.4,63.94,65.16,1981500,INCY,Incyte
2024-08-23,63.52,64.46,63.049999,64.14,1566800,INCY,Incyte
2024-08-22,64.36,64.36,62.69,63.02,1929900,INCY,Incyte
2024-08-21,64.42,64.9,64.040001,64.15,1765200,INCY,Incyte
2024-08-20,63.09,64.78,63.040001,64.38,2010000,INCY,Incyte
2024-08-19,62.23,63.3,62.060001,63.26,1407700,INCY,Incyte
2024-08-16,61.88,62.47,61.38,62.16,1393200,INCY,Incyte
2024-08-15,61.79,62.22,61.32,61.68,1312600,INCY,Incyte
2024-08-14,61.8,61.99,60.99,61.18,1504200,INCY,Incyte
2024-08-13,61.16,62.24,60.95,62.02,2608800,INCY,Incyte
2024-08-12,60.96,61.71,60.26,61.12,1422900,INCY,Incyte
2024-08-09,61.39,62.23,60.83,61.080002,1301700,INCY,Incyte
2024-08-08,60.3,62.029999,60.2,61.78,2474100,INCY,Incyte
2024-08-07,61.55,62.59,60.2,60.29,2015500,INCY,Incyte
2024-08-06,61.81,62.42,60.99,61.27,2405900,INCY,Incyte
2024-08-05,63.35,64.17,61.95,62.0,2359800,INCY,Incyte
2024-08-02,64.27,65.15,62.97,64.47,1942000,INCY,Incyte
2024-08-01,65.2,65.68,64.080002,64.42,2063500,INCY,Incyte
2024-07-31,67.83,68.98,64.81,65.07,2837800,INCY,Incyte
2024-07-30,69.33,69.33,64.74,67.79,4635400,INCY,Incyte
2024-07-29,68.51,69.14,68.019997,68.59,2779800,INCY,Incyte
2024-07-26,68.57,69.85,68.24,68.61,2186000,INCY,Incyte
2024-07-25,67.0,70.36,66.99,68.57,2786200,INCY,Incyte
2024-07-24,66.010002,66.98,65.62,66.91,2956700,INCY,Incyte
2024-07-23,65.080002,66.12,64.54,65.8,1108100,INCY,Incyte
2024-07-22,66.089996,66.16,64.3,65.19,1239600,INCY,Incyte
2024-07-19,65.54,66.099998,64.98,65.87,1559100,INCY,Incyte
2024-07-18,65.3,66.78,64.61,65.37,2081300,INCY,Incyte
2024-07-17,63.96,65.34,63.5,65.3,1810900,INCY,Incyte
2024-07-16,64.19,64.5,63.48,64.0,1448800,INCY,Incyte
2024-07-15,63.49,64.59,63.26,64.25,1577600,INCY,Incyte
2024-07-12,63.0,63.93,62.61,63.66,1934900,INCY,Incyte
2024-07-11,60.84,62.63,60.75,62.29,2268700,INCY,Incyte
2024-07-10,60.96,61.0,59.74,60.73,2525000,INCY,Incyte
2024-07-09,58.33,60.91,58.099998,60.7,2408300,INCY,Incyte
2024-07-08,57.36,58.62,57.17,58.17,2669700,INCY,Incyte
2024-07-05,57.48,57.58,56.75,57.33,2092500,INCY,Incyte
2024-07-03,59.12,59.22,57.58,57.66,1472500,INCY,Incyte
2024-07-02,59.2,60.48,58.63,59.02,3180700,INCY,Incyte
2024-07-01,60.5,61.99,60.37,60.87,2247300,INCY,Incyte
2024-06-28,61.54,61.54,60.07,60.62,10984700,INCY,Incyte
2024-06-27,61.97,62.13,60.81,61.35,1643300,INCY,Incyte
2024-06-26,63.0099983,63.0099983,61.59,61.75,2384600,INCY,Incyte
