datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,56.15,58.11,55.34,55.63,36747800,IP,International Paper
2025-01-30,55.21,57.73,54.49,57.049999,13415400,IP,International Paper
2025-01-29,58.2,58.98,57.71,57.98,11311600,IP,International Paper
2025-01-28,58.82,59.36,58.18,59.12,6895500,IP,International Paper
2025-01-27,59.46,60.14,58.72,59.29,9148500,IP,International Paper
2025-01-24,59.19,60.15,58.49,60.09,8813800,IP,International Paper
2025-01-23,58.23,58.63,57.86,58.6,4741200,IP,International Paper
2025-01-22,58.4,58.43,57.83,58.19,5058800,IP,International Paper
2025-01-21,57.39,58.5,57.34,58.48,4746600,IP,International Paper
2025-01-17,56.55,57.0099983,56.35,56.93,4816200,IP,International Paper
2025-01-16,55.7,56.36,55.27,56.26,2920300,IP,International Paper
2025-01-15,56.0,56.35,55.02,55.66,3972200,IP,International Paper
2025-01-14,53.85,55.42,53.75,55.42,3767500,IP,International Paper
2025-01-13,53.21,53.95,52.98,53.89,6044200,IP,International Paper
2025-01-10,54.75,54.9,54.080002,54.09,4910300,IP,International Paper
2025-01-08,53.36,54.75,53.3,54.68,4125000,IP,International Paper
2025-01-07,53.5,53.78,53.060001,53.61,4091400,IP,International Paper
2025-01-06,53.26,53.54,53.080002,53.5,3889300,IP,International Paper
2025-01-03,53.25,53.55,52.68,52.85,3017800,IP,International Paper
2025-01-02,54.07,54.35,52.84,53.16,3501600,IP,International Paper
2024-12-31,54.07,54.15,53.5,53.82,1642300,IP,International Paper
2024-12-30,54.080002,54.17,53.46,53.65,2319500,IP,International Paper
2024-12-27,55.0,55.16,54.27,54.49,1681200,IP,International Paper
2024-12-26,55.099998,55.35,54.89,55.21,1743000,IP,International Paper
2024-12-24,54.85,55.15,54.6,55.11,879400,IP,International Paper
2024-12-23,54.049999,54.49,53.35,54.49,2549000,IP,International Paper
2024-12-20,53.67,54.49,53.51,54.45,6737000,IP,International Paper
2024-12-19,53.5,54.080002,53.049999,53.84,3787900,IP,International Paper
2024-12-18,55.51,55.71,53.59,53.64,2882700,IP,International Paper
2024-12-17,55.51,55.75,55.13,55.24,2236100,IP,International Paper
2024-12-16,55.69,56.14,55.61,55.79,3044800,IP,International Paper
2024-12-13,54.9,55.61,54.71,55.54,3254800,IP,International Paper
2024-12-12,54.049999,55.35,53.86,54.86,3229000,IP,International Paper
2024-12-11,54.55,54.83,54.11,54.52,4205000,IP,International Paper
2024-12-10,55.48,55.55,54.63,54.76,2936900,IP,International Paper
2024-12-09,57.029999,57.2,55.63,55.78,4044500,IP,International Paper
2024-12-06,57.0,57.049999,56.3,56.78,2204700,IP,International Paper
2024-12-05,57.060001,57.43,56.61,56.71,3732400,IP,International Paper
2024-12-04,58.5,58.64,57.49,57.72,3297300,IP,International Paper
2024-12-03,58.2,58.9,57.92,58.71,2803600,IP,International Paper
2024-12-02,58.53,58.59,57.48,58.46,2968800,IP,International Paper
2024-11-29,58.39,58.98,57.96,58.83,1819800,IP,International Paper
2024-11-27,59.26,59.26,58.15,58.38,2350800,IP,International Paper
2024-11-26,59.71,59.85,58.58,59.11,4450000,IP,International Paper
2024-11-25,59.79,60.36,59.17,59.57,6833600,IP,International Paper
2024-11-22,58.94,59.98,58.57,59.32,3454800,IP,International Paper
2024-11-21,58.2,59.53,57.94,59.18,4166400,IP,International Paper
2024-11-20,57.4,60.22,57.099998,58.84,8010700,IP,International Paper
2024-11-19,56.9,58.0,56.62,57.84,4262900,IP,International Paper
2024-11-18,57.41,58.25,57.26,57.7,3876500,IP,International Paper
2024-11-15,56.040001,57.68,56.0099983,57.58,5336100,IP,International Paper
2024-11-14,55.97,56.97,55.91,56.93,3813700,IP,International Paper
2024-11-13,56.25,57.0099983,55.82,56.38,5863400,IP,International Paper
2024-11-12,57.23,57.57,56.58,57.31,3386100,IP,International Paper
2024-11-11,57.41,58.099998,57.39,57.66,2368300,IP,International Paper
2024-11-08,57.98,58.59,57.36,57.38,4448300,IP,International Paper
