datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,101.86,103.36,100.95,101.57,1345400,IRM,Iron Mountain
2025-01-30,102.63,103.42,100.99,102.0,1506600,IRM,Iron Mountain
2025-01-29,99.15,101.22,99.010002,100.61,2325300,IRM,Iron Mountain
2025-01-28,104.0,104.0,97.19,98.78,4196300,IRM,Iron Mountain
2025-01-27,107.83,108.080002,100.73,103.99,3390400,IRM,Iron Mountain
2025-01-24,111.31,112.18,110.67,111.050003,1095600,IRM,Iron Mountain
2025-01-23,110.59,111.35,109.16,111.31,947500,IRM,Iron Mountain
2025-01-22,111.14,111.14,109.67,109.98,1131600,IRM,Iron Mountain
2025-01-21,109.46,110.98,109.32,110.91,1557900,IRM,Iron Mountain
2025-01-17,110.77,110.94,109.050003,109.22,2077800,IRM,Iron Mountain
2025-01-16,106.35,110.44,105.79,110.25,1832200,IRM,Iron Mountain
2025-01-15,107.34,107.8,105.07,106.18,1641200,IRM,Iron Mountain
2025-01-14,102.54,104.48,102.29,104.040001,1371700,IRM,Iron Mountain
2025-01-13,100.38,102.3,99.6,102.24,1921600,IRM,Iron Mountain
2025-01-10,100.43,101.97,99.52,101.16,1718000,IRM,Iron Mountain
2025-01-08,101.0,103.029999,99.89,102.85,1938900,IRM,Iron Mountain
2025-01-07,103.87,104.39,99.58,100.69,2586200,IRM,Iron Mountain
2025-01-06,105.35,105.98,103.12,103.43,1901800,IRM,Iron Mountain
2025-01-03,105.040001,106.14,104.86,105.7,2295200,IRM,Iron Mountain
2025-01-02,105.27,106.0,104.050003,104.74,2495800,IRM,Iron Mountain
2024-12-31,104.2,105.19,103.38,105.11,1635300,IRM,Iron Mountain
2024-12-30,104.050003,104.5,101.84,103.69,1920600,IRM,Iron Mountain
2024-12-27,104.62,105.71,104.029999,104.72,954200,IRM,Iron Mountain
2024-12-26,105.15,105.98,104.17,105.73,879900,IRM,Iron Mountain
2024-12-24,104.89,105.58,104.11,105.58,767700,IRM,Iron Mountain
2024-12-23,104.49,105.34,102.24,105.22,2095900,IRM,Iron Mountain
2024-12-20,102.61,106.98,102.51,105.099998,5696100,IRM,Iron Mountain
2024-12-19,103.73,105.44,101.34,101.62,3251900,IRM,Iron Mountain
2024-12-18,109.84,110.65,103.13,103.21,2920600,IRM,Iron Mountain
2024-12-17,110.7,110.98,109.66,110.089996,1386100,IRM,Iron Mountain
2024-12-16,111.56,112.99,110.69,111.29,1316400,IRM,Iron Mountain
2024-12-13,112.64,113.57,111.57,111.9,957600,IRM,Iron Mountain
2024-12-12,113.0,114.8,112.54,112.92,1201200,IRM,Iron Mountain
2024-12-11,112.99,113.92,111.3,113.089996,1512800,IRM,Iron Mountain
2024-12-10,114.11,114.88,111.86,112.019997,2486700,IRM,Iron Mountain
2024-12-09,120.14,121.0,114.16,114.34,2007200,IRM,Iron Mountain
2024-12-06,118.79,120.46,118.19,120.16,1131800,IRM,Iron Mountain
2024-12-05,118.13,118.83,117.38,118.37,1414200,IRM,Iron Mountain
2024-12-04,121.07,121.23,118.21,118.86,1420900,IRM,Iron Mountain
2024-12-03,122.0,122.88,120.11,120.16,2275200,IRM,Iron Mountain
2024-12-02,123.0,123.040001,121.16,121.59,1908300,IRM,Iron Mountain
2024-11-29,124.39,124.98,123.43,123.67,858200,IRM,Iron Mountain
2024-11-27,124.72,125.38,123.62,124.24,831000,IRM,Iron Mountain
2024-11-26,120.81,123.67,120.58,123.61,1018800,IRM,Iron Mountain
2024-11-25,119.85,121.21,119.37,120.78,2292500,IRM,Iron Mountain
2024-11-22,119.24,119.71,118.28,119.099998,692300,IRM,Iron Mountain
2024-11-21,116.31,119.51,116.089996,118.73,1475800,IRM,Iron Mountain
2024-11-20,115.6,116.52,114.88,116.3,691900,IRM,Iron Mountain
2024-11-19,114.93,116.73,114.63,116.51,1028600,IRM,Iron Mountain
2024-11-18,113.62,115.65,113.41,115.5,1440300,IRM,Iron Mountain
2024-11-15,112.68,115.46,112.3,114.88,1485900,IRM,Iron Mountain
2024-11-14,116.14,116.25,112.93,113.12,1357100,IRM,Iron Mountain
2024-11-13,115.52,116.92,114.94,115.98,1181900,IRM,Iron Mountain
2024-11-12,117.099998,117.63,114.040001,114.5,1735300,IRM,Iron Mountain
2024-11-11,118.97,119.99,117.41,117.44,1394500,IRM,Iron Mountain
2024-11-08,117.49,120.68,117.44,119.71,1260900,IRM,Iron Mountain
2024-11-07,113.84,117.080002,112.73,116.92,2278500,IRM,Iron Mountain
2024-11-06,121.78,124.44,112.11,114.44,4448300,IRM,Iron Mountain
2024-11-05,122.44,125.88,122.44,125.73,1669500,IRM,Iron Mountain
2024-11-04,121.45,122.87,121.21,122.35,1481000,IRM,Iron Mountain
2024-11-01,124.88,125.25,120.99,121.16,1847500,IRM,Iron Mountain
