datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,259.39999,261.89999,258.57001,259.16,1253900,ITW,Illinois Tool Works
2025-01-30,257.47,260.25,256.92001,260.13,1166300,ITW,Illinois Tool Works
2025-01-29,258.0,259.59,256.059998,256.38,815200,ITW,Illinois Tool Works
2025-01-28,262.59,263.56,258.60001,258.70999,905300,ITW,Illinois Tool Works
2025-01-27,260.23001,265.12,260.23001,264.42001,1011400,ITW,Illinois Tool Works
2025-01-24,259.51999,260.48999,258.5,259.89999,828400,ITW,Illinois Tool Works
2025-01-23,259.67001,260.14999,257.98001,259.89999,610800,ITW,Illinois Tool Works
2025-01-22,260.60001,261.19,258.38,259.14001,899500,ITW,Illinois Tool Works
2025-01-21,258.42001,262.37,258.42001,261.39001,718400,ITW,Illinois Tool Works
2025-01-17,257.5,258.0,256.17999,256.38,844800,ITW,Illinois Tool Works
2025-01-16,253.92,256.35001,253.059998,255.92999,876500,ITW,Illinois Tool Works
2025-01-15,256.38,256.67001,253.73,253.8,712600,ITW,Illinois Tool Works
2025-01-14,250.42,253.34,250.42,252.97,792300,ITW,Illinois Tool Works
2025-01-13,243.98,249.84,243.73,249.7,1182600,ITW,Illinois Tool Works
2025-01-10,245.11,247.46001,242.69,244.89999,1152600,ITW,Illinois Tool Works
2025-01-08,247.25999,248.60001,246.66,247.61,1081900,ITW,Illinois Tool Works
2025-01-07,250.5,252.45,247.96001,248.59,685400,ITW,Illinois Tool Works
2025-01-06,252.32001,254.58,249.78,250.36,790900,ITW,Illinois Tool Works
2025-01-03,250.38,253.029999,248.62,252.28999,866800,ITW,Illinois Tool Works
2025-01-02,254.82001,255.95,249.89,250.029999,748100,ITW,Illinois Tool Works
2024-12-31,253.78999,255.14,252.72,253.56,694400,ITW,Illinois Tool Works
2024-12-30,255.14999,255.71001,252.41,254.83,1292000,ITW,Illinois Tool Works
2024-12-27,256.92001,259.25,255.28999,256.54999,489000,ITW,Illinois Tool Works
2024-12-26,258.13,259.32999,257.39999,258.76999,423200,ITW,Illinois Tool Works
2024-12-24,257.79001,259.17001,256.48001,259.17001,356900,ITW,Illinois Tool Works
2024-12-23,257.92001,259.19,256.20999,257.64001,684500,ITW,Illinois Tool Works
2024-12-20,257.70999,262.35001,257.26001,258.82001,2692500,ITW,Illinois Tool Works
2024-12-19,262.42999,263.87,257.87,258.10999,1464600,ITW,Illinois Tool Works
2024-12-18,267.42999,270.0,261.040009,261.23001,854200,ITW,Illinois Tool Works
2024-12-17,268.51999,271.14999,267.01001,267.88,889900,ITW,Illinois Tool Works
2024-12-16,272.10999,272.35001,269.14001,269.66,822600,ITW,Illinois Tool Works
2024-12-13,272.85999,273.26999,270.66,272.10999,536800,ITW,Illinois Tool Works
2024-12-12,273.64001,274.37,271.63,273.12,555300,ITW,Illinois Tool Works
2024-12-11,274.81,276.42001,272.51001,272.95999,707400,ITW,Illinois Tool Works
2024-12-10,273.84,275.17999,269.97,273.75,830800,ITW,Illinois Tool Works
2024-12-09,273.95001,276.23999,273.32999,274.070007,817000,ITW,Illinois Tool Works
2024-12-06,276.45999,277.23999,273.29999,273.53,536500,ITW,Illinois Tool Works
2024-12-05,277.070007,278.20999,274.48001,275.26999,716900,ITW,Illinois Tool Works
2024-12-04,275.44,277.38,274.79001,275.89999,903100,ITW,Illinois Tool Works
2024-12-03,278.019989,278.98001,274.47,275.98999,723500,ITW,Illinois Tool Works
2024-12-02,278.10999,278.85999,275.73999,278.5,913800,ITW,Illinois Tool Works
2024-11-29,275.29001,278.76999,274.54999,277.51999,570800,ITW,Illinois Tool Works
2024-11-27,276.64001,279.13,275.64001,276.040009,796000,ITW,Illinois Tool Works
2024-11-26,275.63,276.78,273.13,276.51001,828400,ITW,Illinois Tool Works
2024-11-25,274.89001,277.94,274.029999,276.37,1392100,ITW,Illinois Tool Works
2024-11-22,270.82001,274.34,269.57001,273.95001,950500,ITW,Illinois Tool Works
2024-11-21,266.38,271.19,265.45999,269.85001,764000,ITW,Illinois Tool Works
2024-11-20,267.01001,267.41,264.31,266.38,856900,ITW,Illinois Tool Works
2024-11-19,267.89999,268.78,266.10999,266.45999,615300,ITW,Illinois Tool Works
2024-11-18,270.079987,272.29999,269.39001,270.059998,711300,ITW,Illinois Tool Works
2024-11-15,269.41,272.81,269.35001,270.62,911500,ITW,Illinois Tool Works
2024-11-14,272.48999,273.60001,269.62,269.87,805200,ITW,Illinois Tool Works
2024-11-13,269.89999,273.35999,268.89001,272.95999,1305700,ITW,Illinois Tool Works
2024-11-12,273.26001,274.35999,271.019989,271.20001,758100,ITW,Illinois Tool Works
2024-11-11,272.54999,275.53,272.54999,274.26999,791900,ITW,Illinois Tool Works
2024-11-08,272.60999,275.73001,271.82001,271.95001,833600,ITW,Illinois Tool Works
2024-11-07,275.67999,275.95999,271.29001,272.91,833500,ITW,Illinois Tool Works
2024-11-06,272.95001,277.57999,272.040009,275.47,1151600,ITW,Illinois Tool Works
2024-11-05,263.35999,266.95999,262.13,266.42999,794700,ITW,Illinois Tool Works
2024-11-04,263.62,265.45001,262.0,263.88,737100,ITW,Illinois Tool Works
2024-11-01,261.98001,264.28,260.73999,263.079987,882600,ITW,Illinois Tool Works
2024-10-31,264.64001,265.39001,260.81,261.13,1267500,ITW,Illinois Tool Works
2024-10-30,263.0,264.75,253.46001,264.32999,1655900,ITW,Illinois Tool Works
2024-10-29,255.45,257.54999,253.0,256.040009,1304900,ITW,Illinois Tool Works
2024-10-28,255.72,258.51999,255.72,256.87,753800,ITW,Illinois Tool Works
