datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,78.19,79.040001,77.74,78.0,6427700,JCI,Johnson Controls
2025-01-30,77.11,78.67,76.45,78.21,5231000,JCI,Johnson Controls
2025-01-29,75.94,77.080002,75.91,76.28,5511700,JCI,Johnson Controls
2025-01-28,77.6,77.83,75.32,76.12,8319500,JCI,Johnson Controls
2025-01-27,78.75,78.79,75.96,77.059998,8283500,JCI,Johnson Controls
2025-01-24,82.029999,82.22,81.0,81.6,4893200,JCI,Johnson Controls
2025-01-23,82.18,82.26,81.49,82.029999,4748500,JCI,Johnson Controls
2025-01-22,82.71,82.9,82.059998,82.099998,2588700,JCI,Johnson Controls
2025-01-21,82.010002,82.53,81.48,82.48,3827300,JCI,Johnson Controls
2025-01-17,80.96,81.55,80.63,81.14,3591100,JCI,Johnson Controls
2025-01-16,79.77,80.69,79.42,80.46,3962400,JCI,Johnson Controls
2025-01-15,81.94,81.94,79.29,79.44,5092500,JCI,Johnson Controls
2025-01-14,79.77,80.61,79.43,80.21,2144900,JCI,Johnson Controls
2025-01-13,77.39,79.4,77.22,79.3,2766200,JCI,Johnson Controls
2025-01-10,79.23,79.67,78.38,78.66,3036200,JCI,Johnson Controls
2025-01-08,78.82,80.11,78.82,80.040001,2185100,JCI,Johnson Controls
2025-01-07,79.24,80.040001,78.78,79.17,2859700,JCI,Johnson Controls
2025-01-06,80.010002,81.010002,79.059998,79.27,2261800,JCI,Johnson Controls
2025-01-03,79.4,80.49,79.19,79.92,1849400,JCI,Johnson Controls
2025-01-02,79.68,80.14,78.51,78.95,1929000,JCI,Johnson Controls
2024-12-31,79.61,79.95,78.64,78.93,1689500,JCI,Johnson Controls
2024-12-30,78.75,79.59,78.13,79.14,1621600,JCI,Johnson Controls
2024-12-27,79.78,80.8,79.5,79.82,1651800,JCI,Johnson Controls
2024-12-26,80.76,81.28,80.5,80.85,1348600,JCI,Johnson Controls
2024-12-24,80.050003,80.99,79.98,80.99,1241100,JCI,Johnson Controls
