datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,30.0,30.21,29.76,29.84,7491100,KHC,Kraft Heinz
2025-01-30,29.9,30.32,29.65,30.27,9714200,KHC,Kraft Heinz
2025-01-29,29.665,29.845,29.57,29.66,5710100,KHC,Kraft Heinz
2025-01-28,30.035,30.26,29.4,29.59,8273000,KHC,Kraft Heinz
2025-01-27,29.7,30.64,29.7,30.2,10534300,KHC,Kraft Heinz
2025-01-24,29.17,29.42,29.02,29.31,9830100,KHC,Kraft Heinz
2025-01-23,29.08,29.21,28.965,29.07,5972800,KHC,Kraft Heinz
2025-01-22,29.33,29.447,29.02,29.07,8637700,KHC,Kraft Heinz
2025-01-21,29.37,29.82,29.34,29.48,8598200,KHC,Kraft Heinz
2025-01-17,29.155,29.46,29.049999,29.27,8067200,KHC,Kraft Heinz
2025-01-16,28.53,29.030001,28.37,28.97,7491400,KHC,Kraft Heinz
2025-01-15,28.82,29.0,28.42,28.73,9317000,KHC,Kraft Heinz
2025-01-14,28.79,28.894,28.53,28.71,10439400,KHC,Kraft Heinz
2025-01-13,28.65,29.02,28.48,28.78,14996000,KHC,Kraft Heinz
2025-01-10,29.43,29.435,28.5,28.51,14245400,KHC,Kraft Heinz
2025-01-08,29.81,29.83,29.23,29.66,7934600,KHC,Kraft Heinz
2025-01-07,29.965,30.33,29.71,29.77,8225300,KHC,Kraft Heinz
2025-01-06,30.61,30.885,30.035,30.049999,10835000,KHC,Kraft Heinz
2025-01-03,30.87,30.895,30.51,30.61,7847900,KHC,Kraft Heinz
2025-01-02,30.948,31.035,30.61,30.77,6056800,KHC,Kraft Heinz
2024-12-31,30.42,30.75,30.39,30.71,6199500,KHC,Kraft Heinz
2024-12-30,30.62,30.64,30.15,30.36,7009800,KHC,Kraft Heinz
2024-12-27,30.44,30.829,30.37,30.68,6861700,KHC,Kraft Heinz
2024-12-26,30.52,30.73,30.44,30.55,6380000,KHC,Kraft Heinz
2024-12-24,30.38,30.675,30.255,30.64,4005700,KHC,Kraft Heinz
2024-12-23,30.41,30.56,30.245,30.46,7712900,KHC,Kraft Heinz
2024-12-20,30.030001,30.67,30.01,30.52,20432000,KHC,Kraft Heinz
2024-12-19,30.19,30.47,30.049999,30.1,13772400,KHC,Kraft Heinz
2024-12-18,30.75,30.8,30.09,30.3,19036400,KHC,Kraft Heinz
2024-12-17,30.81,31.45,30.77,31.25,11668000,KHC,Kraft Heinz
2024-12-16,31.58,31.64,30.93,30.97,12778800,KHC,Kraft Heinz
2024-12-13,31.52,31.985,31.34,31.69,7352700,KHC,Kraft Heinz
2024-12-12,31.45,31.72,31.14,31.55,9055600,KHC,Kraft Heinz
2024-12-11,31.58,31.81,31.26,31.29,9497600,KHC,Kraft Heinz
2024-12-10,31.58,31.91,31.31,31.59,12112200,KHC,Kraft Heinz
2024-12-09,30.86,32.31,30.75,31.72,13818500,KHC,Kraft Heinz
2024-12-06,30.95,31.040001,30.675,30.81,11873000,KHC,Kraft Heinz
2024-12-05,30.92,31.040001,30.63,30.91,10090200,KHC,Kraft Heinz
2024-12-04,31.25,31.32,30.93,31.0,9816800,KHC,Kraft Heinz
2024-12-03,31.56,31.73,31.3,31.45,13276000,KHC,Kraft Heinz
2024-12-02,31.74,31.87,31.41,31.61,13137000,KHC,Kraft Heinz
2024-12-01,31.74,31.87,31.41,31.61,13136962,KHC,Kraft Heinz
2024-11-29,31.7,32.125,31.59,31.97,5883800,KHC,Kraft Heinz
2024-11-28,31.7,32.125,31.59,31.97,5883760,KHC,Kraft Heinz
2024-11-27,32.14,32.35,31.892,31.93,6704000,KHC,Kraft Heinz
2024-11-26,31.96,32.105,31.815,31.97,8526900,KHC,Kraft Heinz
2024-11-25,32.0,32.485,31.91,32.02,17343700,KHC,Kraft Heinz
2024-11-22,31.16,31.835,31.049999,31.81,12404100,KHC,Kraft Heinz
2024-11-21,30.8,31.15,30.7,31.09,14034400,KHC,Kraft Heinz
2024-11-20,30.58,31.0090008,30.565,30.88,11972200,KHC,Kraft Heinz
2024-11-19,30.72,30.92,30.46,30.58,14515400,KHC,Kraft Heinz
2024-11-18,31.215,31.4,30.935,31.07,10973900,KHC,Kraft Heinz
2024-11-15,31.83,31.83,30.4,31.14,17403500,KHC,Kraft Heinz
2024-11-14,32.15,32.38,31.745,31.79,11067300,KHC,Kraft Heinz
2024-11-13,31.93,32.15,31.79,32.13,7686100,KHC,Kraft Heinz
2024-11-12,32.53,32.56,31.94,32.0,10450200,KHC,Kraft Heinz
2024-11-11,32.95,33.129,32.51,32.53,8029800,KHC,Kraft Heinz
2024-11-08,32.81,33.09,32.57,33.0,7751500,KHC,Kraft Heinz
2024-11-07,33.37,33.49,32.79,32.82,8671100,KHC,Kraft Heinz
2024-11-06,33.72,34.080002,33.37,33.42,11607400,KHC,Kraft Heinz
2024-11-05,33.4,33.605,33.02,33.51,7837500,KHC,Kraft Heinz
2024-11-04,33.5,33.7,33.255,33.38,7130700,KHC,Kraft Heinz
2024-11-01,33.51,33.62,33.32,33.49,5676500,KHC,Kraft Heinz
2024-10-31,33.5,34.02,33.45,33.46,10352700,KHC,Kraft Heinz
2024-10-30,33.89,33.9,33.029999,33.73,14145600,KHC,Kraft Heinz
2024-10-29,34.93,35.064999,34.77,34.8,7665100,KHC,Kraft Heinz
2024-10-28,34.89,35.17,34.86,35.13,7061400,KHC,Kraft Heinz
2024-10-25,34.91,35.09,34.6,34.74,7532900,KHC,Kraft Heinz
2024-10-24,35.42,35.72,35.0,35.029999,7983200,KHC,Kraft Heinz
2024-10-23,35.37,35.59,35.105,35.5,5858100,KHC,Kraft Heinz
2024-10-22,35.41,36.0,35.32,35.64,7665500,KHC,Kraft Heinz
2024-10-21,36.02,36.31,35.28,35.49,8775500,KHC,Kraft Heinz
2024-10-18,35.6,36.11,35.58,36.0,5503700,KHC,Kraft Heinz
2024-10-17,35.88,35.96,35.71,35.95,5701300,KHC,Kraft Heinz
2024-10-16,35.7,35.89,35.56,35.81,5026100,KHC,Kraft Heinz
2024-10-15,35.45,36.26,35.43,35.72,5578800,KHC,Kraft Heinz
2024-10-14,35.22,35.38,34.98,35.36,3823300,KHC,Kraft Heinz
2024-10-11,34.99,35.3,34.881,35.22,5008400,KHC,Kraft Heinz
2024-10-10,34.74,34.995,34.655,34.83,4226000,KHC,Kraft Heinz
2024-10-09,34.68,34.94,34.48,34.67,4149000,KHC,Kraft Heinz
2024-10-08,34.55,34.75,34.17,34.66,4695800,KHC,Kraft Heinz
2024-10-07,34.63,34.685,34.387,34.59,5087500,KHC,Kraft Heinz
2024-10-04,34.17,34.64,34.057999,34.59,4808400,KHC,Kraft Heinz
2024-10-03,34.07,34.22,33.911,34.17,6316400,KHC,Kraft Heinz
2024-10-02,35.0099983,35.012001,34.185,34.37,8097000,KHC,Kraft Heinz
2024-10-01,35.15,35.28,34.86,35.17,6149800,KHC,Kraft Heinz
2024-09-30,35.37,35.505,34.905,35.11,4977700,KHC,Kraft Heinz
2024-09-27,34.95,35.74,34.93,35.37,8654200,KHC,Kraft Heinz
2024-09-26,34.56,34.83,34.5,34.8,6024600,KHC,Kraft Heinz
2024-09-25,34.75,34.85,34.43,34.52,6158300,KHC,Kraft Heinz
2024-09-24,34.66,34.885,34.55,34.7,5001500,KHC,Kraft Heinz
2024-09-23,34.9,35.060001,34.52,34.68,7264400,KHC,Kraft Heinz
2024-09-20,35.07,35.37,34.77,34.96,36463900,KHC,Kraft Heinz
2024-09-19,35.11,35.25,34.86,34.99,7115400,KHC,Kraft Heinz
2024-09-18,34.89,35.65,34.87,35.14,5392600,KHC,Kraft Heinz
2024-09-17,35.58,35.843,35.0099983,35.040001,7139600,KHC,Kraft Heinz
2024-09-16,35.79,35.93,35.46,35.63,5390300,KHC,Kraft Heinz
2024-09-13,35.3,35.61,35.22,35.59,5126800,KHC,Kraft Heinz
2024-09-12,35.07,35.22,34.745,35.2,4611100,KHC,Kraft Heinz
2024-09-11,35.51,35.51,34.905,35.16,6414500,KHC,Kraft Heinz
2024-09-10,36.060001,36.15,35.365,35.52,4669300,KHC,Kraft Heinz
2024-09-09,35.86,36.21,35.72,36.049999,6559000,KHC,Kraft Heinz
2024-09-06,36.2,36.275,35.83,35.84,5831900,KHC,Kraft Heinz
2024-09-05,36.19,36.53,36.049999,36.13,7691300,KHC,Kraft Heinz
2024-09-04,35.56,36.099998,35.56,36.07,7428400,KHC,Kraft Heinz
2024-09-03,35.33,35.655,34.675,35.59,8673800,KHC,Kraft Heinz
2024-08-30,34.8,35.47,34.8,35.43,9320200,KHC,Kraft Heinz
2024-08-29,35.43,35.47,34.985,35.26,7532600,KHC,Kraft Heinz
2024-08-28,35.64,35.75,35.26,35.39,6563500,KHC,Kraft Heinz
2024-08-27,36.049999,36.18,35.603,35.74,4753600,KHC,Kraft Heinz
2024-08-26,36.0,36.319,35.87,35.93,5876100,KHC,Kraft Heinz
2024-08-23,35.7,35.935,35.63,35.91,4385600,KHC,Kraft Heinz
2024-08-22,35.55,35.62,35.27,35.52,6178900,KHC,Kraft Heinz
2024-08-21,35.29,35.57,35.22,35.44,5890400,KHC,Kraft Heinz
2024-08-20,35.355,35.43,35.0099983,35.29,5619700,KHC,Kraft Heinz
2024-08-19,34.75,35.37,34.68,35.36,6546200,KHC,Kraft Heinz
2024-08-16,34.22,34.83,34.029999,34.62,11470400,KHC,Kraft Heinz
2024-08-15,34.38,34.54,34.12,34.19,6176300,KHC,Kraft Heinz
2024-08-14,34.57,35.029999,34.47,34.49,6105000,KHC,Kraft Heinz
2024-08-13,34.060001,34.735,34.0,34.57,6624400,KHC,Kraft Heinz
2024-08-12,34.98,35.02,34.064999,34.17,8413300,KHC,Kraft Heinz
2024-08-09,35.19,35.41,34.81,35.27,5109500,KHC,Kraft Heinz
2024-08-08,34.62,35.32,34.561,35.21,6301200,KHC,Kraft Heinz
2024-08-07,34.86,35.41,34.63,34.67,7907800,KHC,Kraft Heinz
2024-08-06,35.38,35.68,34.79,34.82,7266500,KHC,Kraft Heinz
2024-08-05,36.11,36.52,34.885,35.2,12773100,KHC,Kraft Heinz
2024-08-02,35.81,36.275,35.393,36.060001,15882100,KHC,Kraft Heinz
2024-08-01,35.040001,35.56,34.76,35.4,10258600,KHC,Kraft Heinz
2024-07-31,34.59,35.67,34.35,35.21,21392100,KHC,Kraft Heinz
2024-07-30,33.4,33.93,33.23,33.84,11644900,KHC,Kraft Heinz
2024-07-29,33.28,33.5,32.995,33.42,7411500,KHC,Kraft Heinz
2024-07-26,33.39,33.57,33.2,33.36,6048700,KHC,Kraft Heinz
2024-07-25,33.26,34.12,33.14,33.29,6893100,KHC,Kraft Heinz
2024-07-24,32.89,33.358,32.56,33.049999,8162100,KHC,Kraft Heinz
2024-07-23,32.85,32.975,32.63,32.8,5618900,KHC,Kraft Heinz
2024-07-22,33.15,33.218,32.69,32.82,6321200,KHC,Kraft Heinz
2024-07-19,33.66,33.715,33.0,33.12,6419100,KHC,Kraft Heinz
2024-07-18,33.68,34.41,33.58,33.77,10013200,KHC,Kraft Heinz
2024-07-17,33.09,34.040001,33.060001,33.9,12096700,KHC,Kraft Heinz
2024-07-16,32.27,32.91,32.23,32.84,6193700,KHC,Kraft Heinz
2024-07-15,32.07,32.55,31.97,32.29,6723800,KHC,Kraft Heinz
2024-07-12,32.32,32.46,32.040001,32.07,6250100,KHC,Kraft Heinz
2024-07-11,31.78,32.23,31.58,32.18,7468000,KHC,Kraft Heinz
2024-07-10,31.84,32.0099983,31.76,31.92,7116500,KHC,Kraft Heinz
2024-07-09,32.0,32.09,31.77,31.93,7630900,KHC,Kraft Heinz
2024-07-08,32.09,32.26,31.97,32.099998,5870700,KHC,Kraft Heinz
2024-07-05,32.2,32.21,31.83,32.09,5200000,KHC,Kraft Heinz
2024-07-03,32.099998,32.24,31.94,32.09,3805500,KHC,Kraft Heinz
2024-07-02,31.95,32.0,31.72,32.0,5470600,KHC,Kraft Heinz
2024-07-01,32.23,32.66,31.83,31.86,7760600,KHC,Kraft Heinz
2024-06-28,32.4,32.46,32.02,32.22,9939000,KHC,Kraft Heinz
2024-06-27,32.25,32.45,32.060001,32.27,5689500,KHC,Kraft Heinz
2024-06-26,32.47,32.5,32.2,32.32,7682900,KHC,Kraft Heinz
2024-06-25,33.19,33.35,32.775,32.8,7929300,KHC,Kraft Heinz
2024-06-24,33.099998,33.38,32.92,33.21,7262400,KHC,Kraft Heinz
2024-06-23,33.099998,33.375,32.93,33.21,7257374,KHC,Kraft Heinz
2024-06-21,32.81,33.145,32.66,32.95,16351500,KHC,Kraft Heinz
2024-06-20,32.49,32.7,32.37,32.64,7236600,KHC,Kraft Heinz
2024-06-19,32.49,32.695,32.38,32.65,7232296,KHC,Kraft Heinz
2024-06-18,32.96,33.040001,32.51,32.67,6080800,KHC,Kraft Heinz
2024-06-17,32.96,33.029999,32.51,32.67,6079092,KHC,Kraft Heinz
2024-06-16,32.24,32.95,32.010101,32.92,10035940,KHC,Kraft Heinz
2024-06-14,32.54,32.63,32.25,32.38,6188900,KHC,Kraft Heinz
2024-06-13,32.73,32.83,32.27,32.54,11641700,KHC,Kraft Heinz
2024-06-12,33.59,33.61,32.88,32.92,8227600,KHC,Kraft Heinz
