datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,167.73,170.39999,166.67999,167.070007,3400900,KKR,KKR
2025-01-30,167.48,168.99001,165.41,166.87,2428400,KKR,KKR
2025-01-29,166.94,170.16,165.98,166.3,4096900,KKR,KKR
2025-01-28,161.67999,167.5,160.21001,167.050003,3923200,KKR,KKR
2025-01-27,161.14,161.34,157.7,161.2,4432000,KKR,KKR
2025-01-24,164.89,165.83,164.58,165.53,2837000,KKR,KKR
2025-01-23,161.029999,165.42999,160.85001,165.34,2980700,KKR,KKR
2025-01-22,161.56,162.17999,158.88,161.50999,3794500,KKR,KKR
2025-01-21,158.49001,161.10001,157.67999,160.71001,4618600,KKR,KKR
2025-01-17,155.63,158.25,153.88,157.57001,3878800,KKR,KKR
2025-01-16,151.56,154.0099945,150.81,153.24001,3446700,KKR,KKR
2025-01-15,151.49001,151.64999,148.67999,150.5,5081900,KKR,KKR
2025-01-14,143.39999,144.77,142.0,143.64999,3942500,KKR,KKR
2025-01-13,139.080002,141.83,138.88,141.25,3495300,KKR,KKR
2025-01-10,145.73,147.0,140.23,140.92999,3968600,KKR,KKR
2025-01-08,146.39,148.39,145.69,148.24001,3820400,KKR,KKR
2025-01-07,150.89999,151.60001,143.91,146.62,3786900,KKR,KKR
2025-01-06,153.81,154.73,150.64999,150.74001,3392600,KKR,KKR
2025-01-03,150.58,152.19,149.92999,152.029999,1687000,KKR,KKR
2025-01-02,149.36,150.39,147.039993,149.19,1664700,KKR,KKR
2024-12-31,149.31,150.059998,147.62,147.91,1713900,KKR,KKR
2024-12-30,147.089996,149.73,146.039993,148.39,1677100,KKR,KKR
2024-12-27,150.62,151.77,148.81,149.86,1571900,KKR,KKR
2024-12-26,151.8,152.89,150.61,152.52,1301000,KKR,KKR
2024-12-24,149.88,152.58,148.64,152.58,1232900,KKR,KKR
2024-12-23,147.0,149.61,145.39999,148.94,2740600,KKR,KKR
2024-12-20,142.0099945,149.42,141.25999,147.58,8311100,KKR,KKR
2024-12-19,146.94,147.71001,143.039993,143.53,5375800,KKR,KKR
2024-12-18,151.87,152.25,142.83,142.96001,3762700,KKR,KKR
2024-12-17,154.82001,154.82001,149.69,151.23,3666000,KKR,KKR
2024-12-16,155.52,156.55,154.14,156.12,2311000,KKR,KKR
