datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,87.18,87.63,85.47,85.64,1443000,KMX,CarMax
2025-01-30,86.97,88.87,86.6,87.59,1533600,KMX,CarMax
2025-01-29,85.2,86.34,84.93,85.7,1418500,KMX,CarMax
2025-01-28,84.63,85.38,83.61,85.28,1401700,KMX,CarMax
2025-01-27,82.81,85.080002,82.75,84.53,1626300,KMX,CarMax
2025-01-24,81.91,82.99,81.91,82.73,1123100,KMX,CarMax
2025-01-23,78.42,82.029999,78.42,81.99,2270700,KMX,CarMax
2025-01-22,79.23,79.57,78.059998,78.27,1747200,KMX,CarMax
2025-01-21,79.45,80.26,78.45,79.5,1604200,KMX,CarMax
2025-01-17,80.29,80.29,78.68,78.94,1483000,KMX,CarMax
2025-01-16,79.9,80.29,79.059998,79.65,1466200,KMX,CarMax
2025-01-15,82.040001,82.080002,80.040001,80.28,1549100,KMX,CarMax
2025-01-14,79.13,79.78,78.61,79.57,1320900,KMX,CarMax
2025-01-13,77.64,78.57,77.0,78.5,1705700,KMX,CarMax
2025-01-10,80.54,80.54,78.32,78.34,1793600,KMX,CarMax
2025-01-08,79.11,82.12,78.75,81.93,2336300,KMX,CarMax
2025-01-07,79.76,80.29,78.53,79.12,1661000,KMX,CarMax
2025-01-06,80.85,81.28,79.61,79.75,1901800,KMX,CarMax
2025-01-03,80.75,81.33,79.5,80.07,1963200,KMX,CarMax
2025-01-02,82.14,82.87,81.14,81.22,1713400,KMX,CarMax
2024-12-31,82.27,82.39,81.44,81.76,1280200,KMX,CarMax
2024-12-30,83.33,83.35,82.040001,82.059998,1149000,KMX,CarMax
2024-12-27,84.099998,85.31,83.27,83.77,1319900,KMX,CarMax
2024-12-26,84.23,85.54,83.79,85.17,1160300,KMX,CarMax
2024-12-24,84.0,85.2,83.63,84.91,901600,KMX,CarMax
2024-12-23,84.11,84.2,82.53,83.7,1864100,KMX,CarMax
2024-12-20,85.4,85.4,82.12,84.27,4192700,KMX,CarMax
2024-12-19,91.25,91.25,82.99,84.23,5329400,KMX,CarMax
2024-12-18,84.18,84.69,81.2,81.42,4153000,KMX,CarMax
2024-12-17,85.2,85.87,83.080002,83.12,3233500,KMX,CarMax
2024-12-16,86.29,86.97,85.050003,85.98,2407000,KMX,CarMax
2024-12-13,86.79,86.79,85.53,86.26,1331100,KMX,CarMax
2024-12-12,86.63,87.57,86.62,86.78,1281400,KMX,CarMax
2024-12-11,87.0,87.87,86.55,87.0,1489000,KMX,CarMax
2024-12-10,87.5,87.5,85.089996,86.080002,1486200,KMX,CarMax
2024-12-09,86.45,87.98,86.42,87.2,2805900,KMX,CarMax
2024-12-06,85.5,86.6,85.24,86.23,4643500,KMX,CarMax
2024-12-05,84.18,85.48,84.18,84.56,1592300,KMX,CarMax
2024-12-04,84.0,84.64,83.33,83.63,1680300,KMX,CarMax
2024-12-03,83.22,84.67,82.73,84.22,2224900,KMX,CarMax
2024-12-02,83.81,84.16,83.010002,83.18,1553700,KMX,CarMax
2024-11-29,85.0,85.31,83.95,83.97,807500,KMX,CarMax
2024-11-27,85.65,86.36,84.029999,84.59,1510900,KMX,CarMax
2024-11-26,83.51,85.25,83.18,85.089996,1605600,KMX,CarMax
2024-11-25,83.080002,86.49,82.18,85.15,3791200,KMX,CarMax
2024-11-22,81.27,81.93,80.47,81.6,2052200,KMX,CarMax
2024-11-21,77.91,81.33,77.5,80.63,3318100,KMX,CarMax
2024-11-20,74.87,76.72,74.63,76.66,1924500,KMX,CarMax
2024-11-19,75.65,75.82,74.36,75.3,1727600,KMX,CarMax
2024-11-18,78.050003,78.93,77.059998,77.099998,1933700,KMX,CarMax
2024-11-15,77.95,78.41,77.16,78.029999,1216000,KMX,CarMax
2024-11-14,78.54,79.65,77.9,78.21,1465100,KMX,CarMax
2024-11-13,77.5,78.91,76.7,77.86,2170000,KMX,CarMax
2024-11-12,76.32,77.23,76.32,76.69,1508600,KMX,CarMax
2024-11-11,75.69,77.43,75.63,76.78,1532500,KMX,CarMax
2024-11-08,76.26,76.53,75.19,75.54,1390900,KMX,CarMax
2024-11-07,77.0,77.38,75.45,76.44,1384100,KMX,CarMax
2024-11-06,77.0,78.16,76.61,76.93,2566600,KMX,CarMax
2024-11-05,72.35,73.99,72.029999,73.87,1151600,KMX,CarMax
2024-11-04,72.0,74.029999,72.0,73.059998,1251900,KMX,CarMax
2024-11-01,72.62,74.26,72.059998,72.3,1208300,KMX,CarMax
2024-10-31,73.85,74.39,72.32,72.38,1296200,KMX,CarMax
2024-10-30,73.88,75.71,73.66,74.050003,1415400,KMX,CarMax
2024-10-29,73.5,74.029999,73.019997,73.71,994500,KMX,CarMax
2024-10-28,73.16,74.36,72.88,74.31,1198500,KMX,CarMax
2024-10-25,72.59,72.74,71.94,72.0,1150000,KMX,CarMax
2024-10-24,72.53,72.92,72.029999,72.58,1079100,KMX,CarMax
2024-10-23,71.42,73.29,71.38,72.0,1752900,KMX,CarMax
2024-10-22,71.4,72.019997,70.82,71.48,1659600,KMX,CarMax
2024-10-21,74.36,74.37,71.81,71.94,2117400,KMX,CarMax
2024-10-18,75.25,75.25,74.11,74.7,1198300,KMX,CarMax
2024-10-17,75.010002,75.31,74.26,75.12,1222700,KMX,CarMax
2024-10-16,74.99,75.47,74.15,74.81,1250800,KMX,CarMax
2024-10-15,73.19,75.66,73.19,73.67,1924200,KMX,CarMax
2024-10-14,72.040001,73.19,71.22,73.040001,1490000,KMX,CarMax
2024-10-13,72.040001,73.19,71.22,73.040001,1490012,KMX,CarMax
2024-10-11,71.2,72.37,71.19,72.14,1411700,KMX,CarMax
2024-10-10,71.2,72.37,71.195,72.14,1411680,KMX,CarMax
2024-10-09,72.14,72.14,71.0,71.2,1701100,KMX,CarMax
2024-10-08,72.2,73.16,71.07,72.13,1878800,KMX,CarMax
2024-10-07,72.5,73.12,71.059998,72.27,2142200,KMX,CarMax
2024-10-04,75.4,75.64,72.57,73.089996,2158300,KMX,CarMax
2024-10-03,74.86,74.86,73.7,74.19,1494800,KMX,CarMax
2024-10-02,77.45,77.48,75.21,75.43,1681300,KMX,CarMax
2024-10-01,76.82,78.61,75.84,78.17,2419700,KMX,CarMax
2024-09-30,76.93,77.83,76.41,77.38,2010900,KMX,CarMax
2024-09-27,78.87,79.17,76.29,77.32,2728200,KMX,CarMax
2024-09-26,72.99,79.71,72.73,78.21,6531600,KMX,CarMax
2024-09-25,76.41,76.42,74.36,74.49,3611900,KMX,CarMax
2024-09-24,76.5,76.55,75.69,76.5,2471300,KMX,CarMax
2024-09-23,76.42,77.18,75.83,76.45,1818100,KMX,CarMax
2024-09-20,77.15,77.91,75.53,76.099998,3706700,KMX,CarMax
2024-09-19,79.4,79.45,77.0,77.39,2873500,KMX,CarMax
2024-09-18,79.35,79.94,77.07,77.21,2652600,KMX,CarMax
2024-09-17,79.73,80.52,78.92,79.39,1831600,KMX,CarMax
2024-09-16,79.6,80.78,78.32,79.040001,1271400,KMX,CarMax
2024-09-13,77.16,78.95,77.16,78.78,1489400,KMX,CarMax
2024-09-12,75.44,76.91,74.61,76.28,1232500,KMX,CarMax
2024-09-11,76.89,76.89,73.84,75.2,1938600,KMX,CarMax
2024-09-10,79.51,79.83,75.16,77.72,2987700,KMX,CarMax
2024-09-09,79.68,81.55,79.68,80.63,1468900,KMX,CarMax
2024-09-06,80.55,81.64,79.32,79.38,1047100,KMX,CarMax
2024-09-05,82.35,82.52,80.58,80.91,1245600,KMX,CarMax
2024-09-04,82.82,83.050003,81.83,81.85,1544900,KMX,CarMax
2024-09-03,83.53,84.22,82.43,83.029999,1062000,KMX,CarMax
2024-08-30,85.81,85.94,83.56,84.55,1163600,KMX,CarMax
2024-08-29,85.47,85.89,83.97,85.31,1383300,KMX,CarMax
2024-08-28,84.019997,85.33,83.75,84.75,1053700,KMX,CarMax
2024-08-27,84.54,84.82,83.28,84.41,1080500,KMX,CarMax
2024-08-26,86.55,86.82,84.99,85.019997,1524000,KMX,CarMax
2024-08-23,83.050003,85.94,82.38,85.78,1635200,KMX,CarMax
2024-08-22,82.3,82.6,81.67,82.13,653500,KMX,CarMax
2024-08-21,80.48,82.51,80.33,82.49,1257400,KMX,CarMax
2024-08-20,80.089996,80.48,79.34,79.79,623200,KMX,CarMax
2024-08-19,80.019997,81.19,79.37,80.31,1028800,KMX,CarMax
2024-08-16,79.75,80.91,79.26,79.86,1114200,KMX,CarMax
2024-08-15,79.35,80.52,78.61,79.84,1530400,KMX,CarMax
2024-08-14,77.089996,78.73,76.8,77.45,1414300,KMX,CarMax
2024-08-13,73.9,77.010002,73.58,76.82,1450700,KMX,CarMax
2024-08-12,75.71,75.98,73.5,73.57,1118300,KMX,CarMax
2024-08-09,75.82,75.83,74.39,75.69,1487300,KMX,CarMax
2024-08-08,74.040001,76.07,74.040001,75.83,1162200,KMX,CarMax
2024-08-07,76.66,77.0,73.62,73.73,2565400,KMX,CarMax
