datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,63.7,63.93,63.39,63.48,12102100,KO,Coca-Cola Company (The)
2025-01-30,63.85,64.29,63.23,64.050003,13201000,KO,Coca-Cola Company (The)
2025-01-29,62.56,63.36,62.55,62.83,11325600,KO,Coca-Cola Company (The)
2025-01-28,63.51,64.040001,62.28,62.36,14956000,KO,Coca-Cola Company (The)
2025-01-27,62.87,64.18,62.47,63.87,20742900,KO,Coca-Cola Company (The)
2025-01-24,61.72,62.0099983,61.44,61.92,19244600,KO,Coca-Cola Company (The)
2025-01-23,61.8,61.98,61.37,61.53,16528400,KO,Coca-Cola Company (The)
2025-01-22,62.12,62.29,61.66,61.78,18191900,KO,Coca-Cola Company (The)
2025-01-21,62.9,63.23,62.3,62.42,19817100,KO,Coca-Cola Company (The)
2025-01-17,62.31,62.77,62.17,62.71,17948900,KO,Coca-Cola Company (The)
2025-01-16,61.42,62.3,61.32,62.25,12585500,KO,Coca-Cola Company (The)
2025-01-15,62.33,62.62,61.68,61.77,16187200,KO,Coca-Cola Company (The)
2025-01-14,61.66,62.07,61.3,62.040001,16658300,KO,Coca-Cola Company (The)
2025-01-13,61.13,61.85,60.71,61.65,18016200,KO,Coca-Cola Company (The)
2025-01-10,61.58,61.65,60.73,61.07,22425000,KO,Coca-Cola Company (The)
2025-01-08,60.99,61.77,60.93,61.71,14412400,KO,Coca-Cola Company (The)
2025-01-07,61.11,61.72,60.62,60.84,17799600,KO,Coca-Cola Company (The)
2025-01-06,61.5,61.57,60.66,60.81,17924200,KO,Coca-Cola Company (The)
2025-01-03,61.9,62.080002,61.62,61.75,10403200,KO,Coca-Cola Company (The)
2025-01-02,62.35,62.75,61.62,61.84,12991000,KO,Coca-Cola Company (The)
2024-12-31,62.02,62.43,61.8,62.26,9256700,KO,Coca-Cola Company (The)
2024-12-30,62.34,62.34,61.68,62.029999,8972200,KO,Coca-Cola Company (The)
2024-12-27,62.45,62.95,62.21,62.45,8542800,KO,Coca-Cola Company (The)
2024-12-26,62.62,62.74,62.4,62.57,7943800,KO,Coca-Cola Company (The)
2024-12-24,62.2,62.84,62.0099983,62.84,5019100,KO,Coca-Cola Company (The)
2024-12-23,62.5,62.76,61.53,62.38,13010800,KO,Coca-Cola Company (The)
2024-12-20,62.47,63.060001,62.28,62.55,42458100,KO,Coca-Cola Company (The)
2024-12-19,62.7,63.17,62.4,62.45,21300600,KO,Coca-Cola Company (The)
2024-12-18,62.81,63.64,62.79,62.85,20946100,KO,Coca-Cola Company (The)
2024-12-17,62.45,63.55,62.32,63.4,21902400,KO,Coca-Cola Company (The)
2024-12-16,63.23,63.86,62.35,62.55,24559700,KO,Coca-Cola Company (The)
2024-12-13,63.57,63.84,63.11,63.12,13429000,KO,Coca-Cola Company (The)
2024-12-12,63.55,63.92,63.22,63.84,17542100,KO,Coca-Cola Company (The)
2024-12-11,63.0,63.63,62.4,62.64,32819000,KO,Coca-Cola Company (The)
2024-12-10,62.7,63.040001,61.79,62.91,14949400,KO,Coca-Cola Company (The)
2024-12-09,62.69,62.93,61.9,62.6,22348300,KO,Coca-Cola Company (The)
2024-12-06,62.83,63.36,62.51,62.53,15581100,KO,Coca-Cola Company (The)
2024-12-05,62.47,63.12,62.099998,62.92,21040400,KO,Coca-Cola Company (The)
2024-12-04,63.28,63.35,61.9,62.21,28137700,KO,Coca-Cola Company (The)
2024-12-03,63.72,64.080002,63.029999,63.52,24874500,KO,Coca-Cola Company (The)
2024-12-02,64.050003,64.19,63.35,63.65,16500100,KO,Coca-Cola Company (The)
2024-11-29,64.019997,64.25,63.77,64.080002,10648400,KO,Coca-Cola Company (The)
2024-11-27,64.96,65.099998,64.25,64.43,13263400,KO,Coca-Cola Company (The)
2024-11-26,64.31,64.64,64.059998,64.55,14473300,KO,Coca-Cola Company (The)
2024-11-25,64.32,64.71,63.84,64.38,36805300,KO,Coca-Cola Company (The)
2024-11-22,64.24,64.48,63.65,63.92,19562200,KO,Coca-Cola Company (The)
2024-11-21,63.15,63.81,62.95,63.76,17292300,KO,Coca-Cola Company (The)
2024-11-20,62.7,63.0099983,62.02,62.99,18904900,KO,Coca-Cola Company (The)
2024-11-19,61.9,62.62,61.63,62.59,16254800,KO,Coca-Cola Company (The)
2024-11-18,61.85,62.14,61.56,61.86,16079400,KO,Coca-Cola Company (The)
2024-11-15,62.49,62.63,61.39,61.74,26284300,KO,Coca-Cola Company (The)
2024-11-14,63.11,63.11,62.43,62.55,15910800,KO,Coca-Cola Company (The)
2024-11-13,63.049999,63.26,62.49,63.0,13177600,KO,Coca-Cola Company (The)
2024-11-12,63.68,63.75,63.12,63.2,15021000,KO,Coca-Cola Company (The)
2024-11-11,63.99,64.12,63.25,63.36,13980900,KO,Coca-Cola Company (The)
2024-11-08,63.91,64.24,63.74,63.92,14719300,KO,Coca-Cola Company (The)
2024-11-07,64.29,64.39,63.6,63.66,14856100,KO,Coca-Cola Company (The)
2024-11-06,64.42,64.86,63.18,63.7,22899300,KO,Coca-Cola Company (The)
2024-11-05,64.64,65.47,64.64,65.37,8780200,KO,Coca-Cola Company (The)
2024-11-04,65.080002,65.42,64.65,65.11,10984500,KO,Coca-Cola Company (The)
2024-11-01,65.47,65.66,64.89,65.010002,12163100,KO,Coca-Cola Company (The)
2024-10-31,65.81,65.99,65.26,65.31,13383700,KO,Coca-Cola Company (The)
2024-10-30,65.51,66.54,65.32,65.92,14177800,KO,Coca-Cola Company (The)
2024-10-29,66.29,66.34,65.52,65.56,16525900,KO,Coca-Cola Company (The)
2024-10-28,66.96,67.4,66.6,66.67,10761400,KO,Coca-Cola Company (The)
2024-10-25,67.07,67.7,66.79,66.92,11138100,KO,Coca-Cola Company (The)
2024-10-24,67.65,68.040001,66.95,67.3,17568800,KO,Coca-Cola Company (The)
2024-10-23,66.99,68.7,66.58,68.010002,24655200,KO,Coca-Cola Company (The)
2024-10-22,69.0,69.75,68.68,69.45,18603300,KO,Coca-Cola Company (The)
2024-10-21,70.0,70.33,69.31,69.45,11981200,KO,Coca-Cola Company (The)
2024-10-18,69.87,70.55,69.61,70.44,15087500,KO,Coca-Cola Company (The)
2024-10-17,70.63,70.69,69.58,69.9,14674600,KO,Coca-Cola Company (The)
2024-10-16,70.089996,70.7,69.97,70.57,7937300,KO,Coca-Cola Company (The)
2024-10-15,70.46,71.21,70.16,70.34,10358700,KO,Coca-Cola Company (The)
