datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,21.41,21.63,21.275,21.29,16433400,KVUE,Kenvue
2025-01-30,21.5,21.77,21.38,21.72,11733100,KVUE,Kenvue
2025-01-29,21.44,21.51,21.21,21.31,12249200,KVUE,Kenvue
2025-01-28,21.4,21.65,21.32,21.36,13831600,KVUE,Kenvue
2025-01-27,21.12,21.54,21.075001,21.44,15342800,KVUE,Kenvue
2025-01-24,20.79,20.86,20.715,20.78,12092500,KVUE,Kenvue
2025-01-23,20.72,20.82,20.485,20.75,12575000,KVUE,Kenvue
2025-01-22,20.8,20.85,20.6,20.75,19218300,KVUE,Kenvue
2025-01-21,21.2,21.22,20.61,20.8,19203400,KVUE,Kenvue
2025-01-17,21.2,21.345,21.030001,21.1,11267000,KVUE,Kenvue
2025-01-16,20.74,21.215,20.72,21.19,8810500,KVUE,Kenvue
2025-01-15,21.19,21.258,20.76,20.85,10050000,KVUE,Kenvue
2025-01-14,20.98,21.125,20.93,21.030001,7275900,KVUE,Kenvue
2025-01-13,20.83,21.09,20.7,20.97,12682000,KVUE,Kenvue
2025-01-10,20.9,20.966,20.68,20.85,11057100,KVUE,Kenvue
2025-01-08,20.99,21.11,20.73,21.1,7579300,KVUE,Kenvue
2025-01-07,21.15,21.32,20.94,21.049999,8828800,KVUE,Kenvue
2025-01-06,21.6,21.6,21.059999,21.11,10740100,KVUE,Kenvue
2025-01-03,21.32,21.35,21.094999,21.2,6079200,KVUE,Kenvue
2025-01-02,21.52,21.58,21.15,21.28,8253900,KVUE,Kenvue
2025-01-01,21.52,21.58,21.15,21.28,8253942,KVUE,Kenvue
2024-12-31,21.25,21.43,21.22,21.35,6934200,KVUE,Kenvue
2024-12-30,21.43,21.46,21.18,21.18,7123700,KVUE,Kenvue
2024-12-29,21.43,21.46,21.18,21.18,7123914,KVUE,Kenvue
2024-12-27,21.59,21.805,21.53,21.53,9833600,KVUE,Kenvue
2024-12-26,21.5,21.77,21.44,21.72,5970300,KVUE,Kenvue
2024-12-25,21.5,21.77,21.44,21.72,5970305,KVUE,Kenvue
2024-12-24,21.48,21.64,21.37,21.56,9164900,KVUE,Kenvue
2024-12-23,21.71,21.826,21.53,21.59,13256800,KVUE,Kenvue
2024-12-20,21.52,21.97,21.47,21.77,22915000,KVUE,Kenvue
2024-12-19,21.52,21.76,21.42,21.61,13048400,KVUE,Kenvue
2024-12-18,22.0,22.17,21.47,21.51,15271800,KVUE,Kenvue
2024-12-17,22.1,22.175,21.86,22.040001,10278500,KVUE,Kenvue
2024-12-16,22.33,22.475,22.049999,22.07,7786300,KVUE,Kenvue
2024-12-13,22.28,22.31,21.94,22.21,9184000,KVUE,Kenvue
2024-12-12,21.98,22.635,21.764,22.32,14949900,KVUE,Kenvue
2024-12-11,22.75,22.775,22.19,22.22,9433200,KVUE,Kenvue
2024-12-10,22.77,22.975,22.39,22.74,10492300,KVUE,Kenvue
2024-12-09,23.0,23.26,22.74,22.81,15267200,KVUE,Kenvue
2024-12-06,23.24,23.35,22.82,22.84,9708800,KVUE,Kenvue
2024-12-05,23.39,23.46,23.0,23.13,13914400,KVUE,Kenvue
2024-12-04,23.45,23.525,22.175,23.16,27219800,KVUE,Kenvue
2024-12-03,24.13,24.23,23.43,23.48,13665700,KVUE,Kenvue
2024-12-02,24.11,24.27,23.875,24.26,10173800,KVUE,Kenvue
2024-11-29,24.0,24.24,23.88,24.08,7516500,KVUE,Kenvue
2024-11-27,24.21,24.405,24.049999,24.13,11666900,KVUE,Kenvue
2024-11-26,24.275,24.46,23.94,24.12,12315700,KVUE,Kenvue
2024-11-25,24.245,24.4,23.985,24.24,26971900,KVUE,Kenvue
