datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,81.95,81.95,81.66,81.73,8377100,K,Kellanova
2025-01-30,81.94,81.95,81.75,81.94,1582100,K,Kellanova
2025-01-29,81.9,82.050003,81.75,81.77,1155100,K,Kellanova
2025-01-28,82.0,82.010002,81.72,81.8,1697000,K,Kellanova
2025-01-27,82.0,82.059998,81.65,81.96,2773400,K,Kellanova
2025-01-24,81.66,81.91,81.64,81.87,1579700,K,Kellanova
2025-01-23,81.7,81.8,81.63,81.77,868400,K,Kellanova
2025-01-22,81.6,81.72,81.51,81.64,1417200,K,Kellanova
2025-01-21,81.79,81.82,81.59,81.69,3778000,K,Kellanova
2025-01-17,81.49,81.79,81.35,81.78,2647200,K,Kellanova
2025-01-16,81.23,81.59,81.19,81.56,2888300,K,Kellanova
2025-01-15,81.45,81.52,81.15,81.19,3116400,K,Kellanova
2025-01-14,81.4,81.47,81.33,81.43,2302300,K,Kellanova
2025-01-13,81.51,81.57,81.32,81.51,2561000,K,Kellanova
2025-01-10,81.41,81.55,81.33,81.51,1821100,K,Kellanova
2025-01-08,81.38,81.58,81.050003,81.54,1643000,K,Kellanova
2025-01-07,81.25,81.39,81.18,81.35,2514800,K,Kellanova
2025-01-06,81.15,81.26,81.029999,81.22,1986000,K,Kellanova
2025-01-03,81.080002,81.33,81.010002,81.21,1521700,K,Kellanova
2025-01-02,81.010002,81.12,80.91,81.059998,2041000,K,Kellanova
2024-12-31,81.0,81.019997,80.84,80.97,1094800,K,Kellanova
2024-12-30,81.059998,81.059998,80.69,80.82,1331300,K,Kellanova
2024-12-27,81.029999,81.29,80.94,81.17,921700,K,Kellanova
2024-12-26,80.75,81.13,80.73,81.11,909400,K,Kellanova
2024-12-24,80.57,80.88,80.57,80.82,577900,K,Kellanova
2024-12-23,80.45,80.72,80.45,80.7,1228700,K,Kellanova
2024-12-22,80.45,80.72,80.45,80.7,1228725,K,Kellanova
2024-12-20,80.34,80.99,80.33,80.5,5307400,K,Kellanova
2024-12-19,80.4,80.61,80.34,80.34,2230900,K,Kellanova
2024-12-18,80.59,80.65,80.38,80.39,4008800,K,Kellanova
2024-12-17,80.65,80.74,80.56,80.59,2609400,K,Kellanova
2024-12-16,80.65,80.74,80.56,80.59,2609675,K,Kellanova
2024-12-13,80.75,80.82,80.56,80.56,2632300,K,Kellanova
2024-12-12,80.79,80.84,80.65,80.71,1373800,K,Kellanova
2024-12-11,80.83,80.88,80.6,80.64,1648000,K,Kellanova
2024-12-10,80.63,80.83,80.62,80.7,1341900,K,Kellanova
2024-12-09,80.66,80.82,80.57,80.58,1409600,K,Kellanova
2024-12-06,80.72,80.93,80.65,80.74,1187400,K,Kellanova
2024-12-05,80.5,80.84,80.46,80.77,1568100,K,Kellanova
2024-12-04,80.51,80.68,80.43,80.49,2040500,K,Kellanova
2024-12-03,80.65,80.75,80.54,80.59,1220900,K,Kellanova
2024-12-02,80.86,80.92,80.58,80.7,2653700,K,Kellanova
2024-11-29,81.099998,81.32,81.099998,81.29,1054000,K,Kellanova
2024-11-27,81.2,81.28,81.080002,81.15,1292800,K,Kellanova
2024-11-26,81.040001,81.21,81.040001,81.13,1123400,K,Kellanova
2024-11-25,81.0,81.16,80.8,81.11,4011500,K,Kellanova
2024-11-22,81.0,81.2,80.84,81.17,1525400,K,Kellanova
2024-11-21,80.71,81.089996,80.69,81.019997,1833300,K,Kellanova
2024-11-20,80.51,80.79,80.5,80.78,1383900,K,Kellanova
2024-11-19,80.4,80.58,80.37,80.55,1752300,K,Kellanova
2024-11-18,80.64,80.85,80.49,80.6,2480700,K,Kellanova
2024-11-15,81.0,81.15,80.4,80.57,3846300,K,Kellanova
2024-11-14,81.25,81.25,80.8,80.85,2454200,K,Kellanova
2024-11-13,81.13,81.21,81.0,81.18,1124800,K,Kellanova
2024-11-12,81.099998,81.34,81.019997,81.029999,1180900,K,Kellanova
2024-11-11,80.96,81.18,80.96,81.099998,1410200,K,Kellanova
2024-11-08,80.94,81.099998,80.77,81.0,1241600,K,Kellanova
2024-11-07,80.97,81.040001,80.65,80.66,2632000,K,Kellanova
2024-11-06,81.059998,81.19,80.8,80.94,3800000,K,Kellanova
2024-11-05,80.69,80.89,80.58,80.86,2081800,K,Kellanova
2024-11-04,80.7,80.75,80.49,80.6,1858100,K,Kellanova
2024-11-01,80.59,80.79,80.59,80.61,3774000,K,Kellanova
2024-10-31,80.76,80.99,80.53,80.65,3243800,K,Kellanova
2024-10-30,80.57,80.9,80.52,80.85,1221600,K,Kellanova
2024-10-29,80.6,80.76,80.55,80.57,1911000,K,Kellanova
2024-10-28,80.96,81.029999,80.6,80.6,2488500,K,Kellanova
2024-10-25,80.91,80.97,80.8,80.88,1894200,K,Kellanova
2024-10-24,80.98,81.13,80.93,81.029999,1399800,K,Kellanova
2024-10-23,80.95,80.99,80.78,80.96,1455900,K,Kellanova
2024-10-22,81.2,81.25,80.91,80.92,2109400,K,Kellanova
2024-10-21,81.0,81.26,80.85,81.17,2157600,K,Kellanova
2024-10-18,81.050003,81.07,80.88,81.050003,1643100,K,Kellanova
2024-10-17,81.019997,81.12,80.91,81.019997,1205300,K,Kellanova
2024-10-16,80.81,81.21,80.8,81.059998,808900,K,Kellanova
2024-10-15,80.68,81.089996,80.6,80.93,1305900,K,Kellanova
2024-10-14,80.55,80.7,80.54,80.63,1293500,K,Kellanova
2024-10-11,80.59,80.6,80.51,80.55,1152000,K,Kellanova
2024-10-10,80.59,80.62,80.5,80.54,1794600,K,Kellanova
2024-10-09,80.6,80.66,80.56,80.56,1446200,K,Kellanova
2024-10-08,80.64,80.65,80.54,80.56,1999200,K,Kellanova
2024-10-07,80.61,80.69,80.55,80.62,1825500,K,Kellanova
2024-10-04,80.59,80.75,80.53,80.61,1198100,K,Kellanova
2024-10-03,80.55,80.68,80.55,80.63,1788400,K,Kellanova
2024-10-02,80.55,80.69,80.54,80.59,1995900,K,Kellanova
2024-10-01,80.7,80.74,80.56,80.65,2728600,K,Kellanova
2024-09-30,80.88,81.0,80.65,80.71,2376700,K,Kellanova
2024-09-27,80.57,80.85,80.57,80.78,1330400,K,Kellanova
2024-09-26,80.6,80.69,80.49,80.64,1421100,K,Kellanova
2024-09-25,80.66,80.74,80.56,80.59,1627400,K,Kellanova
2024-09-24,80.65,80.76,80.61,80.67,1412900,K,Kellanova
2024-09-23,80.61,80.83,80.57,80.62,1642800,K,Kellanova
2024-09-20,80.65,80.88,80.5,80.81,5842900,K,Kellanova
2024-09-19,80.64,80.72,80.54,80.65,1792700,K,Kellanova
2024-09-18,80.63,80.91,80.63,80.65,2455600,K,Kellanova
2024-09-17,80.62,80.77,80.61,80.64,2212200,K,Kellanova
2024-09-16,80.47,80.8,80.47,80.68,2276500,K,Kellanova
2024-09-13,80.27,80.75,80.27,80.68,2266900,K,Kellanova
2024-09-12,80.010002,80.48,80.010002,80.26,3569500,K,Kellanova
2024-09-11,80.040001,80.07,79.9,79.92,2656100,K,Kellanova
2024-09-10,80.15,80.32,79.99,80.0,2387300,K,Kellanova
2024-09-09,80.17,80.37,80.11,80.17,1982100,K,Kellanova
2024-09-06,80.14,80.25,80.019997,80.089996,2778000,K,Kellanova
2024-09-05,80.27,80.3,79.86,80.19,2795200,K,Kellanova
2024-09-04,80.24,80.43,80.15,80.19,3310100,K,Kellanova
2024-09-03,80.15,80.2,80.010002,80.16,2772900,K,Kellanova
2024-08-30,80.51,80.61,80.36,80.61,4352900,K,Kellanova
2024-08-29,80.55,80.62,80.43,80.53,3459900,K,Kellanova
2024-08-28,80.78,80.78,80.56,80.62,3946100,K,Kellanova
2024-08-27,80.7,80.8,80.65,80.79,2483100,K,Kellanova
2024-08-26,80.62,80.97,80.57,80.68,2209800,K,Kellanova
2024-08-23,80.55,80.74,80.55,80.67,2489600,K,Kellanova
2024-08-22,80.55,80.68,80.46,80.64,4351300,K,Kellanova
2024-08-21,80.35,80.6,80.27,80.59,4541300,K,Kellanova
2024-08-20,80.28,80.52,80.24,80.3,5432700,K,Kellanova
2024-08-19,80.31,80.43,80.21,80.26,5577500,K,Kellanova
2024-08-16,80.22,80.4,80.22,80.29,7353600,K,Kellanova
2024-08-15,80.25,80.36,80.13,80.28,9361800,K,Kellanova
2024-08-14,79.97,80.46,79.86,80.28,45727000,K,Kellanova
2024-08-13,74.14,74.69,73.79,74.5,2267600,K,Kellanova
2024-08-12,74.13,75.48,73.82,73.99,3906500,K,Kellanova
2024-08-09,74.35,75.22,72.92,74.88,3867500,K,Kellanova
2024-08-08,72.45,74.36,72.27,74.35,4136700,K,Kellanova
2024-08-07,73.82,74.58,72.7,72.96,5493100,K,Kellanova
2024-08-06,73.35,75.059998,72.84,73.35,7775700,K,Kellanova
2024-08-05,75.11,75.4,70.32,73.2,16463900,K,Kellanova
2024-08-02,63.07,64.18,61.47,62.98,4730500,K,Kellanova
2024-08-01,60.099998,62.16,59.79,62.049999,5059900,K,Kellanova
2024-07-31,57.78,58.66,57.4,58.15,4311500,K,Kellanova
2024-07-30,56.66,57.67,56.62,57.55,2067700,K,Kellanova
2024-07-29,57.17,57.47,56.73,57.13,1872600,K,Kellanova
2024-07-26,57.32,57.62,57.060001,57.47,1805300,K,Kellanova
2024-07-25,57.46,58.33,56.9,57.28,1549100,K,Kellanova
2024-07-24,56.69,57.37,56.37,57.23,1883200,K,Kellanova
2024-07-23,57.51,57.7,56.48,56.61,1802600,K,Kellanova
2024-07-22,57.82,57.92,57.41,57.61,1656700,K,Kellanova
2024-07-19,59.23,59.42,57.79,57.96,1613600,K,Kellanova
2024-07-18,58.12,59.63,58.12,58.83,1617800,K,Kellanova
2024-07-17,57.26,59.11,57.060001,58.95,2201100,K,Kellanova
