datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,444.42001,448.17001,438.64001,446.12,2820700,LIN,Linde plc
2025-01-30,439.0,449.67001,439.0,446.38,2545900,LIN,Linde plc
2025-01-29,435.22,439.019989,434.48999,438.32001,2631100,LIN,Linde plc
2025-01-28,440.0,440.41,435.23999,435.51001,2158400,LIN,Linde plc
2025-01-27,438.34,441.39999,434.98999,439.48999,2833400,LIN,Linde plc
2025-01-24,442.87,443.37,439.040009,439.25,1547800,LIN,Linde plc
2025-01-23,442.72,443.14001,440.42999,440.82999,1811300,LIN,Linde plc
2025-01-22,445.67001,448.69,442.47,442.60001,2643900,LIN,Linde plc
2025-01-21,439.67001,444.070007,439.44,442.45999,2281900,LIN,Linde plc
2025-01-17,440.0,440.0,433.53,436.0,2412200,LIN,Linde plc
2025-01-16,427.92001,432.75,427.64999,432.48999,1511600,LIN,Linde plc
2025-01-15,433.22,433.92001,426.41,427.98001,2202300,LIN,Linde plc
2025-01-14,422.28,427.81,420.72,427.29001,2344300,LIN,Linde plc
2025-01-13,415.79001,422.67999,413.70001,421.42999,2824500,LIN,Linde plc
2025-01-10,415.60999,417.89001,411.72,414.14999,2642600,LIN,Linde plc
2025-01-08,416.73999,420.42001,414.20001,420.01001,2252300,LIN,Linde plc
2025-01-07,412.029999,419.0,410.69,414.95001,3209100,LIN,Linde plc
2025-01-06,415.42999,418.38,412.12,412.91,2630600,LIN,Linde plc
2025-01-03,416.14999,417.98999,413.10001,413.5,1995900,LIN,Linde plc
2025-01-02,420.75,422.72,413.76999,414.17001,2110900,LIN,Linde plc
2024-12-31,418.60999,420.10999,415.75,418.67001,1386700,LIN,Linde plc
2024-12-30,419.17999,420.26001,415.41,417.66,1608000,LIN,Linde plc
2024-12-27,423.20999,425.95999,421.54001,422.98001,1444900,LIN,Linde plc
2024-12-26,424.12,426.60001,422.91,424.32001,991500,LIN,Linde plc
2024-12-24,422.17999,426.059998,420.57999,425.76999,824200,LIN,Linde plc
2024-12-23,422.42999,425.66,417.67999,422.32999,2084300,LIN,Linde plc
2024-12-20,419.23001,425.34,418.26999,424.31,6680900,LIN,Linde plc
2024-12-19,422.10001,425.57001,419.029999,419.59,3292000,LIN,Linde plc
2024-12-18,428.92001,431.29999,422.049988,422.26999,3271900,LIN,Linde plc
2024-12-17,428.23999,433.19,425.94,430.20001,3320200,LIN,Linde plc
2024-12-16,435.72,435.73001,427.41,428.29999,3691400,LIN,Linde plc
2024-12-13,437.60999,437.79999,432.76001,435.29999,2254200,LIN,Linde plc
2024-12-12,439.94,442.38,437.89999,438.5,1719300,LIN,Linde plc
2024-12-11,443.29001,445.64999,440.16,440.53,1612500,LIN,Linde plc
2024-12-10,444.81,446.38,437.25,444.81,2326100,LIN,Linde plc
2024-12-09,447.89999,450.79999,441.92999,442.57999,2833900,LIN,Linde plc
2024-12-06,448.049988,450.85999,446.95001,449.44,2191300,LIN,Linde plc
2024-12-05,457.26001,457.64999,448.01001,448.57999,2303200,LIN,Linde plc
2024-12-04,456.28,461.41,455.31,459.45001,2188300,LIN,Linde plc
2024-12-03,461.89999,461.89999,456.57999,458.12,1868300,LIN,Linde plc
2024-12-02,460.98999,461.040009,456.45001,459.69,1801800,LIN,Linde plc
2024-11-29,456.98999,461.66,456.089996,460.98999,1351500,LIN,Linde plc
2024-11-27,456.67999,459.60001,456.67999,457.12,2069100,LIN,Linde plc
2024-11-26,453.47,456.66,451.28,456.60001,2600000,LIN,Linde plc
2024-11-25,454.57999,457.0,453.019989,455.69,3835600,LIN,Linde plc
2024-11-22,453.84,457.20001,453.54999,454.78,1864800,LIN,Linde plc
2024-11-21,451.85001,455.14001,449.60999,455.070007,2072800,LIN,Linde plc
2024-11-20,443.73999,450.89999,441.53,450.14001,1928700,LIN,Linde plc
2024-11-19,443.79999,444.67001,439.76001,444.059998,2084600,LIN,Linde plc
2024-11-18,446.53,449.26001,445.29001,448.57001,1751400,LIN,Linde plc
2024-11-15,451.070007,451.69,446.89999,449.10001,2414000,LIN,Linde plc
2024-11-14,455.64999,457.87,453.10001,453.48999,1666700,LIN,Linde plc
2024-11-13,453.84,457.54001,450.85999,456.23999,1538400,LIN,Linde plc
2024-11-12,458.26999,460.29001,453.57999,455.59,1749000,LIN,Linde plc
2024-11-11,459.48001,462.39001,455.35001,456.44,1981200,LIN,Linde plc
2024-11-08,465.32999,465.62,459.20999,459.48001,1496700,LIN,Linde plc
2024-11-07,465.0,467.98001,463.59,465.47,1925500,LIN,Linde plc
2024-11-06,463.82001,465.69,458.32001,462.63,2626900,LIN,Linde plc
2024-11-05,458.32001,460.85999,454.17001,454.89001,1749000,LIN,Linde plc
2024-11-04,457.98001,461.79999,456.29001,458.32001,1616100,LIN,Linde plc
2024-11-01,456.51001,459.32999,453.5,457.31,2347400,LIN,Linde plc
2024-10-31,454.95001,463.0,454.47,456.14999,3615600,LIN,Linde plc
2024-10-30,473.26999,475.0,472.34,473.39999,1794300,LIN,Linde plc
2024-10-29,474.64999,476.32001,472.75,474.66,2056600,LIN,Linde plc
2024-10-28,475.81,478.0,473.70999,476.0,1440400,LIN,Linde plc
2024-10-25,475.12,478.64999,472.92999,473.76001,2458400,LIN,Linde plc
2024-10-24,478.35001,478.42999,471.62,474.45999,994300,LIN,Linde plc
2024-10-23,479.17001,482.23999,476.85999,477.42999,1541400,LIN,Linde plc
2024-10-22,481.78,482.48001,478.0,481.95001,1429700,LIN,Linde plc
2024-10-21,484.95001,485.48999,481.059998,483.35999,1065700,LIN,Linde plc
2024-10-18,483.14001,487.28,481.51001,486.45001,1255200,LIN,Linde plc
2024-10-17,486.92001,487.48999,484.38,486.059998,1051700,LIN,Linde plc
2024-10-16,478.51999,485.32001,478.32001,483.98001,1210100,LIN,Linde plc
2024-10-15,477.57999,483.35001,477.20001,480.70999,1477100,LIN,Linde plc
2024-10-14,474.38,478.14999,473.42001,477.57999,1076800,LIN,Linde plc
2024-10-11,472.10001,474.60999,470.84,474.040009,1105300,LIN,Linde plc
2024-10-10,471.91,472.63,467.73999,469.42001,1249500,LIN,Linde plc
2024-10-09,467.5,470.64001,467.029999,469.57001,1245500,LIN,Linde plc
2024-10-08,465.51001,470.059998,465.10999,469.44,1272300,LIN,Linde plc
2024-10-07,464.45001,466.34,460.76999,463.23999,2019600,LIN,Linde plc
2024-10-04,470.16,470.82999,464.88,468.17999,2131000,LIN,Linde plc
2024-10-03,471.95999,472.75,468.14999,469.75,1072300,LIN,Linde plc
2024-10-02,474.059998,477.44,472.66,475.84,1024600,LIN,Linde plc
2024-10-01,476.95999,477.85999,473.89001,475.019989,1342100,LIN,Linde plc
2024-09-30,479.31,479.59,474.14999,476.85999,1532600,LIN,Linde plc
2024-09-27,479.70001,483.35999,479.28,479.51001,1252500,LIN,Linde plc
2024-09-26,479.0,482.10999,476.5,481.67999,1092800,LIN,Linde plc
2024-09-25,481.0,481.60001,475.70001,477.01001,1283800,LIN,Linde plc
2024-09-24,478.95001,480.76001,475.48999,479.35001,1588600,LIN,Linde plc
2024-09-23,474.70001,479.19,472.10001,477.35999,1148400,LIN,Linde plc
2024-09-20,469.5,472.10999,466.75,471.91,3672700,LIN,Linde plc
2024-09-19,472.79999,473.14999,468.60999,469.17001,1897200,LIN,Linde plc
2024-09-18,471.66,471.66,464.73001,467.029999,1149900,LIN,Linde plc
2024-09-17,475.51999,476.98001,470.51001,471.66,1357100,LIN,Linde plc
2024-09-16,474.42999,475.48999,470.39001,474.91,1307200,LIN,Linde plc
2024-09-13,465.51001,471.78,465.0,468.81,1162700,LIN,Linde plc
2024-09-12,466.42999,467.44,462.41,467.34,1916900,LIN,Linde plc
2024-09-11,463.88,465.85001,453.5,465.10999,1585400,LIN,Linde plc
2024-09-10,461.97,465.63,460.84,463.72,1247100,LIN,Linde plc
2024-09-09,460.070007,465.53,459.51999,463.079987,2076200,LIN,Linde plc
2024-09-06,464.35001,467.67001,456.17001,456.85001,2012100,LIN,Linde plc
2024-09-05,470.34,471.47,463.089996,465.51999,1882200,LIN,Linde plc
2024-09-04,476.20999,477.57999,471.57001,472.13,1310300,LIN,Linde plc
2024-09-03,473.94,478.62,472.88,474.049988,2104000,LIN,Linde plc
2024-08-30,475.040009,479.79001,471.47,478.25,1385600,LIN,Linde plc
2024-08-29,473.73001,476.57999,470.32001,472.73001,944700,LIN,Linde plc
2024-08-28,472.84,475.64001,470.87,472.84,1327200,LIN,Linde plc
2024-08-27,472.70999,472.79001,468.62,472.34,1293400,LIN,Linde plc
2024-08-26,465.64001,469.76001,465.070007,468.45999,1216200,LIN,Linde plc
