datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,81.089996,84.22,80.85,81.050003,18840900,LRCX,Lam Research
2025-01-30,79.75,82.089996,77.59,80.73,24878500,LRCX,Lam Research
2025-01-29,77.45,77.49,74.47,75.15,14558900,LRCX,Lam Research
2025-01-28,75.11,75.67,73.6,74.51,13597700,LRCX,Lam Research
2025-01-27,76.79,76.83,73.41,75.63,19881300,LRCX,Lam Research
2025-01-24,81.7,81.7,78.98,79.68,9091900,LRCX,Lam Research
2025-01-23,80.75,81.39,79.45,81.23,11383300,LRCX,Lam Research
2025-01-22,82.43,85.19,82.42,83.25,14716600,LRCX,Lam Research
2025-01-21,80.82,82.43,79.92,81.5,10978300,LRCX,Lam Research
2025-01-17,81.41,81.81,79.6,80.3,10351000,LRCX,Lam Research
2025-01-16,78.89,82.83,78.31,79.22,19156600,LRCX,Lam Research
2025-01-15,75.86,77.27,75.45,76.15,11085800,LRCX,Lam Research
2025-01-14,75.040001,75.13,73.59,75.059998,9033100,LRCX,Lam Research
2025-01-13,73.17,74.58,72.56,74.45,8321800,LRCX,Lam Research
2025-01-10,76.019997,76.23,74.32,74.65,11957600,LRCX,Lam Research
2025-01-08,77.42,77.75,76.24,77.040001,8690800,LRCX,Lam Research
2025-01-07,78.86,80.14,76.89,77.52,10896600,LRCX,Lam Research
2025-01-06,77.18,80.15,77.0,77.98,15164600,LRCX,Lam Research
2025-01-03,73.18,75.28,72.97,75.11,8980100,LRCX,Lam Research
2025-01-02,72.71,73.92,71.74,72.44,8075100,LRCX,Lam Research
2024-12-31,72.4,72.8,71.54,72.23,7195200,LRCX,Lam Research
2024-12-30,72.0,72.59,71.27,72.15,10381700,LRCX,Lam Research
2024-12-27,73.3,73.76,72.64,73.4,5444100,LRCX,Lam Research
2024-12-26,73.25,74.56,73.0,73.99,6297400,LRCX,Lam Research
2024-12-24,74.07,74.17,73.23,73.83,5611700,LRCX,Lam Research
2024-12-23,72.35,73.99,72.0,73.8,10406700,LRCX,Lam Research
2024-12-22,72.35,73.99,72.0,73.8,10406721,LRCX,Lam Research
2024-12-20,70.54,73.47,70.3,71.79,29404500,LRCX,Lam Research
2024-12-19,72.75,72.91,70.16,71.21,17426400,LRCX,Lam Research
2024-12-18,78.040001,79.31,74.62,75.2,15804700,LRCX,Lam Research
2024-12-17,77.89,78.74,77.42,77.81,14167900,LRCX,Lam Research
2024-12-16,76.27,78.13,75.32,77.83,12749600,LRCX,Lam Research
2024-12-15,76.27,78.125,75.3218,77.83,12749609,LRCX,Lam Research
2024-12-13,76.38,77.32,75.44,76.26,10818700,LRCX,Lam Research
2024-12-12,77.25,77.36,74.95,75.58,8641500,LRCX,Lam Research
2024-12-11,76.32,78.72,75.43,78.23,14116900,LRCX,Lam Research
2024-12-10,78.14,78.25,74.42,75.13,10620100,LRCX,Lam Research
2024-12-09,76.47,78.25,75.67,77.45,10742200,LRCX,Lam Research
2024-12-06,75.14,76.69,74.69,76.59,8330000,LRCX,Lam Research
2024-12-05,77.88,77.88,74.65,75.21,12921600,LRCX,Lam Research
2024-12-04,79.54,79.83,77.61,78.26,9380400,LRCX,Lam Research
2024-12-03,77.7,78.7,77.040001,78.34,9884600,LRCX,Lam Research
2024-12-02,73.88,78.86,73.86,78.51,20059300,LRCX,Lam Research
2024-11-29,73.85,75.77,73.66,73.88,10736500,LRCX,Lam Research
2024-11-27,72.73,72.87,70.42,71.57,7846700,LRCX,Lam Research
2024-11-26,74.11,74.47,72.0,72.69,7385200,LRCX,Lam Research
2024-11-25,74.010002,74.029999,71.64,73.71,16714200,LRCX,Lam Research
2024-11-22,72.61,73.27,71.6,72.64,8666500,LRCX,Lam Research
2024-11-21,71.19,73.45,70.83,73.13,14509000,LRCX,Lam Research
2024-11-20,70.010002,70.22,68.87,70.050003,8816900,LRCX,Lam Research
2024-11-19,70.050003,70.52,69.56,70.17,7445900,LRCX,Lam Research
2024-11-18,69.89,70.8,69.64,70.57,11520100,LRCX,Lam Research
2024-11-15,71.65,72.71,69.99,70.050003,14577400,LRCX,Lam Research
2024-11-14,75.45,75.64,74.5,74.79,9993900,LRCX,Lam Research
2024-11-13,74.5,75.07,73.51,73.85,11618100,LRCX,Lam Research
2024-11-12,76.42,76.67,74.66,75.7,9672300,LRCX,Lam Research
2024-11-11,77.43,77.89,74.85,76.17,10306200,LRCX,Lam Research
2024-11-08,78.83,79.36,77.47,78.2,7527100,LRCX,Lam Research
2024-11-07,78.059998,79.47,77.35,79.21,11523600,LRCX,Lam Research
2024-11-06,77.68,78.089996,75.23,76.78,15034800,LRCX,Lam Research
2024-11-05,74.52,76.79,74.52,76.4,8004900,LRCX,Lam Research
2024-11-04,74.43,74.98,73.76,74.17,7773000,LRCX,Lam Research
2024-11-01,74.36,75.47,74.059998,74.8,10317500,LRCX,Lam Research
2024-10-31,76.099998,76.099998,73.45,74.35,13044900,LRCX,Lam Research
2024-10-30,76.86,77.2,75.85,76.45,11076800,LRCX,Lam Research
2024-10-29,75.85,78.74,75.44,78.31,12540800,LRCX,Lam Research
2024-10-28,77.17,78.029999,75.18,75.45,10175800,LRCX,Lam Research
2024-10-25,77.47,79.6,77.080002,77.68,14591100,LRCX,Lam Research
2024-10-24,76.18,77.48,74.45,76.57,23196200,LRCX,Lam Research
2024-10-23,72.37,73.47,71.56,72.86,20569100,LRCX,Lam Research
2024-10-22,72.67,73.41,71.43,73.0,13307000,LRCX,Lam Research
2024-10-21,72.62,73.099998,72.080002,72.84,12374900,LRCX,Lam Research
2024-10-20,72.62,73.099998,72.084999,72.84,12374950,LRCX,Lam Research
2024-10-18,74.23,74.23,72.45,72.84,18493400,LRCX,Lam Research
2024-10-17,76.46,76.6,73.029999,73.14,20940600,LRCX,Lam Research
2024-10-16,77.15,77.5,73.87,74.14,20469200,LRCX,Lam Research
2024-10-15,85.8,86.56,75.91,76.36,25611300,LRCX,Lam Research
2024-10-14,83.77,86.3,83.76,85.7,8155000,LRCX,Lam Research
2024-10-13,83.77,86.3,83.76,85.7,8155030,LRCX,Lam Research
2024-10-11,81.49,83.74,81.28,82.89,6530300,LRCX,Lam Research
2024-10-10,81.54,82.95,81.019997,82.059998,7159500,LRCX,Lam Research
2024-10-09,80.76,83.46,80.72,82.86,9078600,LRCX,Lam Research
2024-10-08,80.7,81.61,79.8,81.010002,6913500,LRCX,Lam Research
2024-10-07,80.58,81.42,80.059998,80.61,7542700,LRCX,Lam Research
2024-10-04,82.97,83.089996,80.49,81.54,7574100,LRCX,Lam Research
2024-10-03,79.93,82.12,79.88,81.11,6725800,LRCX,Lam Research
2024-10-02,80.4,83.037003,79.997,81.409,14324000,LRCX,Lam Research
2024-10-01,81.751,82.185,78.687,79.738,14368000,LRCX,Lam Research
2024-09-30,82.159,83.098999,80.414,81.608,10983000,LRCX,Lam Research
2024-09-27,85.381,85.381,82.078003,82.712,13895000,LRCX,Lam Research
2024-09-26,86.258,86.319,82.5,84.75,20680000,LRCX,Lam Research
2024-09-25,78.9,81.282,78.827,80.375,11680000,LRCX,Lam Research
2024-09-24,79.6,79.799,78.14,79.106,9895000,LRCX,Lam Research
2024-09-23,77.701,78.587,77.32,78.408,7389000,LRCX,Lam Research
2024-09-20,77.625,78.0,76.15,77.319,29262000,LRCX,Lam Research
2024-09-19,79.58,80.065002,78.311,78.907,15943000,LRCX,Lam Research
2024-09-18,77.97,78.0,75.267,75.587,11523000,LRCX,Lam Research
2024-09-17,77.256,77.6,75.7,76.604,11458000,LRCX,Lam Research
2024-09-16,75.146,76.065002,74.5,75.847,12521000,LRCX,Lam Research
2024-09-13,75.579,77.255,75.4,76.972,8713000,LRCX,Lam Research
2024-09-12,76.534,76.55,74.349,74.778,15075000,LRCX,Lam Research
2024-09-11,73.2,76.91,72.241,76.685,22202000,LRCX,Lam Research
2024-09-10,73.854,74.025002,71.662,73.156,13518000,LRCX,Lam Research
2024-09-09,74.289,74.416,72.3,73.431,11506000,LRCX,Lam Research
2024-09-06,75.252,75.639,73.017998,73.383,15530000,LRCX,Lam Research
2024-09-05,75.025002,76.9,74.768,75.592,8197000,LRCX,Lam Research
2024-09-04,75.253,77.282,74.277,76.444,9434000,LRCX,Lam Research
2024-09-03,80.556,80.665,76.151,76.572,16690000,LRCX,Lam Research
2024-08-30,82.359,82.377,80.304,82.101,12427000,LRCX,Lam Research
2024-08-29,81.84,82.696,79.374,79.732,12437000,LRCX,Lam Research
2024-08-28,81.993,82.155,79.943,80.511,11739000,LRCX,Lam Research
2024-08-27,81.067001,82.885,79.94,82.043999,8911000,LRCX,Lam Research
2024-08-26,84.099998,84.34,81.504,81.891,11154000,LRCX,Lam Research
2024-08-23,85.099998,86.207,83.529,84.737,10671000,LRCX,Lam Research
2024-08-22,87.499,87.7,83.0,83.572,13665000,LRCX,Lam Research
