datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,31.29,31.47,30.51,30.71,11305800,LUV,Southwest Airlines
2025-01-30,31.29,33.09,30.95,31.26,17452000,LUV,Southwest Airlines
2025-01-29,31.95,32.14,31.46,31.65,9683700,LUV,Southwest Airlines
2025-01-28,32.39,32.4,31.71,31.85,7684400,LUV,Southwest Airlines
2025-01-27,32.07,32.9,31.93,32.58,7026800,LUV,Southwest Airlines
2025-01-24,32.029999,32.18,31.75,32.17,6471400,LUV,Southwest Airlines
2025-01-23,32.07,32.25,31.81,31.93,13108900,LUV,Southwest Airlines
2025-01-22,33.66,33.74,31.82,31.86,12015500,LUV,Southwest Airlines
2025-01-21,32.36,33.33,32.34,33.27,8090600,LUV,Southwest Airlines
2025-01-17,32.0,32.33,31.86,32.099998,10466500,LUV,Southwest Airlines
2025-01-16,32.17,32.31,31.2,32.16,9664400,LUV,Southwest Airlines
2025-01-15,33.67,33.67,32.67,32.8,5951800,LUV,Southwest Airlines
2025-01-14,32.95,33.21,32.72,33.13,6697800,LUV,Southwest Airlines
2025-01-13,32.73,32.99,32.26,32.66,7559900,LUV,Southwest Airlines
2025-01-10,33.049999,33.58,32.69,33.12,9648900,LUV,Southwest Airlines
2025-01-08,32.67,32.88,32.16,32.88,5679400,LUV,Southwest Airlines
2025-01-07,33.95,34.34,32.57,32.88,8371200,LUV,Southwest Airlines
2025-01-06,33.91,34.41,33.76,33.83,5035200,LUV,Southwest Airlines
2025-01-03,33.42,33.69,32.35,33.61,5561700,LUV,Southwest Airlines
2025-01-02,33.63,33.87,33.26,33.37,3418600,LUV,Southwest Airlines
2024-12-31,33.54,33.95,33.53,33.62,3324600,LUV,Southwest Airlines
2024-12-30,33.69,33.94,33.21,33.56,5015800,LUV,Southwest Airlines
2024-12-27,33.89,34.23,33.8,34.040001,2827100,LUV,Southwest Airlines
2024-12-26,33.85,34.31,33.75,34.19,2954500,LUV,Southwest Airlines
2024-12-24,33.84,34.39,33.76,34.35,2272300,LUV,Southwest Airlines
2024-12-23,33.23,33.88,33.2,33.86,4774100,LUV,Southwest Airlines
2024-12-20,32.53,33.44,32.53,33.28,15017800,LUV,Southwest Airlines
2024-12-19,32.78,33.080002,32.35,32.78,7319300,LUV,Southwest Airlines
2024-12-18,32.81,33.72,32.44,32.47,8729500,LUV,Southwest Airlines
2024-12-17,32.51,33.12,32.41,32.81,5417500,LUV,Southwest Airlines
2024-12-16,33.0,33.31,32.63,32.69,4297000,LUV,Southwest Airlines
2024-12-13,33.14,33.39,32.85,33.02,5863800,LUV,Southwest Airlines
2024-12-12,33.63,33.77,33.23,33.23,5285900,LUV,Southwest Airlines
