datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,61.15,61.595,59.54,59.94,2511300,LW,Lamb Weston
2025-01-30,62.23,62.26,61.060001,61.63,2662800,LW,Lamb Weston
2025-01-29,60.75,61.53,60.53,61.51,2471200,LW,Lamb Weston
2025-01-28,63.3,63.58,60.13,60.33,2049300,LW,Lamb Weston
2025-01-27,60.98,62.51,60.475,62.4,1867900,LW,Lamb Weston
2025-01-24,60.61,60.949,59.96,60.59,1774200,LW,Lamb Weston
2025-01-23,61.0,61.72,59.8,60.51,2410200,LW,Lamb Weston
2025-01-22,62.7,62.7,60.78,60.87,1937100,LW,Lamb Weston
2025-01-21,60.74,62.72,60.69,62.7,2253600,LW,Lamb Weston
2025-01-17,59.82,60.74,59.54,60.080002,1961000,LW,Lamb Weston
2025-01-16,59.060001,59.91,58.3,59.07,2530600,LW,Lamb Weston
2025-01-15,61.7,61.96,59.0,59.02,2245900,LW,Lamb Weston
2025-01-14,60.98,61.33,59.65,59.82,2028700,LW,Lamb Weston
2025-01-13,61.0,61.59,59.88,60.85,2324500,LW,Lamb Weston
2025-01-10,60.2,61.18,59.52,60.73,3063200,LW,Lamb Weston
2025-01-08,61.5,61.87,60.13,60.89,2737800,LW,Lamb Weston
2025-01-07,63.21,64.399,61.64,61.68,3578000,LW,Lamb Weston
2025-01-06,65.79,66.81,63.02,63.049999,3164500,LW,Lamb Weston
2025-01-03,66.050003,66.35,65.35,65.53,1596200,LW,Lamb Weston
2025-01-02,67.2,67.925,65.9,66.040001,1811600,LW,Lamb Weston
2024-12-31,65.0,66.95,64.77,66.83,1709900,LW,Lamb Weston
2024-12-30,66.37,66.72,64.195,64.97,2405200,LW,Lamb Weston
2024-12-27,64.86,68.61,64.86,67.0,3453700,LW,Lamb Weston
2024-12-26,63.69,65.64,63.635,65.28,3467700,LW,Lamb Weston
2024-12-24,64.34,65.16,63.47,63.69,1734200,LW,Lamb Weston
2024-12-23,62.3,64.29,61.941,63.9,4385100,LW,Lamb Weston
2024-12-20,62.43,63.956,61.52,62.09,6510300,LW,Lamb Weston
2024-12-19,65.96,68.79,59.97,62.5,12297300,LW,Lamb Weston
2024-12-18,81.040001,81.748,77.88,78.22,4076600,LW,Lamb Weston
2024-12-17,81.31,83.099998,80.63,82.32,3059000,LW,Lamb Weston
