datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,54.78,56.29,53.98,54.3,10276300,MCHP,Microchip Technology
2025-01-30,55.7,55.85,54.18,55.16,8456100,MCHP,Microchip Technology
2025-01-29,56.69,56.8,55.36,56.029999,5233700,MCHP,Microchip Technology
2025-01-28,56.52,56.8,55.37,56.28,9813500,MCHP,Microchip Technology
2025-01-27,57.8,58.34,56.63,57.23,15094900,MCHP,Microchip Technology
2025-01-24,58.89,59.17,55.75,56.39,10300600,MCHP,Microchip Technology
2025-01-23,57.69,59.58,56.97,59.57,6335100,MCHP,Microchip Technology
2025-01-22,58.22,59.36,58.029999,58.48,6901700,MCHP,Microchip Technology
2025-01-21,58.099998,59.67,57.61,58.51,6996100,MCHP,Microchip Technology
2025-01-17,57.49,58.47,57.18,57.97,8272700,MCHP,Microchip Technology
2025-01-16,57.0,57.27,55.34,56.19,7925700,MCHP,Microchip Technology
2025-01-15,58.049999,58.43,56.96,57.0,8972300,MCHP,Microchip Technology
2025-01-14,56.21,56.91,55.38,56.88,6015300,MCHP,Microchip Technology
2025-01-13,54.83,56.029999,54.82,55.91,6656100,MCHP,Microchip Technology
2025-01-10,55.48,55.87,54.47,55.19,7634000,MCHP,Microchip Technology
2025-01-08,57.37,57.5,56.0099983,56.38,6226800,MCHP,Microchip Technology
2025-01-07,58.77,59.28,57.21,57.47,10217500,MCHP,Microchip Technology
2025-01-06,57.85,59.86,57.8,58.29,6946000,MCHP,Microchip Technology
2025-01-03,57.0,58.14,56.24,57.67,5452700,MCHP,Microchip Technology
2025-01-02,58.029999,58.46,56.41,56.88,10151800,MCHP,Microchip Technology
2024-12-31,57.36,58.11,56.57,57.35,5711600,MCHP,Microchip Technology
2024-12-30,57.62,57.71,56.74,57.12,7182000,MCHP,Microchip Technology
2024-12-27,58.25,58.52,57.74,58.34,9024100,MCHP,Microchip Technology
2024-12-26,57.85,59.040001,57.8,58.47,4143200,MCHP,Microchip Technology
2024-12-24,57.81,58.61,57.25,58.56,3201100,MCHP,Microchip Technology
2024-12-23,55.93,58.0,55.8,57.87,8832400,MCHP,Microchip Technology
2024-12-22,55.93,58.0,55.8,57.87,8832365,MCHP,Microchip Technology
2024-12-20,55.87,57.07,55.27,55.51,27171200,MCHP,Microchip Technology
2024-12-19,56.26,57.71,55.9,55.99,7433000,MCHP,Microchip Technology
2024-12-18,58.79,59.76,55.91,56.14,10205900,MCHP,Microchip Technology
2024-12-17,58.93,59.75,58.040001,58.29,9621900,MCHP,Microchip Technology
2024-12-16,58.93,59.75,58.040001,58.29,9621990,MCHP,Microchip Technology
2024-12-13,61.0,61.34,59.75,59.93,9040000,MCHP,Microchip Technology
2024-12-12,61.029999,62.040001,60.68,61.5,4738700,MCHP,Microchip Technology
2024-12-11,62.5,62.7,61.0099983,61.52,5698100,MCHP,Microchip Technology
2024-12-10,61.49,62.02,60.44,61.92,9191900,MCHP,Microchip Technology
2024-12-09,59.5,62.7,59.099998,61.87,8594500,MCHP,Microchip Technology
2024-12-06,58.72,59.58,58.3,59.29,8677500,MCHP,Microchip Technology
