datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,545.57001,548.28998,541.98999,544.12,391000,MLM,Martin Marietta Materials
2025-01-30,542.31,547.87,540.16998,546.33002,340800,MLM,Martin Marietta Materials
2025-01-29,542.12,545.21997,539.21002,539.84003,309300,MLM,Martin Marietta Materials
2025-01-28,548.98999,556.83002,541.039978,542.16998,343300,MLM,Martin Marietta Materials
2025-01-27,544.33002,548.20001,541.65002,546.039978,318500,MLM,Martin Marietta Materials
2025-01-24,548.79999,550.53998,546.35999,548.56,293700,MLM,Martin Marietta Materials
2025-01-23,551.60999,554.67999,546.5,548.77002,327600,MLM,Martin Marietta Materials
2025-01-22,549.080017,554.44,540.95001,549.67999,366600,MLM,Martin Marietta Materials
2025-01-21,555.84003,560.12,549.53998,552.64001,460100,MLM,Martin Marietta Materials
2025-01-17,534.46002,544.64001,533.90002,542.56,371400,MLM,Martin Marietta Materials
2025-01-16,531.15997,533.099976,526.099976,531.22998,200700,MLM,Martin Marietta Materials
2025-01-15,529.71997,532.37,527.40997,531.28998,320200,MLM,Martin Marietta Materials
2025-01-14,515.84998,520.0,513.73999,517.67999,285400,MLM,Martin Marietta Materials
2025-01-13,506.019989,513.29999,506.019989,513.20001,475800,MLM,Martin Marietta Materials
2025-01-10,511.79999,512.70001,505.45001,508.70999,356800,MLM,Martin Marietta Materials
2025-01-08,510.92001,521.96997,507.73999,517.25,378000,MLM,Martin Marietta Materials
2025-01-07,513.78003,515.85999,505.82001,508.64999,479600,MLM,Martin Marietta Materials
2025-01-06,518.29999,527.13,515.91998,517.37,366400,MLM,Martin Marietta Materials
2025-01-03,511.23999,519.38,511.12,516.66998,332400,MLM,Martin Marietta Materials
2025-01-02,519.73999,523.78003,507.70001,510.56,414700,MLM,Martin Marietta Materials
2024-12-31,522.70001,522.94,514.69,516.5,267800,MLM,Martin Marietta Materials
2024-12-30,522.10999,525.20001,518.02002,520.25,250400,MLM,Martin Marietta Materials
2024-12-27,527.84998,534.10999,526.54999,528.84003,249300,MLM,Martin Marietta Materials
2024-12-26,531.60999,535.33002,530.039978,532.039978,526100,MLM,Martin Marietta Materials
2024-12-24,532.57001,533.40997,529.31,533.17999,112100,MLM,Martin Marietta Materials
2024-12-23,531.47998,534.20001,528.17999,531.78003,268700,MLM,Martin Marietta Materials
2024-12-20,524.049988,540.64001,524.049988,533.69,977400,MLM,Martin Marietta Materials
2024-12-19,537.099976,541.65997,524.71997,525.77002,510400,MLM,Martin Marietta Materials
2024-12-18,546.46997,558.47998,535.0,535.64001,724500,MLM,Martin Marietta Materials
2024-12-17,542.46002,550.71002,542.46002,544.78003,524500,MLM,Martin Marietta Materials
2024-12-16,551.77002,554.60999,546.51001,547.29999,337300,MLM,Martin Marietta Materials
2024-12-13,557.14001,558.69,547.0,550.91998,297300,MLM,Martin Marietta Materials
2024-12-12,559.059998,560.83002,554.98999,556.82001,281000,MLM,Martin Marietta Materials
2024-12-11,569.92999,569.92999,559.78998,560.17999,430400,MLM,Martin Marietta Materials
2024-12-10,569.0,569.53003,555.039978,563.45001,421000,MLM,Martin Marietta Materials
2024-12-09,581.60999,588.17999,570.65997,574.70001,360700,MLM,Martin Marietta Materials
2024-12-06,585.37,585.40002,576.96997,581.17999,397400,MLM,Martin Marietta Materials
2024-12-05,580.0,586.41998,573.46002,582.39001,450400,MLM,Martin Marietta Materials
2024-12-04,585.84003,587.84003,580.28998,582.44,351000,MLM,Martin Marietta Materials
2024-12-03,595.049988,595.049988,585.78998,588.75,534700,MLM,Martin Marietta Materials
2024-12-02,599.65997,601.57001,590.60999,593.21997,342700,MLM,Martin Marietta Materials
2024-11-29,600.26001,600.65997,593.15997,600.0,184900,MLM,Martin Marietta Materials
2024-11-27,601.0,603.90997,592.65997,595.59998,379200,MLM,Martin Marietta Materials
2024-11-26,603.17999,603.17999,589.89001,596.96997,477800,MLM,Martin Marietta Materials
2024-11-25,600.20001,610.32001,599.38,604.0,765400,MLM,Martin Marietta Materials
2024-11-22,590.0,599.34998,587.58002,597.81,448600,MLM,Martin Marietta Materials
2024-11-21,588.72998,593.72998,584.23999,590.59998,347800,MLM,Martin Marietta Materials
2024-11-20,582.70001,585.5,579.35999,585.26001,443000,MLM,Martin Marietta Materials
2024-11-19,574.14001,584.19,572.01001,582.70001,325800,MLM,Martin Marietta Materials
2024-11-18,581.40002,585.91998,579.039978,581.64001,380800,MLM,Martin Marietta Materials
2024-11-15,587.77002,589.52002,579.34003,583.030029,400300,MLM,Martin Marietta Materials
2024-11-14,604.33002,606.96997,586.64001,587.96002,469800,MLM,Martin Marietta Materials
2024-11-13,607.0,610.25,603.33002,605.26001,507100,MLM,Martin Marietta Materials
2024-11-12,613.60999,614.02002,605.64001,606.78998,312200,MLM,Martin Marietta Materials
2024-11-11,624.59003,626.10999,615.34998,616.049988,379400,MLM,Martin Marietta Materials
2024-11-08,618.69,624.10999,617.15002,619.58002,402800,MLM,Martin Marietta Materials
2024-11-07,622.45001,622.45001,614.64001,617.15997,517000,MLM,Martin Marietta Materials
2024-11-06,610.25,633.22998,610.25,617.31,1163500,MLM,Martin Marietta Materials
2024-11-05,580.10999,587.13,580.10999,582.52002,569600,MLM,Martin Marietta Materials
2024-11-04,580.97998,582.82001,577.52002,581.97998,326300,MLM,Martin Marietta Materials
2024-11-01,594.57001,596.41998,580.049988,580.14001,496800,MLM,Martin Marietta Materials
2024-10-31,596.63,601.53003,592.28003,592.34003,629300,MLM,Martin Marietta Materials
2024-10-30,583.0,610.34003,575.21002,604.84998,917400,MLM,Martin Marietta Materials
2024-10-29,574.22998,584.26001,571.13,583.88,647900,MLM,Martin Marietta Materials
2024-10-28,574.46997,579.90997,573.32001,578.27002,430300,MLM,Martin Marietta Materials
2024-10-25,577.75,580.28003,567.64001,570.21002,248700,MLM,Martin Marietta Materials
2024-10-24,562.58002,571.95001,559.51001,570.65002,381800,MLM,Martin Marietta Materials
2024-10-23,559.84003,564.33002,556.31,562.78998,313500,MLM,Martin Marietta Materials
2024-10-22,575.35999,575.35999,560.64001,560.95001,307400,MLM,Martin Marietta Materials
2024-10-21,580.12,580.40997,573.27002,577.53003,363200,MLM,Martin Marietta Materials
2024-10-18,575.53998,582.65002,567.40997,581.0,354000,MLM,Martin Marietta Materials
2024-10-17,574.46997,578.92999,569.79999,573.45001,435100,MLM,Martin Marietta Materials
2024-10-16,562.059998,571.46997,558.23999,570.90002,439700,MLM,Martin Marietta Materials
