datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,28.51,28.55,27.69,27.89,3160300,MOS,Mosaic Company (The)
2025-01-30,28.67,28.74,28.27,28.58,3722100,MOS,Mosaic Company (The)
2025-01-29,28.21,28.83,28.14,28.68,3630900,MOS,Mosaic Company (The)
2025-01-28,28.1,28.24,27.75,28.18,3872000,MOS,Mosaic Company (The)
2025-01-27,28.5,28.59,27.88,27.99,3659300,MOS,Mosaic Company (The)
2025-01-24,28.93,28.93,28.09,28.21,4983200,MOS,Mosaic Company (The)
2025-01-23,27.72,28.85,27.64,28.8,4814300,MOS,Mosaic Company (The)
2025-01-22,27.83,28.75,27.77,27.8,6783500,MOS,Mosaic Company (The)
2025-01-21,26.95,27.17,26.61,27.11,4686400,MOS,Mosaic Company (The)
2025-01-17,26.86,27.31,26.6,27.14,4350800,MOS,Mosaic Company (The)
2025-01-16,26.91,26.98,26.56,26.72,4254200,MOS,Mosaic Company (The)
2025-01-15,27.49,27.56,26.96,27.02,4189700,MOS,Mosaic Company (The)
2025-01-14,26.83,27.16,26.56,27.14,4728300,MOS,Mosaic Company (The)
2025-01-13,25.44,26.82,25.44,26.82,6320700,MOS,Mosaic Company (The)
2025-01-10,24.75,25.08,24.08,24.83,4432700,MOS,Mosaic Company (The)
2025-01-08,25.030001,25.059999,24.59,24.68,4590600,MOS,Mosaic Company (The)
2025-01-07,25.45,25.59,25.12,25.25,4964900,MOS,Mosaic Company (The)
2025-01-06,25.77,26.18,25.24,25.39,6550000,MOS,Mosaic Company (The)
2025-01-03,24.44,25.59,24.43,25.15,6858000,MOS,Mosaic Company (The)
2025-01-02,24.79,25.02,24.31,24.38,3116600,MOS,Mosaic Company (The)
2024-12-31,24.2,24.78,24.17,24.58,4551500,MOS,Mosaic Company (The)
2024-12-30,23.79,24.15,23.56,24.0,3760000,MOS,Mosaic Company (The)
2024-12-27,24.08,24.22,23.65,23.87,2922100,MOS,Mosaic Company (The)
2024-12-26,24.15,24.33,24.01,24.08,2239400,MOS,Mosaic Company (The)
2024-12-24,24.21,24.36,23.94,24.27,1457900,MOS,Mosaic Company (The)
2024-12-23,24.16,24.39,23.6,24.28,4802000,MOS,Mosaic Company (The)
2024-12-20,23.87,24.37,23.84,24.07,8033700,MOS,Mosaic Company (The)
2024-12-19,24.39,24.56,23.7,23.88,4697800,MOS,Mosaic Company (The)
2024-12-18,25.3,25.63,24.24,24.28,4187600,MOS,Mosaic Company (The)
2024-12-17,25.72,26.059999,25.17,25.44,4264400,MOS,Mosaic Company (The)
2024-12-16,26.47,26.53,25.83,25.84,4009800,MOS,Mosaic Company (The)
2024-12-13,26.59,27.14,26.37,26.79,3140800,MOS,Mosaic Company (The)
2024-12-12,26.7,26.87,26.33,26.66,3671200,MOS,Mosaic Company (The)
2024-12-11,26.11,26.85,26.02,26.77,5571800,MOS,Mosaic Company (The)
2024-12-10,25.9,26.25,25.34,25.82,4383400,MOS,Mosaic Company (The)
2024-12-09,25.97,26.94,25.89,26.01,5160700,MOS,Mosaic Company (The)
2024-12-06,25.73,25.91,25.33,25.58,3238300,MOS,Mosaic Company (The)
2024-12-05,26.47,26.77,25.6,25.61,4612700,MOS,Mosaic Company (The)
2024-12-04,27.71,27.84,26.58,26.72,3423100,MOS,Mosaic Company (The)
2024-12-03,27.8,27.89,27.07,27.58,4220800,MOS,Mosaic Company (The)
2024-12-02,26.55,27.78,26.41,27.58,7008300,MOS,Mosaic Company (The)
2024-11-29,25.72,26.81,25.71,26.46,6004600,MOS,Mosaic Company (The)
2024-11-27,25.49,25.98,25.4,25.73,4165300,MOS,Mosaic Company (The)
2024-11-26,26.0,26.030001,25.32,25.4,4273100,MOS,Mosaic Company (The)
2024-11-25,26.11,26.44,26.01,26.23,6762100,MOS,Mosaic Company (The)
2024-11-22,25.93,26.25,25.79,26.030001,3653400,MOS,Mosaic Company (The)
2024-11-21,25.55,26.14,25.48,26.049999,4545200,MOS,Mosaic Company (The)
2024-11-20,25.25,25.59,25.18,25.44,5157300,MOS,Mosaic Company (The)
2024-11-19,25.5,25.78,25.38,25.39,3299400,MOS,Mosaic Company (The)
2024-11-18,26.34,26.46,25.71,25.81,3066600,MOS,Mosaic Company (The)
2024-11-15,26.74,26.97,26.36,26.38,3413700,MOS,Mosaic Company (The)
2024-11-14,26.0,26.4,25.66,26.32,3367900,MOS,Mosaic Company (The)
