datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,41.185,41.46,39.31,39.42,6538800,MRNA,Moderna
2025-01-30,41.4,42.54,39.88,41.040001,12259600,MRNA,Moderna
2025-01-29,43.28,44.74,40.675,40.72,14598100,MRNA,Moderna
2025-01-28,41.99,45.15,40.75,44.94,13285800,MRNA,Moderna
2025-01-27,40.87,44.080002,40.71,41.65,12162900,MRNA,Moderna
2025-01-24,43.18,45.4,40.785,41.41,17245600,MRNA,Moderna
2025-01-23,38.4,42.54,36.99,42.39,13684200,MRNA,Moderna
2025-01-22,36.35,41.09,36.0,38.5,16694500,MRNA,Moderna
2025-01-21,35.76,37.9,35.3,35.89,12834900,MRNA,Moderna
2025-01-17,33.84,34.79,33.6,34.060001,8130500,MRNA,Moderna
2025-01-16,34.75,34.95,33.34,33.76,7340900,MRNA,Moderna
2025-01-15,35.18,35.54,34.46,34.77,7459700,MRNA,Moderna
2025-01-14,35.15,35.68,33.18,34.46,14427300,MRNA,Moderna
2025-01-13,33.3,35.38,31.94,35.15,33488000,MRNA,Moderna
2025-01-10,42.765,43.7,41.785,42.25,6411900,MRNA,Moderna
2025-01-08,47.6,47.7,43.0099983,43.17,13347600,MRNA,Moderna
2025-01-07,43.9,48.92,42.86,47.53,22592300,MRNA,Moderna
2025-01-06,44.0,44.52,41.63,42.57,8577600,MRNA,Moderna
2025-01-03,42.25,42.62,41.080002,42.18,5555600,MRNA,Moderna
2025-01-02,42.2,43.3,41.41,42.0,5313500,MRNA,Moderna
2024-12-31,39.71,41.79,39.39,41.58,7573700,MRNA,Moderna
2024-12-30,39.735,40.5,38.88,39.38,5515000,MRNA,Moderna
2024-12-27,40.355,41.49,39.794,40.13,4825100,MRNA,Moderna
2024-12-26,39.56,40.55,39.24,40.43,4234500,MRNA,Moderna
2024-12-24,39.59,40.355,38.75,40.27,2521900,MRNA,Moderna
2024-12-23,39.19,40.34,38.52,39.59,5112300,MRNA,Moderna
2024-12-20,39.2,40.83,39.12,39.39,35482900,MRNA,Moderna
2024-12-19,38.56,39.87,37.44,39.56,7497500,MRNA,Moderna
2024-12-18,40.049999,41.725,38.2,38.36,8573000,MRNA,Moderna
2024-12-17,41.85,43.17,40.63,40.76,6266800,MRNA,Moderna
2024-12-16,42.16,44.38,41.28,41.84,8038300,MRNA,Moderna
2024-12-13,42.235,42.69,41.38,41.83,4862100,MRNA,Moderna
2024-12-12,42.55,43.8,41.7,42.82,5236600,MRNA,Moderna
2024-12-11,41.9,43.25,41.060001,42.86,5619300,MRNA,Moderna
2024-12-10,45.36,45.49,41.055,41.51,10482700,MRNA,Moderna
2024-12-09,44.77,47.413,44.099998,45.65,7292500,MRNA,Moderna
2024-12-06,43.52,46.62,43.16,44.44,8742700,MRNA,Moderna
2024-12-05,41.9,44.45,41.745,42.94,8084200,MRNA,Moderna
2024-12-04,42.76,42.8,41.476,41.63,5010900,MRNA,Moderna
2024-12-03,43.98,44.25,42.36,42.58,7192600,MRNA,Moderna
2024-12-02,43.33,44.659,42.07,44.26,6832800,MRNA,Moderna
2024-11-29,43.25,43.85,42.3,43.060001,3591500,MRNA,Moderna
2024-11-27,42.49,43.46,42.080002,43.39,5083500,MRNA,Moderna
2024-11-26,43.13,43.3,41.47,42.049999,7248900,MRNA,Moderna
