datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,139.14,139.75999,137.77,138.42999,5503400,MS,Morgan Stanley
2025-01-30,139.81,140.49001,138.89,139.94,4545700,MS,Morgan Stanley
2025-01-29,138.47,141.48,138.17999,138.71001,5719800,MS,Morgan Stanley
2025-01-28,136.070007,138.84,135.64,138.53999,5885100,MS,Morgan Stanley
2025-01-27,135.25999,136.75999,134.12,136.64999,6460700,MS,Morgan Stanley
2025-01-24,136.47,139.039993,136.47,137.82001,6475500,MS,Morgan Stanley
2025-01-23,135.97,138.2,135.97,137.8,6911000,MS,Morgan Stanley
2025-01-22,137.25999,138.38,135.82001,136.0,7177500,MS,Morgan Stanley
2025-01-21,136.44,137.62,135.28999,137.3,11213300,MS,Morgan Stanley
2025-01-17,136.16,138.080002,134.53,137.87,12481500,MS,Morgan Stanley
2025-01-16,132.35001,136.14999,131.89999,135.81,16235700,MS,Morgan Stanley
2025-01-15,129.71001,131.44,128.46001,130.55,11349500,MS,Morgan Stanley
2025-01-14,125.4,125.4,123.69,124.62,8999900,MS,Morgan Stanley
2025-01-13,122.45,124.3,122.45,123.99,5433000,MS,Morgan Stanley
2025-01-10,126.31,126.5,123.29,123.45,6873800,MS,Morgan Stanley
2025-01-08,126.91,128.0,125.76,127.86,5744500,MS,Morgan Stanley
2025-01-07,129.64999,129.66,125.46,126.88,7268800,MS,Morgan Stanley
2025-01-06,127.63,129.95,127.63,128.64,6665200,MS,Morgan Stanley
2025-01-03,125.65,126.0,124.080002,125.94,3988400,MS,Morgan Stanley
2025-01-02,126.51,127.28,124.21,124.78,5014300,MS,Morgan Stanley
2024-12-31,126.33,126.83,125.2,125.72,2970000,MS,Morgan Stanley
2024-12-30,124.55,126.16,124.019997,125.75,2637900,MS,Morgan Stanley
2024-12-27,127.050003,127.86,125.82,126.76,3088100,MS,Morgan Stanley
2024-12-26,126.53,128.17,126.49,128.029999,3013500,MS,Morgan Stanley
2024-12-24,125.07,127.22,124.59,127.059998,2902800,MS,Morgan Stanley
2024-12-23,123.099998,124.67,122.79,124.45,5074100,MS,Morgan Stanley
2024-12-20,121.2,124.54,120.53,123.44,14884000,MS,Morgan Stanley
2024-12-19,124.78,124.94,120.3,120.5,8632400,MS,Morgan Stanley
2024-12-18,128.16,128.39,120.29,121.040001,7858800,MS,Morgan Stanley
2024-12-17,128.10001,128.7,127.18,127.74,7141400,MS,Morgan Stanley
2024-12-16,127.74,129.31,127.39,129.029999,5659700,MS,Morgan Stanley
2024-12-13,128.0,128.81,126.71,127.4,6091500,MS,Morgan Stanley
2024-12-12,127.89,128.83,127.36,127.91,3610500,MS,Morgan Stanley
2024-12-11,127.75,127.95,126.28,127.59,8835400,MS,Morgan Stanley
2024-12-10,127.63,128.61,126.53,126.79,6551300,MS,Morgan Stanley
