datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,220.35001,223.44,219.33,220.22,411300,NDSN,Nordson Corporation
2025-01-30,219.47,222.46001,218.85001,220.63,213900,NDSN,Nordson Corporation
2025-01-29,220.21001,222.17999,217.88,217.97,226800,NDSN,Nordson Corporation
2025-01-28,224.52,224.52,219.75,220.5,274200,NDSN,Nordson Corporation
2025-01-27,218.0,224.28999,217.47,224.070007,309200,NDSN,Nordson Corporation
2025-01-24,219.39,220.28999,216.73,218.070007,302300,NDSN,Nordson Corporation
2025-01-23,219.77,221.39999,217.28,219.49001,347400,NDSN,Nordson Corporation
2025-01-22,221.36,221.91,218.17,219.41,335600,NDSN,Nordson Corporation
2025-01-21,218.14999,221.39999,216.92,220.17999,375100,NDSN,Nordson Corporation
2025-01-17,215.55,217.56,214.8,216.38,510600,NDSN,Nordson Corporation
2025-01-16,211.0099945,215.0,211.0099945,213.82001,595900,NDSN,Nordson Corporation
2025-01-15,210.56,213.57001,208.95,211.48,680500,NDSN,Nordson Corporation
2025-01-14,204.41,207.49001,203.89,207.41,332500,NDSN,Nordson Corporation
2025-01-13,199.14999,204.059998,199.0099945,203.83,414700,NDSN,Nordson Corporation
2025-01-10,199.71001,200.31,196.83,200.12,595500,NDSN,Nordson Corporation
2025-01-08,204.78999,205.85001,201.82001,202.089996,431300,NDSN,Nordson Corporation
2025-01-07,206.78999,208.61,204.48,205.42999,257000,NDSN,Nordson Corporation
2025-01-06,208.66,211.23,206.16,206.96001,260300,NDSN,Nordson Corporation
2025-01-03,205.31,207.86,204.2,207.56,263200,NDSN,Nordson Corporation
2025-01-02,209.64,210.74001,204.27,204.97,228600,NDSN,Nordson Corporation
2024-12-31,209.75,210.78,207.73,209.24001,271300,NDSN,Nordson Corporation
2024-12-30,210.0,211.97,206.8,208.83,280400,NDSN,Nordson Corporation
2024-12-27,211.34,213.78999,209.67999,211.27,275100,NDSN,Nordson Corporation
2024-12-26,211.41,214.77,210.91,213.3,612000,NDSN,Nordson Corporation
2024-12-24,209.39,212.33,208.48,212.28999,245700,NDSN,Nordson Corporation
2024-12-23,208.45,209.87,208.22,209.31,374300,NDSN,Nordson Corporation
2024-12-20,207.14999,213.87,207.14999,209.73,920900,NDSN,Nordson Corporation
2024-12-19,211.28999,218.7,208.82001,208.94,694300,NDSN,Nordson Corporation
2024-12-18,224.42,226.47,212.33,212.78999,554000,NDSN,Nordson Corporation
2024-12-17,225.25,228.94,222.50999,224.0099945,588800,NDSN,Nordson Corporation
2024-12-16,227.64999,228.059998,223.14999,224.039993,630900,NDSN,Nordson Corporation
2024-12-13,226.25,229.56,223.83,226.46001,720300,NDSN,Nordson Corporation
2024-12-12,234.039993,244.95,224.94,229.11,1049100,NDSN,Nordson Corporation
2024-12-11,254.92999,255.61,248.62,249.55,532800,NDSN,Nordson Corporation
2024-12-10,254.72,256.23001,249.60001,252.87,272200,NDSN,Nordson Corporation
2024-12-09,254.8,258.63,253.99001,255.42999,396900,NDSN,Nordson Corporation
2024-12-06,255.23,257.059998,253.35001,254.39999,235900,NDSN,Nordson Corporation
2024-12-05,256.54001,257.84,253.2,254.58,211600,NDSN,Nordson Corporation
2024-12-04,257.84,259.13,255.62,256.54001,172700,NDSN,Nordson Corporation
2024-12-03,259.28,259.28,256.12,258.44,177600,NDSN,Nordson Corporation
2024-12-02,260.75,260.88,257.31,259.14999,188300,NDSN,Nordson Corporation
2024-11-29,259.73999,261.39001,258.57999,260.98999,122000,NDSN,Nordson Corporation
2024-11-27,260.35001,261.69,257.64001,259.35999,410500,NDSN,Nordson Corporation
2024-11-26,262.75,263.62,256.26999,258.73001,280400,NDSN,Nordson Corporation
2024-11-25,261.97,266.85999,259.76001,263.62,409600,NDSN,Nordson Corporation
2024-11-22,257.23999,261.79001,257.23999,261.26999,201100,NDSN,Nordson Corporation
2024-11-21,253.12,258.37,252.57001,256.57999,135200,NDSN,Nordson Corporation
2024-11-20,249.86,253.0,248.28,252.56,136600,NDSN,Nordson Corporation
2024-11-19,250.080002,252.45,249.17999,249.86,176600,NDSN,Nordson Corporation
2024-11-18,253.67999,255.7,252.87,253.45,228000,NDSN,Nordson Corporation
2024-11-15,257.040009,259.26999,254.070007,254.78,290500,NDSN,Nordson Corporation
2024-11-14,257.92999,259.51001,255.97,256.56,214700,NDSN,Nordson Corporation
2024-11-13,257.28,259.17999,255.029999,259.040009,269800,NDSN,Nordson Corporation
2024-11-12,260.51999,261.89001,257.39999,257.60999,313200,NDSN,Nordson Corporation
2024-11-11,262.26999,264.94,261.13,261.20999,123900,NDSN,Nordson Corporation
2024-11-08,260.10001,264.25,259.29999,261.44,165300,NDSN,Nordson Corporation
2024-11-07,264.25,264.25,259.70999,260.57001,136100,NDSN,Nordson Corporation
