datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,71.51,71.73,70.93,71.56,10709600,NEE,NextEra Energy
2025-01-30,71.99,72.0,70.79,71.3,8639200,NEE,NextEra Energy
2025-01-29,70.75,71.52,70.61,70.89,9496700,NEE,NextEra Energy
2025-01-28,72.33,72.88,69.92,70.54,16630500,NEE,NextEra Energy
2025-01-27,73.3,73.93,70.64,73.83,19128900,NEE,NextEra Energy
2025-01-24,68.099998,74.050003,68.0,72.83,24588500,NEE,NextEra Energy
2025-01-23,68.85,69.35,68.27,69.23,10780100,NEE,NextEra Energy
2025-01-22,70.56,70.57,68.34,68.49,14415200,NEE,NextEra Energy
2025-01-21,71.36,71.88,70.78,70.85,12153800,NEE,NextEra Energy
2025-01-17,71.089996,71.84,70.74,70.76,12664600,NEE,NextEra Energy
2025-01-16,68.96,71.42,68.89,71.37,11469500,NEE,NextEra Energy
2025-01-15,69.27,70.040001,69.010002,69.29,12416500,NEE,NextEra Energy
2025-01-14,66.98,68.010002,66.88,67.98,10699100,NEE,NextEra Energy
2025-01-13,67.22,67.36,65.89,66.96,17056600,NEE,NextEra Energy
2025-01-10,69.99,70.07,67.07,67.38,16261800,NEE,NextEra Energy
2025-01-08,70.019997,70.7,69.46,70.66,7930600,NEE,NextEra Energy
2025-01-07,71.46,71.9,70.059998,70.43,8975400,NEE,NextEra Energy
2025-01-06,71.8,71.94,70.84,71.24,7025900,NEE,NextEra Energy
2025-01-03,71.92,72.68,71.59,71.99,5088900,NEE,NextEra Energy
2025-01-02,72.47,72.62,71.29,71.61,5344800,NEE,NextEra Energy
2024-12-31,71.86,72.41,71.4,71.69,6216500,NEE,NextEra Energy
2024-12-30,71.68,71.91,70.98,71.76,8399000,NEE,NextEra Energy
2024-12-27,71.9,72.43,71.68,72.11,5458100,NEE,NextEra Energy
2024-12-26,72.48,72.9,72.27,72.37,4503800,NEE,NextEra Energy
2024-12-24,72.42,72.91,72.029999,72.91,3001800,NEE,NextEra Energy
2024-12-23,71.34,72.53,71.25,72.49,7509000,NEE,NextEra Energy
2024-12-20,69.58,71.98,69.32,71.67,27547500,NEE,NextEra Energy
2024-12-19,70.52,71.0,69.71,69.77,13731700,NEE,NextEra Energy
2024-12-18,71.96,72.54,70.43,70.52,12496000,NEE,NextEra Energy
2024-12-17,72.31,72.6,71.8,72.27,7723000,NEE,NextEra Energy
2024-12-16,73.7,74.22,72.76,72.79,9767000,NEE,NextEra Energy
2024-12-13,73.050003,73.75,72.94,73.62,7671200,NEE,NextEra Energy
2024-12-12,73.84,74.080002,73.089996,73.22,6969600,NEE,NextEra Energy
2024-12-11,74.2,74.55,73.58,73.98,7472800,NEE,NextEra Energy
2024-12-10,74.5,74.52,73.35,74.14,8619200,NEE,NextEra Energy
2024-12-09,75.5,75.63,74.56,74.7,9269700,NEE,NextEra Energy
2024-12-06,76.19,76.5,74.92,75.24,7079200,NEE,NextEra Energy
2024-12-05,75.64,76.54,75.42,76.2,6487200,NEE,NextEra Energy
2024-12-04,76.0,76.019997,75.099998,75.74,8310200,NEE,NextEra Energy
2024-12-03,77.07,77.57,76.23,76.29,9806900,NEE,NextEra Energy
2024-12-02,78.92,79.050003,76.9,77.07,11361500,NEE,NextEra Energy
2024-11-29,78.58,78.99,78.32,78.67,6186500,NEE,NextEra Energy
2024-11-27,78.13,79.38,77.86,78.52,8689700,NEE,NextEra Energy
2024-11-26,77.0,77.78,76.47,77.49,10563600,NEE,NextEra Energy
2024-11-25,76.73,77.099998,75.83,76.64,20803100,NEE,NextEra Energy
2024-11-22,77.23,77.54,75.76,76.0,8165400,NEE,NextEra Energy
2024-11-21,76.79,77.51,76.36,77.36,8908500,NEE,NextEra Energy
2024-11-20,77.19,77.5,76.36,76.88,7065200,NEE,NextEra Energy
2024-11-19,76.31,77.32,75.72,77.080002,7942200,NEE,NextEra Energy
2024-11-18,76.3,76.67,75.31,76.39,9044300,NEE,NextEra Energy
2024-11-15,75.45,76.69,75.29,76.35,12930300,NEE,NextEra Energy
2024-11-14,73.88,76.18,73.65,75.28,13780200,NEE,NextEra Energy
2024-11-13,74.63,75.040001,73.92,74.24,12451500,NEE,NextEra Energy
2024-11-12,75.61,75.8,73.62,74.26,12569800,NEE,NextEra Energy
2024-11-11,76.98,77.15,75.74,75.91,10275700,NEE,NextEra Energy
2024-11-08,74.98,77.19,74.68,76.97,14657100,NEE,NextEra Energy
2024-11-07,73.61,75.089996,73.57,74.62,16311300,NEE,NextEra Energy
2024-11-06,74.3,74.98,72.69,74.52,28637800,NEE,NextEra Energy
2024-11-05,77.77,78.79,76.97,78.65,9051700,NEE,NextEra Energy
2024-11-04,77.35,78.82,77.099998,78.37,11759100,NEE,NextEra Energy
2024-11-01,79.39,79.46,76.97,77.35,14615300,NEE,NextEra Energy
2024-10-31,78.39,79.85,78.14,79.25,13034700,NEE,NextEra Energy
2024-10-30,79.75,79.89,78.89,79.089996,11650200,NEE,NextEra Energy
2024-10-29,79.95,80.7,79.47,79.56,19232900,NEE,NextEra Energy
2024-10-28,82.040001,83.84,81.61,82.87,8679600,NEE,NextEra Energy
2024-10-25,82.9,83.13,81.29,81.43,6580700,NEE,NextEra Energy
2024-10-24,84.0,84.55,82.5,82.81,9705100,NEE,NextEra Energy
2024-10-23,84.59,86.0,83.0,84.96,10825100,NEE,NextEra Energy
2024-10-22,83.2,84.23,83.14,83.7,8358500,NEE,NextEra Energy
2024-10-21,84.76,84.96,83.66,84.029999,7053800,NEE,NextEra Energy
2024-10-18,83.92,84.41,83.55,84.38,8595300,NEE,NextEra Energy
2024-10-17,84.3,84.63,83.7,83.78,6153000,NEE,NextEra Energy
2024-10-16,83.080002,84.64,82.73,84.39,8061600,NEE,NextEra Energy
2024-10-15,83.0,84.050003,82.67,82.79,15824900,NEE,NextEra Energy
2024-10-14,81.9,83.19,81.61,82.91,5815200,NEE,NextEra Energy
2024-10-11,80.98,81.88,80.39,81.86,7057000,NEE,NextEra Energy
2024-10-10,81.0,82.56,80.82,80.94,7928400,NEE,NextEra Energy
2024-10-09,79.66,81.099998,79.66,80.58,10102500,NEE,NextEra Energy
2024-10-08,80.78,81.81,80.49,80.5,10098300,NEE,NextEra Energy
2024-10-07,83.55,83.55,80.19,80.29,11971600,NEE,NextEra Energy
2024-10-04,83.49,84.080002,83.010002,83.85,8341800,NEE,NextEra Energy
2024-10-03,85.65,86.099998,84.75,85.050003,7031500,NEE,NextEra Energy
2024-10-02,84.77,85.59,84.49,85.43,8403800,NEE,NextEra Energy
2024-10-01,84.11,85.75,83.82,85.27,9112600,NEE,NextEra Energy
2024-09-30,84.5,84.95,84.010002,84.53,13884400,NEE,NextEra Energy
2024-09-27,83.77,84.84,83.76,84.54,8200900,NEE,NextEra Energy
2024-09-26,84.25,84.6,83.24,83.46,8462500,NEE,NextEra Energy
2024-09-25,84.61,85.21,83.85,84.62,8354700,NEE,NextEra Energy
2024-09-24,84.2,85.27,83.92,84.29,8205300,NEE,NextEra Energy
2024-09-23,83.66,84.94,82.94,84.82,7916000,NEE,NextEra Energy
2024-09-20,82.25,83.76,82.050003,82.76,26032300,NEE,NextEra Energy
2024-09-19,83.63,83.8,81.47,82.29,13965200,NEE,NextEra Energy
2024-09-18,84.49,84.99,83.51,84.28,9286200,NEE,NextEra Energy
2024-09-17,84.79,85.0,84.18,84.97,7415100,NEE,NextEra Energy
2024-09-16,85.089996,85.56,84.37,84.64,8791400,NEE,NextEra Energy
2024-09-13,83.9,84.73,83.5,84.65,6734400,NEE,NextEra Energy
2024-09-12,83.43,83.97,82.71,83.46,7857100,NEE,NextEra Energy
2024-09-11,82.7,83.57,81.73,83.43,10216500,NEE,NextEra Energy
2024-09-10,81.47,82.39,81.050003,82.3,9588000,NEE,NextEra Energy
2024-09-09,80.11,81.24,79.26,81.19,6918000,NEE,NextEra Energy
2024-09-06,80.86,81.19,79.81,79.98,8181500,NEE,NextEra Energy
2024-09-05,81.96,82.14,80.23,80.33,8494900,NEE,NextEra Energy
2024-09-04,80.41,81.54,80.32,81.080002,7517700,NEE,NextEra Energy
2024-09-03,80.77,81.18,79.63,79.93,9883900,NEE,NextEra Energy
2024-08-30,79.59,80.74,79.47,80.51,6808200,NEE,NextEra Energy
2024-08-29,79.53,80.18,78.71,80.029999,5179200,NEE,NextEra Energy
2024-08-28,79.73,80.13,79.19,79.41,5462400,NEE,NextEra Energy
2024-08-27,80.36,80.64,79.58,79.61,5086000,NEE,NextEra Energy
2024-08-26,80.0,81.07,79.96,80.64,5378700,NEE,NextEra Energy
2024-08-23,79.46,80.32,79.16,79.66,5052900,NEE,NextEra Energy
2024-08-22,79.68,79.94,78.46,78.92,8006600,NEE,NextEra Energy
2024-08-21,79.17,79.99,79.13,79.64,5125300,NEE,NextEra Energy
2024-08-20,79.35,79.79,78.96,78.98,5967300,NEE,NextEra Energy
2024-08-19,78.57,79.57,78.43,79.35,5617000,NEE,NextEra Energy
2024-08-16,77.52,78.79,77.24,78.57,6344200,NEE,NextEra Energy
2024-08-15,77.54,77.81,77.13,77.41,5946500,NEE,NextEra Energy
2024-08-14,78.0,78.58,77.099998,78.010002,4620700,NEE,NextEra Energy
2024-08-13,78.35,78.5,77.53,78.12,5108900,NEE,NextEra Energy
2024-08-12,77.33,77.61,76.89,77.58,5955600,NEE,NextEra Energy
2024-08-09,77.5,78.029999,76.35,77.46,5041200,NEE,NextEra Energy
2024-08-08,77.12,78.23,76.6,77.54,6935900,NEE,NextEra Energy
2024-08-07,77.72,78.76,77.29,77.56,8193200,NEE,NextEra Energy
2024-08-06,76.85,78.4,76.67,76.97,9050900,NEE,NextEra Energy
2024-08-05,78.55,79.0,76.49,76.68,11877600,NEE,NextEra Energy
2024-08-02,79.36,80.56,77.82,79.2,14513100,NEE,NextEra Energy
