datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,484.0,488.10001,478.5,487.26999,795000,NOC,Northrop Grumman
2025-01-30,472.0,485.0,469.73001,483.37,1468400,NOC,Northrop Grumman
2025-01-29,486.64001,492.76001,480.25,481.54001,873500,NOC,Northrop Grumman
2025-01-28,501.10999,502.91,485.48001,486.64001,1036700,NOC,Northrop Grumman
2025-01-27,502.39001,507.38,497.0,503.23001,738100,NOC,Northrop Grumman
2025-01-24,497.92999,500.0,496.66,497.019989,556400,NOC,Northrop Grumman
2025-01-23,506.0,507.64001,493.23001,499.76999,780200,NOC,Northrop Grumman
2025-01-22,504.0,505.26001,497.17001,502.41,1326500,NOC,Northrop Grumman
2025-01-21,490.0,507.67001,489.54001,504.45001,1309900,NOC,Northrop Grumman
2025-01-17,480.42001,483.42999,477.35999,482.38,1091500,NOC,Northrop Grumman
2025-01-16,471.32999,481.32999,470.76999,481.19,706600,NOC,Northrop Grumman
2025-01-15,476.53,477.70001,470.19,472.29999,646400,NOC,Northrop Grumman
2025-01-14,473.51001,475.98001,471.57999,475.5,554000,NOC,Northrop Grumman
2025-01-13,458.69,477.39001,458.69,472.38,964500,NOC,Northrop Grumman
2025-01-10,461.35999,464.38,455.42999,458.69,626400,NOC,Northrop Grumman
2025-01-08,456.019989,464.62,453.95999,462.20999,746600,NOC,Northrop Grumman
2025-01-07,454.19,458.54999,450.81,452.39001,1100000,NOC,Northrop Grumman
2025-01-06,465.26999,466.22,453.95999,455.14001,873300,NOC,Northrop Grumman
2025-01-03,467.56,469.60999,466.45999,467.82001,624500,NOC,Northrop Grumman
2025-01-02,471.98999,476.089996,466.28,468.01001,598300,NOC,Northrop Grumman
2024-12-31,466.51999,470.51999,465.31,469.29001,439900,NOC,Northrop Grumman
2024-12-30,467.82001,469.059998,465.17999,466.51999,440200,NOC,Northrop Grumman
2024-12-27,469.62,474.64999,469.029999,471.35001,376000,NOC,Northrop Grumman
2024-12-26,471.089996,474.019989,469.67001,472.23001,294600,NOC,Northrop Grumman
2024-12-24,466.69,471.79001,465.89999,471.089996,235100,NOC,Northrop Grumman
2024-12-23,469.37,470.26001,464.12,467.20001,581900,NOC,Northrop Grumman
2024-12-20,467.48999,474.39999,464.35001,469.54001,1283900,NOC,Northrop Grumman
2024-12-19,466.28,470.97,462.81,467.13,730200,NOC,Northrop Grumman
2024-12-18,480.88,483.5,467.12,467.66,839200,NOC,Northrop Grumman
2024-12-17,480.95001,486.89001,478.39001,480.29001,747300,NOC,Northrop Grumman
2024-12-16,478.84,484.64999,477.48999,482.60001,859200,NOC,Northrop Grumman
2024-12-13,479.98999,484.019989,477.67001,480.0,699600,NOC,Northrop Grumman
2024-12-12,477.0,486.22,473.76999,481.51001,1317400,NOC,Northrop Grumman
2024-12-11,480.29999,480.85999,474.0,475.62,1058100,NOC,Northrop Grumman
2024-12-10,477.70999,480.67999,473.29001,480.17999,789600,NOC,Northrop Grumman
2024-12-09,471.45001,482.01001,470.60001,479.17001,930200,NOC,Northrop Grumman
2024-12-06,479.60999,480.049988,470.54999,473.64999,915700,NOC,Northrop Grumman
2024-12-05,485.79999,486.59,478.14001,479.57001,932500,NOC,Northrop Grumman
2024-12-04,482.73999,487.84,481.059998,486.62,804600,NOC,Northrop Grumman
2024-12-03,485.67999,486.29999,483.13,485.20999,683800,NOC,Northrop Grumman
2024-12-02,487.0,489.17999,481.91,484.75,479600,NOC,Northrop Grumman
2024-11-29,489.89999,490.62,486.60001,489.64999,336700,NOC,Northrop Grumman
2024-11-27,488.26999,492.42001,488.0,489.079987,583400,NOC,Northrop Grumman
2024-11-26,486.56,491.73999,482.57001,488.42999,849300,NOC,Northrop Grumman
2024-11-25,493.5,493.98999,478.42001,485.26999,1805800,NOC,Northrop Grumman
2024-11-22,497.98001,500.0,494.31,496.87,507500,NOC,Northrop Grumman
2024-11-21,493.89999,496.89999,489.17001,496.41,609800,NOC,Northrop Grumman
2024-11-20,490.32001,492.95001,487.44,491.98001,533500,NOC,Northrop Grumman
2024-11-19,494.12,497.94,489.64999,491.019989,795200,NOC,Northrop Grumman
2024-11-18,494.85001,498.32001,487.64001,488.67999,875900,NOC,Northrop Grumman
2024-11-15,497.56,504.23999,490.87,493.98999,1428600,NOC,Northrop Grumman
2024-11-14,521.0,521.0,492.13,500.34,1187600,NOC,Northrop Grumman
2024-11-13,528.75,529.90002,518.84003,520.41998,773400,NOC,Northrop Grumman
2024-11-12,536.15002,536.15002,529.90997,531.39001,649900,NOC,Northrop Grumman
2024-11-11,532.92999,539.76001,532.51001,533.70001,538400,NOC,Northrop Grumman
2024-11-08,523.37,531.27002,522.22998,528.98999,495800,NOC,Northrop Grumman
2024-11-07,525.91998,525.91998,517.45001,520.58002,671600,NOC,Northrop Grumman
2024-11-06,529.34998,529.34998,515.44,523.14001,965700,NOC,Northrop Grumman
2024-11-05,508.94,513.19,505.48001,512.90002,695400,NOC,Northrop Grumman
2024-11-04,507.79001,510.98999,502.14001,507.44,455400,NOC,Northrop Grumman
2024-11-01,513.90002,513.90002,506.32999,506.95001,497900,NOC,Northrop Grumman
2024-10-31,505.60999,511.70001,504.059998,509.019989,908100,NOC,Northrop Grumman
2024-10-30,504.049988,509.37,501.85001,505.34,799200,NOC,Northrop Grumman
2024-10-29,512.5,512.65997,504.01001,504.049988,582000,NOC,Northrop Grumman
2024-10-28,519.27002,519.27002,511.45001,512.15002,680700,NOC,Northrop Grumman
2024-10-25,525.83002,527.75,518.57001,519.34998,516100,NOC,Northrop Grumman
2024-10-24,515.90997,531.0,515.73999,523.67999,1310300,NOC,Northrop Grumman
2024-10-23,522.10999,522.90002,515.44,516.40002,919500,NOC,Northrop Grumman
2024-10-22,529.79999,529.79999,517.82001,520.20001,677400,NOC,Northrop Grumman
2024-10-21,533.72998,536.89001,525.83002,529.65002,579700,NOC,Northrop Grumman
2024-10-18,528.21002,530.92999,525.59998,530.78998,1245900,NOC,Northrop Grumman
2024-10-17,525.16998,529.42999,522.12,527.96997,909200,NOC,Northrop Grumman
2024-10-16,525.080017,531.66998,525.0,531.42999,541200,NOC,Northrop Grumman
2024-10-15,535.27002,536.12,525.88,526.92999,710700,NOC,Northrop Grumman
2024-10-14,530.65002,535.0,527.83002,534.070007,334000,NOC,Northrop Grumman
2024-10-13,530.65002,535.0,527.83008,534.070007,334134,NOC,Northrop Grumman
2024-10-11,529.01001,531.0,526.53003,528.70001,325100,NOC,Northrop Grumman
2024-10-10,529.01001,531.0,526.53003,528.70001,325156,NOC,Northrop Grumman
2024-10-09,531.54999,534.53003,528.77002,532.22998,428500,NOC,Northrop Grumman
2024-10-08,536.01001,536.62,531.64001,532.65002,422500,NOC,Northrop Grumman
2024-10-07,536.26001,539.29999,531.46002,533.96997,436200,NOC,Northrop Grumman
2024-10-04,535.82001,538.56,534.059998,536.73999,393900,NOC,Northrop Grumman
2024-10-03,539.84998,543.59998,535.0,537.58002,443700,NOC,Northrop Grumman
2024-10-02,544.48999,547.22998,538.28998,538.87,690900,NOC,Northrop Grumman
2024-10-01,528.17999,555.57001,525.78003,543.88,1200800,NOC,Northrop Grumman
2024-09-30,526.71997,528.94,521.90002,528.070007,957200,NOC,Northrop Grumman
2024-09-27,523.48999,528.92999,521.96997,526.78998,528800,NOC,Northrop Grumman
2024-09-26,524.33002,530.59998,523.21002,524.31,426100,NOC,Northrop Grumman
2024-09-25,532.17999,533.0,525.090027,528.10999,437300,NOC,Northrop Grumman
2024-09-24,531.030029,533.77002,526.52002,529.85999,528100,NOC,Northrop Grumman
2024-09-23,525.23999,534.60999,523.54999,533.14001,524000,NOC,Northrop Grumman
2024-09-20,521.090027,526.82001,518.22998,525.13,1330400,NOC,Northrop Grumman
2024-09-19,522.72998,523.16998,517.44,522.26001,468400,NOC,Northrop Grumman
2024-09-18,520.75,526.71997,516.94,521.63,532600,NOC,Northrop Grumman
2024-09-17,515.0,521.90997,513.21997,520.75,423000,NOC,Northrop Grumman
2024-09-16,524.15997,527.5,519.53998,521.27002,338500,NOC,Northrop Grumman
2024-09-13,517.34003,521.53003,516.090027,519.78003,292800,NOC,Northrop Grumman
2024-09-12,512.59003,519.049988,512.59003,518.53998,473600,NOC,Northrop Grumman
2024-09-11,517.46997,518.45001,508.13,515.92999,650200,NOC,Northrop Grumman
2024-09-10,525.52002,527.01001,519.32001,519.96997,561500,NOC,Northrop Grumman
2024-09-09,517.0,525.099976,517.0,524.21002,642000,NOC,Northrop Grumman
2024-09-06,519.39001,522.89001,514.72998,515.0,535700,NOC,Northrop Grumman
2024-09-05,524.73999,525.79999,516.33002,519.39001,384300,NOC,Northrop Grumman
2024-09-04,524.01001,528.76001,520.20001,523.67999,580100,NOC,Northrop Grumman
2024-09-03,522.65002,526.65997,520.51001,522.69,810700,NOC,Northrop Grumman
2024-08-30,516.5,523.62,516.16998,523.21002,712700,NOC,Northrop Grumman
2024-08-29,514.0,521.52002,512.20001,519.34998,509500,NOC,Northrop Grumman
2024-08-28,515.56,517.47998,510.14001,513.56,638700,NOC,Northrop Grumman
2024-08-27,512.049988,513.90997,508.0,512.44,434000,NOC,Northrop Grumman
2024-08-26,510.35999,512.34003,508.81,512.0,515000,NOC,Northrop Grumman
2024-08-23,510.0,510.39999,505.23999,509.34,554900,NOC,Northrop Grumman
2024-08-22,506.20999,511.87,506.20999,509.63,500800,NOC,Northrop Grumman
2024-08-21,508.91,509.42001,504.87,506.85999,527300,NOC,Northrop Grumman
2024-08-20,504.5,508.059998,500.51999,508.040009,452900,NOC,Northrop Grumman
2024-08-19,506.75,508.47,503.51999,504.87,344300,NOC,Northrop Grumman
2024-08-16,504.42001,507.73001,502.12,506.66,580300,NOC,Northrop Grumman
2024-08-15,504.63,505.23999,501.32001,503.70001,611800,NOC,Northrop Grumman
2024-08-14,501.47,507.53,500.82999,505.0,720100,NOC,Northrop Grumman
2024-08-13,501.48999,502.51001,496.45001,502.38,781000,NOC,Northrop Grumman
2024-08-12,495.48999,502.69,492.0,501.66,922800,NOC,Northrop Grumman
2024-08-09,492.47,495.85999,487.0,494.34,519100,NOC,Northrop Grumman
2024-08-08,487.67001,495.32001,484.85999,491.32001,544400,NOC,Northrop Grumman
2024-08-07,483.35999,495.049988,480.67999,489.75,739800,NOC,Northrop Grumman
2024-08-06,493.23001,495.5,485.95999,486.53,741500,NOC,Northrop Grumman
2024-08-05,497.48001,506.82999,486.29001,492.63,967500,NOC,Northrop Grumman
2024-08-02,495.98001,505.0,485.70001,494.54999,1045600,NOC,Northrop Grumman
2024-08-01,485.79999,494.64999,483.41,493.35999,997800,NOC,Northrop Grumman
2024-07-31,486.54001,489.38,482.85001,484.32001,1454400,NOC,Northrop Grumman
2024-07-30,476.57999,489.059998,475.019989,486.73001,745000,NOC,Northrop Grumman
2024-07-29,481.049988,482.54001,475.23999,477.29001,877300,NOC,Northrop Grumman
2024-07-26,477.56,484.45001,472.10999,480.29999,1164600,NOC,Northrop Grumman
2024-07-25,460.92999,472.82999,458.92999,470.57001,2050800,NOC,Northrop Grumman
2024-07-24,444.44,445.95001,437.019989,442.12,1301000,NOC,Northrop Grumman
