datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,112.74,113.3,112.12,112.29,1057400,NTRS,Northern Trust
2025-01-30,113.45,114.21,112.2,112.74,957100,NTRS,Northern Trust
2025-01-29,112.26,113.91,112.089996,112.6,1211600,NTRS,Northern Trust
2025-01-28,111.18,113.12,111.029999,112.41,1241600,NTRS,Northern Trust
2025-01-27,111.2,111.53,110.13,111.48,1135600,NTRS,Northern Trust
2025-01-24,109.19,111.69,108.040001,110.92,1437800,NTRS,Northern Trust
2025-01-23,106.39,111.3,106.019997,109.54,2482000,NTRS,Northern Trust
2025-01-22,107.27,107.75,106.48,107.39,1765000,NTRS,Northern Trust
2025-01-21,107.43,108.0,106.91,107.75,998900,NTRS,Northern Trust
2025-01-17,106.85,107.43,105.81,106.87,913600,NTRS,Northern Trust
2025-01-16,105.71,106.71,105.23,106.49,890700,NTRS,Northern Trust
2025-01-15,104.07,106.5,103.94,106.12,1627300,NTRS,Northern Trust
2025-01-14,100.43,101.94,100.22,101.63,1240300,NTRS,Northern Trust
2025-01-13,98.61,100.45,98.42,100.32,1092500,NTRS,Northern Trust
2025-01-10,101.0,101.28,99.13,99.46,969100,NTRS,Northern Trust
2025-01-08,102.57,102.88,100.82,102.22,1524600,NTRS,Northern Trust
2025-01-07,103.089996,103.68,101.76,102.75,858100,NTRS,Northern Trust
2025-01-06,103.82,104.72,102.91,103.21,969300,NTRS,Northern Trust
2025-01-03,103.34,103.47,101.97,103.28,900100,NTRS,Northern Trust
2025-01-02,103.5,104.46,102.54,102.99,936100,NTRS,Northern Trust
2024-12-31,103.14,103.35,101.95,102.5,818300,NTRS,Northern Trust
2024-12-30,102.36,103.35,101.69,102.74,952700,NTRS,Northern Trust
2024-12-27,103.92,105.0,103.38,103.83,641600,NTRS,Northern Trust
2024-12-26,103.37,104.87,103.0,104.66,619800,NTRS,Northern Trust
2024-12-24,102.9,103.93,102.3,103.61,323400,NTRS,Northern Trust
2024-12-23,101.75,102.7,101.25,102.59,673300,NTRS,Northern Trust
2024-12-20,99.91,102.73,99.36,102.48,3497300,NTRS,Northern Trust
2024-12-19,101.080002,102.26,100.26,100.51,1473000,NTRS,Northern Trust
2024-12-18,104.31,104.98,100.0,100.14,1267800,NTRS,Northern Trust
2024-12-17,105.29,106.040001,104.4,104.71,1112800,NTRS,Northern Trust
2024-12-16,105.27,105.89,104.28,105.56,1455000,NTRS,Northern Trust
2024-12-13,105.0,105.54,104.11,104.98,1990700,NTRS,Northern Trust
2024-12-12,105.77,106.44,104.74,105.39,1567300,NTRS,Northern Trust
2024-12-11,109.13,109.42,104.47,105.15,2428900,NTRS,Northern Trust
2024-12-10,108.74,108.99,107.080002,108.15,1132900,NTRS,Northern Trust
2024-12-09,108.81,110.17,108.39,108.6,1594300,NTRS,Northern Trust
2024-12-08,108.81,110.17,108.39,108.6,1594261,NTRS,Northern Trust
2024-12-06,109.3,109.74,107.65,107.92,1633200,NTRS,Northern Trust
2024-12-05,108.77,110.6,108.75,109.94,1112400,NTRS,Northern Trust
2024-12-04,109.0,109.46,108.12,108.77,1147300,NTRS,Northern Trust
2024-12-03,110.94,111.35,109.27,109.34,1685500,NTRS,Northern Trust
2024-12-02,110.94,111.35,109.27,109.34,1685495,NTRS,Northern Trust
2024-12-01,111.3,111.48,109.8,109.89,987221,NTRS,Northern Trust
2024-11-29,110.9,111.87,110.64,111.16,621300,NTRS,Northern Trust
2024-11-27,110.89,111.57,110.28,110.59,592500,NTRS,Northern Trust
2024-11-26,110.72,111.19,109.85,110.75,958500,NTRS,Northern Trust
2024-11-25,110.0,110.99,109.089996,110.53,2603300,NTRS,Northern Trust
2024-11-22,108.79,109.92,108.65,109.46,928400,NTRS,Northern Trust
2024-11-21,108.84,109.42,107.84,108.94,761500,NTRS,Northern Trust
2024-11-20,108.61,108.61,106.93,107.88,761500,NTRS,Northern Trust
2024-11-19,107.36,108.23,107.13,107.84,848700,NTRS,Northern Trust
2024-11-18,107.6,109.54,107.44,108.93,1518300,NTRS,Northern Trust
2024-11-15,106.18,107.87,105.79,107.6,1955100,NTRS,Northern Trust
2024-11-14,106.68,107.21,105.65,105.96,1004200,NTRS,Northern Trust
2024-11-13,107.27,108.46,106.74,106.84,1191000,NTRS,Northern Trust
2024-11-12,106.18,107.56,106.18,106.95,1306500,NTRS,Northern Trust
2024-11-11,106.32,107.72,106.28,106.75,798000,NTRS,Northern Trust
