datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,8126.080078,8179.9502,7992.75,8016.18018,24500,NVR,"NVR, Inc."
2025-01-30,7998.0,8205.76953,7998.0,8140.56982,22100,NVR,"NVR, Inc."
2025-01-29,8064.089844,8065.02002,7961.080078,7965.0097656,20800,NVR,"NVR, Inc."
2025-01-28,8474.24023,8474.24023,8030.31006,8064.089844,30000,NVR,"NVR, Inc."
2025-01-27,8265.0,8480.36035,8265.0,8382.62988,37700,NVR,"NVR, Inc."
2025-01-24,8350.0,8400.0,8200.55957,8200.55957,25300,NVR,"NVR, Inc."
2025-01-23,8334.16992,8411.61035,8276.90039,8345.34961,16100,NVR,"NVR, Inc."
2025-01-22,8296.59961,8392.65039,8286.0,8381.5,21900,NVR,"NVR, Inc."
2025-01-21,8459.48047,8602.12988,8304.76953,8347.049805,28400,NVR,"NVR, Inc."
2025-01-17,8500.0,8500.049805,8340.7998,8362.86035,56700,NVR,"NVR, Inc."
2025-01-16,8226.45996,8372.63965,8164.62988,8355.80957,31700,NVR,"NVR, Inc."
2025-01-15,8341.15039,8388.0,8225.0,8259.080078,22000,NVR,"NVR, Inc."
2025-01-14,8083.6001,8174.10986,8063.5,8143.64014,23900,NVR,"NVR, Inc."
2025-01-13,7814.0,7992.97021,7814.0,7962.0,27200,NVR,"NVR, Inc."
2025-01-10,7918.68994,7918.68994,7802.43018,7845.22021,25800,NVR,"NVR, Inc."
2025-01-08,7902.0,8060.5,7833.0,8005.9502,29300,NVR,"NVR, Inc."
2025-01-07,8010.6001,8059.9502,7866.87012,7897.0,27200,NVR,"NVR, Inc."
2025-01-06,8119.54004,8226.049805,7907.49023,7988.66992,47100,NVR,"NVR, Inc."
2025-01-03,8000.0,8164.8999,8000.0,8070.6001,18000,NVR,"NVR, Inc."
2025-01-02,8222.2002,8255.5,7920.25,7989.89014,27600,NVR,"NVR, Inc."
2024-12-31,8218.82031,8245.5498,8160.0,8178.8999,18100,NVR,"NVR, Inc."
2024-12-30,8178.0,8207.5,8086.58008,8176.45996,22300,NVR,"NVR, Inc."
2024-12-27,8217.37988,8338.7998,8147.31982,8208.38965,14600,NVR,"NVR, Inc."
2024-12-26,8188.97021,8299.25,8130.5,8243.99023,14900,NVR,"NVR, Inc."
2024-12-24,8211.75977,8277.5498,8175.0097656,8259.37012,8800,NVR,"NVR, Inc."
2024-12-23,8249.99023,8267.92969,8141.18018,8222.51953,18800,NVR,"NVR, Inc."
2024-12-20,8121.58008,8323.25,8105.0,8276.78027,60900,NVR,"NVR, Inc."
