datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,212.0,215.85001,208.31,208.55,3020100,NXPI,NXP Semiconductors
2025-01-30,211.64,212.75999,206.81,211.39,3303700,NXPI,NXP Semiconductors
2025-01-29,213.23,215.74001,211.74001,213.0099945,1739300,NXPI,NXP Semiconductors
2025-01-28,214.0,215.71001,208.3,213.42999,2446500,NXPI,NXP Semiconductors
2025-01-27,215.0099945,219.74001,212.38,215.080002,4526800,NXPI,NXP Semiconductors
2025-01-24,216.45,217.46001,211.57001,213.42999,2777200,NXPI,NXP Semiconductors
2025-01-23,213.62,219.91,212.69,219.88,2250800,NXPI,NXP Semiconductors
2025-01-22,215.19,219.64,214.0099945,216.089996,2367500,NXPI,NXP Semiconductors
2025-01-21,215.0,216.75,213.33,214.88,3237900,NXPI,NXP Semiconductors
2025-01-17,216.41,217.46001,213.97,215.36,1921200,NXPI,NXP Semiconductors
2025-01-16,215.25,215.42,209.78,210.75999,1632400,NXPI,NXP Semiconductors
2025-01-15,215.25999,216.66,213.49001,213.56,3143400,NXPI,NXP Semiconductors
2025-01-14,208.58,210.64999,206.73,210.63,1513400,NXPI,NXP Semiconductors
2025-01-13,203.12,207.21001,202.25,206.83,1629700,NXPI,NXP Semiconductors
2025-01-10,209.63,211.32001,206.38,206.75,2511100,NXPI,NXP Semiconductors
2025-01-08,212.14,213.32001,207.34,209.72,2302600,NXPI,NXP Semiconductors
2025-01-07,213.88,218.94,211.24001,212.58,2312200,NXPI,NXP Semiconductors
2025-01-06,210.0099945,215.91,210.0099945,213.41,1972700,NXPI,NXP Semiconductors
2025-01-03,207.3,210.14,205.0,208.86,2308100,NXPI,NXP Semiconductors
2025-01-02,209.61,211.60001,205.23,206.21001,1424300,NXPI,NXP Semiconductors
2024-12-31,208.74001,209.49001,206.34,207.85001,1154500,NXPI,NXP Semiconductors
2024-12-30,211.55,211.95,206.78999,207.47,1817900,NXPI,NXP Semiconductors
2024-12-27,213.33,214.95,211.67,213.75999,1162100,NXPI,NXP Semiconductors
