datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,83.18,83.73,82.28,82.45,4816300,PFG,Principal Financial Group
2025-01-30,84.089996,84.28,83.18,83.51,781200,PFG,Principal Financial Group
2025-01-29,82.78,84.07,82.78,83.38,911000,PFG,Principal Financial Group
2025-01-28,82.62,83.83,82.4,82.89,1128500,PFG,Principal Financial Group
2025-01-27,82.080002,82.75,81.74,82.62,1875600,PFG,Principal Financial Group
2025-01-24,81.58,82.22,81.58,81.83,964300,PFG,Principal Financial Group
2025-01-23,81.47,82.26,79.64,81.87,1363100,PFG,Principal Financial Group
2025-01-22,82.089996,82.32,81.24,81.66,2074300,PFG,Principal Financial Group
2025-01-21,81.7,82.92,81.7,82.54,1390400,PFG,Principal Financial Group
2025-01-17,81.67,81.99,81.19,81.66,1219400,PFG,Principal Financial Group
2025-01-16,79.7,81.17,79.7,81.14,924800,PFG,Principal Financial Group
2025-01-15,80.56,80.89,80.040001,80.080002,954200,PFG,Principal Financial Group
2025-01-14,77.7,79.11,77.66,78.84,976100,PFG,Principal Financial Group
2025-01-13,76.07,77.93,75.97,77.8,941000,PFG,Principal Financial Group
2025-01-10,77.3,77.61,76.11,76.34,900500,PFG,Principal Financial Group
2025-01-08,78.18,78.44,77.0,78.33,939700,PFG,Principal Financial Group
2025-01-07,78.6,79.58,77.81,78.3,1265500,PFG,Principal Financial Group
2025-01-06,77.91,79.48,77.55,77.82,1003700,PFG,Principal Financial Group
2025-01-03,77.69,78.040001,77.14,77.91,1125600,PFG,Principal Financial Group
2025-01-02,77.76,78.27,77.080002,77.39,718100,PFG,Principal Financial Group
2024-12-31,77.62,77.99,77.089996,77.41,517400,PFG,Principal Financial Group
2024-12-30,76.76,77.62,76.33,77.23,677800,PFG,Principal Financial Group
2024-12-27,77.75,78.66,77.36,77.71,726800,PFG,Principal Financial Group
2024-12-26,77.71,78.4,77.45,78.34,372400,PFG,Principal Financial Group
2024-12-24,77.16,77.94,76.94,77.8,271200,PFG,Principal Financial Group
2024-12-23,76.8,77.5,76.52,77.4,900100,PFG,Principal Financial Group
2024-12-20,74.79,77.56,74.52,77.3,3446700,PFG,Principal Financial Group
2024-12-19,75.37,75.91,74.63,75.18,1687000,PFG,Principal Financial Group
2024-12-18,78.43,78.48,74.83,74.91,1758400,PFG,Principal Financial Group
2024-12-17,78.080002,78.2,77.17,77.54,1294900,PFG,Principal Financial Group
