datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,705.33002,718.44,699.39001,707.049988,1334300,PH,Parker Hannifin
2025-01-30,689.40002,708.52002,684.79999,703.89001,1113900,PH,Parker Hannifin
2025-01-29,667.0,672.16998,662.34003,665.81,1033000,PH,Parker Hannifin
2025-01-28,665.28998,666.91998,657.29999,666.22998,760100,PH,Parker Hannifin
2025-01-27,669.79999,672.0,655.60999,662.77002,694700,PH,Parker Hannifin
2025-01-24,680.090027,682.0,675.049988,679.34003,493400,PH,Parker Hannifin
2025-01-23,676.35999,681.039978,671.64001,680.090027,476900,PH,Parker Hannifin
2025-01-22,679.81,682.030029,673.13,674.48999,503400,PH,Parker Hannifin
2025-01-21,677.83002,680.0,673.0,678.41998,642400,PH,Parker Hannifin
2025-01-17,664.98999,671.87,660.15997,669.46002,728900,PH,Parker Hannifin
2025-01-16,659.59998,661.099976,655.070007,658.65997,433500,PH,Parker Hannifin
2025-01-15,660.48999,669.12,655.58002,656.32001,701200,PH,Parker Hannifin
2025-01-14,643.72998,652.5,641.41998,647.01001,666700,PH,Parker Hannifin
2025-01-13,625.83002,638.37,624.95001,637.98999,470900,PH,Parker Hannifin
2025-01-10,635.40997,636.78003,624.28003,630.039978,612800,PH,Parker Hannifin
2025-01-08,634.16998,641.89001,628.78003,641.5,439900,PH,Parker Hannifin
2025-01-07,639.90002,641.44,632.40002,635.22998,658500,PH,Parker Hannifin
2025-01-06,640.39001,649.85999,636.47998,641.0,634300,PH,Parker Hannifin
2025-01-03,631.12,639.23999,629.099976,637.67999,529200,PH,Parker Hannifin
2025-01-02,640.099976,643.090027,626.02002,629.52002,413600,PH,Parker Hannifin
2024-12-31,637.23999,640.42999,633.87,636.030029,283000,PH,Parker Hannifin
2024-12-30,635.91998,639.81,628.039978,636.82001,337700,PH,Parker Hannifin
2024-12-27,646.0,650.76001,637.54999,643.81,392500,PH,Parker Hannifin
2024-12-26,649.73999,651.85999,646.47998,651.41998,256900,PH,Parker Hannifin
2024-12-24,644.20001,652.73999,640.92999,652.57001,227000,PH,Parker Hannifin
2024-12-23,642.57001,647.64001,639.60999,645.65002,599400,PH,Parker Hannifin
2024-12-20,634.89001,651.90002,632.33002,647.20001,1338500,PH,Parker Hannifin
