datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,212.91,215.98,211.48,212.66,1241300,PKG,Packaging Corporation of America
2025-01-30,214.039993,215.99001,212.5,214.24001,1091900,PKG,Packaging Corporation of America
2025-01-29,220.10001,232.5,212.34,215.12,2497100,PKG,Packaging Corporation of America
2025-01-28,237.78999,239.67,236.73,238.41,944800,PKG,Packaging Corporation of America
2025-01-27,240.53999,241.96001,238.94,239.72,594700,PKG,Packaging Corporation of America
2025-01-24,239.23,240.82001,237.24001,240.27,546200,PKG,Packaging Corporation of America
2025-01-23,240.3,240.42,238.13,239.24001,826600,PKG,Packaging Corporation of America
2025-01-22,241.31,241.97,239.16,239.8,574100,PKG,Packaging Corporation of America
2025-01-21,239.35001,242.67999,238.63,242.13,657300,PKG,Packaging Corporation of America
2025-01-17,236.21001,238.070007,234.75999,237.87,1768100,PKG,Packaging Corporation of America
2025-01-16,237.94,237.94,233.84,235.32001,895300,PKG,Packaging Corporation of America
2025-01-15,235.28,238.25999,233.23,235.2,656600,PKG,Packaging Corporation of America
2025-01-14,231.53,233.46001,230.63,232.64999,756300,PKG,Packaging Corporation of America
2025-01-13,225.56,230.46001,225.56,230.32001,867800,PKG,Packaging Corporation of America
2025-01-10,226.83,230.0,226.039993,228.050003,1102900,PKG,Packaging Corporation of America
2025-01-08,225.47,228.58,224.7,228.53999,1180500,PKG,Packaging Corporation of America
2025-01-07,227.57001,228.38,224.75999,225.98,1048700,PKG,Packaging Corporation of America
2025-01-06,227.39,228.98,225.8,227.080002,795000,PKG,Packaging Corporation of America
2025-01-03,224.52,226.17,224.19,225.88,550200,PKG,Packaging Corporation of America
2025-01-02,226.60001,226.60001,223.85001,225.24001,846100,PKG,Packaging Corporation of America
2024-12-31,226.0099945,226.58,223.89999,225.13,939900,PKG,Packaging Corporation of America
2024-12-30,226.24001,226.92999,222.84,224.96001,761300,PKG,Packaging Corporation of America
2024-12-27,227.98,229.59,226.34,227.089996,894100,PKG,Packaging Corporation of America
2024-12-26,228.39999,229.85001,227.99001,229.45,661400,PKG,Packaging Corporation of America
2024-12-24,227.95,229.11,226.73,228.82001,513100,PKG,Packaging Corporation of America
2024-12-23,226.78,228.020004,225.3,227.080002,630700,PKG,Packaging Corporation of America
2024-12-20,226.14999,228.84,225.78,227.98,1955900,PKG,Packaging Corporation of America
2024-12-19,229.21001,232.95,226.98,227.46001,905900,PKG,Packaging Corporation of America
2024-12-18,236.95,238.2,229.11,229.22,1002600,PKG,Packaging Corporation of America
2024-12-17,236.23,236.92,231.92999,232.55,568600,PKG,Packaging Corporation of America
2024-12-16,238.92,239.33,236.53,237.089996,768000,PKG,Packaging Corporation of America
2024-12-13,238.52,240.73,236.67,238.10001,851500,PKG,Packaging Corporation of America
2024-12-12,238.17,240.44,238.059998,239.089996,433600,PKG,Packaging Corporation of America
2024-12-11,239.59,239.77,237.22,238.64,729200,PKG,Packaging Corporation of America
2024-12-10,238.8,240.020004,236.12,238.23,492100,PKG,Packaging Corporation of America
