datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,81.0,85.22,80.87,82.49,79000200,PLTR,Palantir Technologies
2025-01-30,80.019997,81.83,79.38,81.22,46067500,PLTR,Palantir Technologies
2025-01-29,79.95,80.82,77.81,79.76,49262200,PLTR,Palantir Technologies
2025-01-28,75.54,80.74,74.040001,80.23,65916700,PLTR,Palantir Technologies
2025-01-27,74.07,76.72,72.67,75.44,76093300,PLTR,Palantir Technologies
2025-01-24,79.050003,82.24,78.44,78.98,77931900,PLTR,Palantir Technologies
2025-01-23,76.040001,79.0,75.84,78.98,55937900,PLTR,Palantir Technologies
2025-01-22,74.5,77.16,73.8,76.87,66876400,PLTR,Palantir Technologies
2025-01-21,73.24,73.636,70.601,73.07,56229000,PLTR,Palantir Technologies
2025-01-17,70.9,72.34,69.95,71.77,54754000,PLTR,Palantir Technologies
2025-01-16,69.080002,71.43,68.36,69.24,62908700,PLTR,Palantir Technologies
2025-01-15,68.55,68.85,67.080002,68.14,56025800,PLTR,Palantir Technologies
2025-01-14,67.18,68.23,65.19,65.91,56814900,PLTR,Palantir Technologies
2025-01-13,64.29,65.68,63.4,64.98,69046300,PLTR,Palantir Technologies
2025-01-10,66.010002,68.2,65.040001,67.26,78148600,PLTR,Palantir Technologies
2025-01-08,68.12,69.53,66.51,68.23,91349500,PLTR,Palantir Technologies
2025-01-07,75.2,75.39,69.75,69.99,91727300,PLTR,Palantir Technologies
2025-01-06,78.69,80.059998,74.61,75.92,105619500,PLTR,Palantir Technologies
2025-01-03,75.39,79.98,75.19,79.89,62415000,PLTR,Palantir Technologies
2025-01-02,76.2,76.53,72.42,75.19,72217200,PLTR,Palantir Technologies
2024-12-31,77.58,77.98,73.65,75.63,56267900,PLTR,Palantir Technologies
2024-12-30,77.040001,79.24,76.11,77.18,60850900,PLTR,Palantir Technologies
2024-12-27,81.42,82.0,77.93,79.080002,66975900,PLTR,Palantir Technologies
2024-12-26,83.16,83.49,81.3,82.14,60377100,PLTR,Palantir Technologies
2024-12-24,81.089996,84.797,81.0,82.38,64983300,PLTR,Palantir Technologies
2024-12-23,80.65,82.019997,77.41,80.69,93819500,PLTR,Palantir Technologies
