datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,129.99001,131.16,129.50999,130.2,5331200,PM,Philip Morris International
2025-01-30,130.059998,130.49001,129.050003,130.32001,3241700,PM,Philip Morris International
2025-01-29,129.31,130.73,129.17999,129.59,3869400,PM,Philip Morris International
2025-01-28,129.39,131.089996,128.32001,128.96001,5102100,PM,Philip Morris International
2025-01-27,129.17,131.36,128.63,130.42999,7645000,PM,Philip Morris International
2025-01-24,125.59,127.41,125.53,127.28,3685700,PM,Philip Morris International
2025-01-23,122.92,125.48,122.76,125.43,5375300,PM,Philip Morris International
2025-01-22,123.46,123.55,122.37,122.89,4431200,PM,Philip Morris International
2025-01-21,122.38,124.19,122.22,123.81,5963600,PM,Philip Morris International
2025-01-17,119.85,122.19,119.3,121.59,5170100,PM,Philip Morris International
2025-01-16,118.84,120.46,118.31,119.8,7855800,PM,Philip Morris International
2025-01-15,118.050003,119.19,117.18,118.51,5374200,PM,Philip Morris International
2025-01-14,117.78,118.57,117.28,118.47,3942600,PM,Philip Morris International
2025-01-13,117.0,117.77,116.12,117.55,5676900,PM,Philip Morris International
2025-01-10,120.0,120.64,116.98,117.15,5365200,PM,Philip Morris International
2025-01-08,120.86,121.92,120.0,121.86,3569400,PM,Philip Morris International
2025-01-07,120.99,121.91,120.64,121.4,4933300,PM,Philip Morris International
2025-01-06,122.11,122.92,120.67,121.0,4993600,PM,Philip Morris International
2025-01-03,121.51,122.32,121.14,122.019997,3350100,PM,Philip Morris International
2025-01-02,121.34,122.14,120.25,121.099998,3388700,PM,Philip Morris International
2024-12-31,120.44,120.83,119.95,120.35,4397800,PM,Philip Morris International
2024-12-30,121.07,121.21,119.33,120.010002,3336400,PM,Philip Morris International
2024-12-27,121.65,121.98,120.9,121.45,3923500,PM,Philip Morris International
2024-12-26,121.49,122.32,121.2,121.71,2425600,PM,Philip Morris International
2024-12-24,123.48,124.099998,122.56,122.91,2806600,PM,Philip Morris International
2024-12-23,123.72,123.98,122.059998,123.78,3697100,PM,Philip Morris International
2024-12-20,122.5,124.77,122.21,124.22,10267400,PM,Philip Morris International
2024-12-19,124.38,124.69,122.040001,122.17,6985400,PM,Philip Morris International
2024-12-18,125.3,125.84,124.46,124.55,4719800,PM,Philip Morris International
2024-12-17,125.33,126.56,125.28,126.040001,5275900,PM,Philip Morris International
2024-12-16,127.07,127.47,125.83,125.94,5439100,PM,Philip Morris International
2024-12-13,126.31,127.8,126.089996,126.62,3233100,PM,Philip Morris International
2024-12-12,127.73,128.0,126.36,127.0,5144700,PM,Philip Morris International
2024-12-11,129.53999,129.75,126.33,126.82,10141600,PM,Philip Morris International
2024-12-10,127.96,129.5,127.73,128.98,3790900,PM,Philip Morris International
2024-12-09,130.3,131.070007,127.91,128.71001,4759500,PM,Philip Morris International
2024-12-06,132.2,132.2,130.41,130.56,4212500,PM,Philip Morris International
2024-12-05,131.28999,133.2,130.97,132.49001,4186300,PM,Philip Morris International
2024-12-04,130.36,130.85001,128.92,130.48,4661200,PM,Philip Morris International
2024-12-03,131.69,131.95,129.28999,129.69,4739400,PM,Philip Morris International
2024-12-02,132.49001,132.78999,130.75999,131.020004,4136400,PM,Philip Morris International
2024-11-29,131.64,133.24001,131.42999,133.059998,3255600,PM,Philip Morris International
2024-11-27,132.55,133.42,131.73,131.82001,4054100,PM,Philip Morris International
2024-11-26,130.73,132.94,130.53,132.28,3462700,PM,Philip Morris International
2024-11-25,130.67,131.10001,129.16,130.71001,4364100,PM,Philip Morris International
2024-11-22,131.74001,131.81,129.83,129.99001,4108200,PM,Philip Morris International
2024-11-21,130.5,132.12,130.41,131.21001,3605100,PM,Philip Morris International
2024-11-20,129.62,131.24001,128.8,130.39,4172700,PM,Philip Morris International
2024-11-19,131.22,131.42,128.78,129.53999,5482600,PM,Philip Morris International
2024-11-18,129.66,131.96001,128.81,131.72,4906900,PM,Philip Morris International
2024-11-15,128.39,130.14999,128.34,128.59,9066000,PM,Philip Morris International
2024-11-14,124.0,128.36,123.83,128.2,6851800,PM,Philip Morris International
2024-11-13,124.85,126.42,124.21,125.24,4935800,PM,Philip Morris International
2024-11-12,125.82,125.9,123.85,124.22,3837100,PM,Philip Morris International
2024-11-11,125.9,126.97,124.8,124.95,5101500,PM,Philip Morris International
2024-11-08,124.45,126.82,123.56,126.24,6364900,PM,Philip Morris International
2024-11-07,126.53,126.9,123.68,123.78,10545500,PM,Philip Morris International
2024-11-06,132.98,132.98,125.14,125.31,10222800,PM,Philip Morris International
2024-11-05,130.73,132.33,130.27,132.19,3333500,PM,Philip Morris International
2024-11-04,131.23,131.64,129.67999,130.33,3916000,PM,Philip Morris International
2024-11-01,132.66,133.27,130.33,130.64999,5833200,PM,Philip Morris International
2024-10-31,132.25,134.14999,131.87,132.7,5666600,PM,Philip Morris International
2024-10-30,131.57001,132.3,131.0,132.11,4385800,PM,Philip Morris International
2024-10-29,130.3,132.13,130.12,131.57001,5500500,PM,Philip Morris International
2024-10-28,129.63,130.53999,128.74001,130.5,5525900,PM,Philip Morris International
2024-10-25,133.0099945,133.27,129.57001,129.86,3888300,PM,Philip Morris International
2024-10-24,131.89,132.91,131.34,132.8,5378900,PM,Philip Morris International
2024-10-23,129.98,131.41,129.029999,131.41,6993400,PM,Philip Morris International
2024-10-22,123.32,131.97,123.22,131.41,14411800,PM,Philip Morris International
2024-10-21,120.19,120.44,118.52,118.96,5595500,PM,Philip Morris International
2024-10-18,120.059998,120.76,119.25,120.21,4046000,PM,Philip Morris International
2024-10-17,120.9,121.059998,119.83,120.14,2929200,PM,Philip Morris International
2024-10-16,120.13,120.99,119.81,120.89,2794200,PM,Philip Morris International
2024-10-15,120.28,121.32,120.029999,120.42,5496700,PM,Philip Morris International
2024-10-14,120.010002,120.39,119.58,120.080002,3719400,PM,Philip Morris International
2024-10-11,119.65,120.17,119.029999,120.099998,2630100,PM,Philip Morris International
2024-10-10,120.62,121.58,119.13,119.39,3606700,PM,Philip Morris International
2024-10-09,118.81,120.29,118.71,120.18,3212400,PM,Philip Morris International
2024-10-08,119.24,119.58,118.25,118.8,3522000,PM,Philip Morris International
2024-10-07,118.91,118.96,118.28,118.91,5110300,PM,Philip Morris International
2024-10-04,117.74,119.11,117.53,119.099998,4124500,PM,Philip Morris International
2024-10-03,119.27,119.6,117.8,118.38,4523200,PM,Philip Morris International
2024-10-02,120.3,120.37,119.27,119.6,3425000,PM,Philip Morris International
2024-10-01,121.5,121.96,120.33,120.59,5466100,PM,Philip Morris International
2024-09-30,121.3,121.77,120.55,121.4,6947900,PM,Philip Morris International
2024-09-27,121.12,121.49,120.56,120.62,6046600,PM,Philip Morris International
2024-09-26,120.2,121.43,119.7,120.85,6350900,PM,Philip Morris International
2024-09-25,121.9,122.76,121.040001,121.69,6474000,PM,Philip Morris International
2024-09-24,120.42,121.57,120.13,121.21,4056900,PM,Philip Morris International
2024-09-23,120.93,121.6,120.42,121.089996,4638800,PM,Philip Morris International
2024-09-20,119.5,120.85,119.16,120.79,18374400,PM,Philip Morris International
2024-09-19,120.6,120.76,119.4,119.74,7688600,PM,Philip Morris International
2024-09-18,122.91,123.0,120.39,120.96,9398600,PM,Philip Morris International
2024-09-17,124.8,125.080002,122.07,123.23,6345000,PM,Philip Morris International
2024-09-16,126.15,126.99,125.34,125.97,5549500,PM,Philip Morris International
2024-09-13,124.92,125.87,124.46,125.62,3779600,PM,Philip Morris International
2024-09-12,125.0,125.5,123.3,124.65,6055800,PM,Philip Morris International
2024-09-11,126.5,126.5,124.22,125.26,4506100,PM,Philip Morris International
2024-09-10,127.36,127.91,125.63,126.75,4921900,PM,Philip Morris International
2024-09-09,125.72,128.22,125.72,127.45,4497500,PM,Philip Morris International
2024-09-06,125.059998,126.45,125.0,125.81,8412600,PM,Philip Morris International
2024-09-05,126.88,127.45,125.029999,125.18,5638200,PM,Philip Morris International
2024-09-04,126.0,127.41,125.29,126.61,5340700,PM,Philip Morris International
2024-09-03,123.57,126.19,123.21,125.71,6352600,PM,Philip Morris International
2024-08-30,122.73,123.45,122.32,123.29,5602900,PM,Philip Morris International
2024-08-29,122.86,122.86,121.76,122.55,3619400,PM,Philip Morris International
2024-08-28,122.65,123.050003,121.95,122.57,4430000,PM,Philip Morris International
2024-08-27,121.76,122.55,121.29,122.41,3511600,PM,Philip Morris International
2024-08-26,120.029999,121.6,120.029999,121.25,3061700,PM,Philip Morris International
2024-08-23,120.099998,120.27,119.57,120.15,2896500,PM,Philip Morris International
2024-08-22,120.010002,120.21,119.099998,120.099998,4156300,PM,Philip Morris International
2024-08-21,119.17,120.089996,118.96,120.0,4159500,PM,Philip Morris International
2024-08-20,118.46,119.099998,118.089996,118.98,3837900,PM,Philip Morris International
