datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,86.81,87.27,86.41,86.96,1137000,PNW,Pinnacle West
2025-01-30,86.75,87.31,86.58,87.13,593100,PNW,Pinnacle West
2025-01-29,86.39,87.0,85.83,85.9,576000,PNW,Pinnacle West
2025-01-28,87.19,87.95,86.029999,86.49,914100,PNW,Pinnacle West
2025-01-27,86.43,87.53,84.28,87.48,1528500,PNW,Pinnacle West
2025-01-24,84.91,86.099998,84.76,85.74,1751700,PNW,Pinnacle West
2025-01-23,86.11,86.16,85.23,85.37,1229800,PNW,Pinnacle West
2025-01-22,87.48,87.71,85.85,85.96,1164400,PNW,Pinnacle West
2025-01-21,87.34,88.49,87.07,88.0,1059200,PNW,Pinnacle West
2025-01-17,86.15,87.059998,86.15,86.64,751200,PNW,Pinnacle West
2025-01-16,84.25,86.63,84.23,86.44,1229600,PNW,Pinnacle West
2025-01-15,84.52,84.83,83.79,84.41,1070000,PNW,Pinnacle West
2025-01-14,82.66,83.7,82.54,83.24,1110900,PNW,Pinnacle West
2025-01-13,82.14,82.95,81.47,82.54,1047400,PNW,Pinnacle West
2025-01-10,83.019997,83.28,81.67,81.76,1256800,PNW,Pinnacle West
2025-01-08,82.84,83.87,82.089996,83.61,978300,PNW,Pinnacle West
2025-01-07,83.07,83.96,82.79,83.2,960400,PNW,Pinnacle West
2025-01-06,83.8,83.99,82.9,83.089996,1636600,PNW,Pinnacle West
2025-01-03,84.41,85.15,84.089996,84.25,770100,PNW,Pinnacle West
2025-01-02,85.48,85.63,84.080002,84.31,859000,PNW,Pinnacle West
2024-12-31,84.84,85.36,84.31,84.77,599000,PNW,Pinnacle West
2024-12-30,84.8,85.099998,84.0,84.8,731100,PNW,Pinnacle West
2024-12-27,84.77,85.8,84.75,84.95,642600,PNW,Pinnacle West
2024-12-26,85.19,85.79,84.84,85.44,798100,PNW,Pinnacle West
2024-12-24,85.24,85.85,84.92,85.61,359400,PNW,Pinnacle West
2024-12-23,84.91,85.34,84.13,85.0,1087800,PNW,Pinnacle West
2024-12-20,84.36,85.66,84.089996,84.96,1900600,PNW,Pinnacle West
2024-12-19,84.050003,85.72,84.050003,84.6,1300600,PNW,Pinnacle West
2024-12-18,85.86,86.07,83.97,84.029999,1330700,PNW,Pinnacle West
2024-12-17,85.47,86.98,85.2,86.099998,1232100,PNW,Pinnacle West
2024-12-16,87.55,87.59,85.98,86.019997,1336900,PNW,Pinnacle West
2024-12-13,88.37,88.84,87.49,87.55,1008600,PNW,Pinnacle West
2024-12-12,88.7,90.33,88.64,88.71,973800,PNW,Pinnacle West
2024-12-11,90.6,90.6,88.67,88.89,962800,PNW,Pinnacle West
2024-12-10,90.44,90.75,88.91,90.25,1105500,PNW,Pinnacle West
2024-12-09,91.12,91.73,90.38,90.44,1049700,PNW,Pinnacle West
2024-12-06,92.59,93.089996,91.43,91.59,746700,PNW,Pinnacle West
2024-12-05,92.15,93.23,91.45,92.45,891500,PNW,Pinnacle West
2024-12-04,91.34,92.74,90.7,92.089996,1271300,PNW,Pinnacle West
2024-12-03,92.7,92.99,91.25,91.28,1020800,PNW,Pinnacle West
2024-12-02,94.2,94.2,92.15,92.42,918800,PNW,Pinnacle West
2024-11-29,94.88,95.18,93.7,93.7,507900,PNW,Pinnacle West
2024-11-27,94.35,95.42,93.78,94.52,1181300,PNW,Pinnacle West
2024-11-26,93.52,93.81,92.71,93.8,1039200,PNW,Pinnacle West
2024-11-25,93.34,94.040001,92.57,92.88,1189600,PNW,Pinnacle West
2024-11-22,94.0,94.38,92.86,92.93,1297500,PNW,Pinnacle West
2024-11-21,91.72,93.65,91.47,93.62,1074200,PNW,Pinnacle West
2024-11-20,90.95,91.8,90.54,91.79,1269200,PNW,Pinnacle West
2024-11-19,91.51,91.51,89.87,90.95,1372000,PNW,Pinnacle West
2024-11-18,90.89,92.41,90.56,91.58,1707000,PNW,Pinnacle West
2024-11-15,90.89,92.080002,90.53,91.88,3587400,PNW,Pinnacle West
2024-11-14,91.029999,91.51,90.62,90.86,988600,PNW,Pinnacle West
2024-11-13,91.25,91.6,90.53,91.22,1335600,PNW,Pinnacle West
2024-11-12,92.0,92.21,90.77,90.92,2234200,PNW,Pinnacle West
2024-11-11,91.019997,93.12,91.019997,91.91,1425000,PNW,Pinnacle West
2024-11-08,89.52,92.13,89.4,91.81,1873600,PNW,Pinnacle West
2024-11-07,89.83,90.29,87.76,89.22,2071200,PNW,Pinnacle West
2024-11-06,87.87,92.59,87.64,90.099998,3210800,PNW,Pinnacle West
2024-11-05,85.43,86.97,85.019997,86.71,1334300,PNW,Pinnacle West
2024-11-04,84.67,85.79,84.54,85.71,1422300,PNW,Pinnacle West
2024-11-01,87.9,88.07,85.48,85.83,1116900,PNW,Pinnacle West
2024-10-31,87.62,88.5,87.52,87.81,1216600,PNW,Pinnacle West
2024-10-30,87.83,87.94,86.82,87.53,1646200,PNW,Pinnacle West
2024-10-29,87.69,87.69,86.8,87.44,948400,PNW,Pinnacle West
2024-10-28,88.5,88.8,88.12,88.23,575100,PNW,Pinnacle West
2024-10-25,90.0,90.0,88.029999,88.2,767300,PNW,Pinnacle West
2024-10-24,89.35,89.77,89.010002,89.61,1260800,PNW,Pinnacle West
2024-10-23,88.089996,89.35,87.82,89.31,1651300,PNW,Pinnacle West
2024-10-22,87.0,88.25,86.79,88.12,1544500,PNW,Pinnacle West
2024-10-21,88.080002,88.080002,86.93,87.46,1060100,PNW,Pinnacle West
2024-10-18,87.099998,88.14,86.4,87.92,2483200,PNW,Pinnacle West
2024-10-17,87.65,87.66,86.96,87.089996,1487200,PNW,Pinnacle West
2024-10-16,87.51,87.88,87.099998,87.58,1947700,PNW,Pinnacle West
2024-10-15,87.12,87.83,86.85,87.050003,1247700,PNW,Pinnacle West
2024-10-14,86.16,86.84,85.89,86.53,954400,PNW,Pinnacle West
2024-10-11,85.7,86.2,85.6,85.9,840100,PNW,Pinnacle West
2024-10-10,86.44,86.69,85.33,85.52,660300,PNW,Pinnacle West
2024-10-09,86.62,86.88,85.67,86.19,673400,PNW,Pinnacle West
2024-10-08,87.51,87.51,86.62,86.69,783000,PNW,Pinnacle West
2024-10-07,87.74,87.74,86.66,87.11,755800,PNW,Pinnacle West
2024-10-04,88.79,88.85,87.24,87.98,1359600,PNW,Pinnacle West
2024-10-03,90.089996,90.15,89.22,89.53,1051300,PNW,Pinnacle West
2024-10-02,89.86,90.86,89.54,89.83,891900,PNW,Pinnacle West
2024-10-01,88.89,90.91,88.64,90.51,1813000,PNW,Pinnacle West
2024-09-30,88.48,89.77,88.21,88.59,1622800,PNW,Pinnacle West
2024-09-27,88.85,89.17,88.2,88.27,1761400,PNW,Pinnacle West
2024-09-26,88.63,89.29,88.16,88.45,1170700,PNW,Pinnacle West
2024-09-25,89.95,89.95,88.7,88.95,1299900,PNW,Pinnacle West
2024-09-24,89.51,90.71,89.19,89.24,807400,PNW,Pinnacle West
2024-09-23,90.73,90.99,90.19,90.2,934700,PNW,Pinnacle West
2024-09-20,89.94,90.28,89.25,90.28,3167000,PNW,Pinnacle West
2024-09-19,89.51,90.099998,88.27,89.019997,1038100,PNW,Pinnacle West
2024-09-18,89.93,90.62,89.49,90.22,994000,PNW,Pinnacle West
2024-09-17,91.32,91.57,89.52,89.97,1176100,PNW,Pinnacle West
2024-09-16,91.0,91.49,90.65,91.32,902000,PNW,Pinnacle West
2024-09-13,89.45,90.74,88.76,90.7,606100,PNW,Pinnacle West
2024-09-12,88.95,89.26,88.64,89.22,673700,PNW,Pinnacle West
2024-09-11,89.33,89.59,88.29,88.97,756000,PNW,Pinnacle West
2024-09-10,89.51,90.49,89.2,89.67,644400,PNW,Pinnacle West
2024-09-09,87.83,89.69,87.83,89.48,1384000,PNW,Pinnacle West
2024-09-06,88.4,88.77,87.67,87.81,804700,PNW,Pinnacle West
