datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,115.0,117.58,114.79,115.38,4237900,PPG,PPG Industries
2025-01-30,122.17,123.3,121.51,122.75,2774500,PPG,PPG Industries
2025-01-29,122.0,123.52,121.97,122.38,1969900,PPG,PPG Industries
2025-01-28,124.080002,124.54,122.92,123.010002,1497900,PPG,PPG Industries
2025-01-27,123.39,124.66,122.66,124.29,3090900,PPG,PPG Industries
2025-01-24,124.12,124.74,122.54,122.78,1731400,PPG,PPG Industries
2025-01-23,122.84,124.07,122.76,123.48,1434000,PPG,PPG Industries
2025-01-22,123.089996,123.88,122.49,122.87,2028700,PPG,PPG Industries
2025-01-21,121.3,123.66,121.059998,123.37,2267900,PPG,PPG Industries
2025-01-17,120.089996,121.16,119.72,120.24,2686200,PPG,PPG Industries
2025-01-16,117.37,119.61,117.099998,119.6,1443100,PPG,PPG Industries
2025-01-15,118.86,119.029999,116.85,117.57,2021900,PPG,PPG Industries
2025-01-14,115.25,116.61,115.25,116.53,1891900,PPG,PPG Industries
2025-01-13,113.52,115.17,113.0,114.8,2115800,PPG,PPG Industries
2025-01-10,114.2,114.7,113.14,113.18,1475700,PPG,PPG Industries
2025-01-08,115.16,115.88,113.92,115.69,1394500,PPG,PPG Industries
2025-01-07,114.86,118.36,114.86,115.86,1988100,PPG,PPG Industries
2025-01-06,114.62,116.7,114.52,115.07,2741600,PPG,PPG Industries
2025-01-03,115.2,115.63,113.49,114.27,2285600,PPG,PPG Industries
2025-01-02,119.089996,119.79,115.34,115.42,2692000,PPG,PPG Industries
2024-12-31,119.59,120.27,118.75,119.45,1052700,PPG,PPG Industries
2024-12-30,119.55,119.77,118.5,119.089996,1813100,PPG,PPG Industries
2024-12-27,120.42,121.93,119.94,120.38,993100,PPG,PPG Industries
2024-12-26,120.07,121.37,120.050003,121.23,1021600,PPG,PPG Industries
2024-12-24,120.080002,121.23,119.56,120.98,539000,PPG,PPG Industries
2024-12-23,119.95,120.42,118.83,120.15,1470800,PPG,PPG Industries
2024-12-20,119.26,121.78,118.58,120.21,3884400,PPG,PPG Industries
2024-12-19,120.97,122.0,119.41,119.52,3493500,PPG,PPG Industries
2024-12-18,122.019997,124.81,121.22,121.25,3589500,PPG,PPG Industries
2024-12-17,122.040001,123.07,121.25,122.059998,2081700,PPG,PPG Industries
2024-12-16,123.35,124.87,122.63,122.64,1963800,PPG,PPG Industries
2024-12-13,123.26,124.29,122.18,124.17,2277600,PPG,PPG Industries
2024-12-12,122.45,124.099998,122.45,124.019997,1717300,PPG,PPG Industries
2024-12-11,125.53,125.71,122.45,122.59,2087500,PPG,PPG Industries
2024-12-10,126.53,126.53,123.51,125.42,2139500,PPG,PPG Industries
2024-12-09,126.25,130.050003,125.85,126.86,3125600,PPG,PPG Industries
2024-12-06,126.35,126.75,124.52,125.57,2500600,PPG,PPG Industries
