datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,33.54,33.62,33.35,33.6,4422900,PPL,PPL Corporation
2025-01-30,33.16,33.5,33.029999,33.47,4395800,PPL,PPL Corporation
2025-01-29,32.84,33.12,32.66,32.73,3682200,PPL,PPL Corporation
2025-01-28,33.48,33.55,32.66,32.84,4414900,PPL,PPL Corporation
2025-01-27,33.12,33.53,32.24,33.51,5397400,PPL,PPL Corporation
2025-01-24,32.64,32.95,32.64,32.88,2702800,PPL,PPL Corporation
2025-01-23,32.73,33.029999,32.6,32.74,2960500,PPL,PPL Corporation
2025-01-22,33.56,33.57,32.63,32.66,6217600,PPL,PPL Corporation
2025-01-21,33.45,33.79,33.38,33.57,4599400,PPL,PPL Corporation
2025-01-17,33.14,33.37,33.0099983,33.25,4793300,PPL,PPL Corporation
2025-01-16,32.099998,33.2,32.029999,33.17,6654900,PPL,PPL Corporation
2025-01-15,32.27,32.43,31.99,32.11,4313900,PPL,PPL Corporation
2025-01-14,31.69,32.099998,31.6,31.98,4254000,PPL,PPL Corporation
2025-01-13,31.77,31.8,31.22,31.68,4824100,PPL,PPL Corporation
2025-01-10,31.94,32.24,31.69,31.73,3820200,PPL,PPL Corporation
2025-01-08,31.9,32.18,31.61,32.17,3624700,PPL,PPL Corporation
2025-01-07,31.88,32.14,31.82,32.0,3498200,PPL,PPL Corporation
2025-01-06,32.16,32.24,31.66,31.73,3867000,PPL,PPL Corporation
2025-01-03,32.26,32.5,32.15,32.27,3134700,PPL,PPL Corporation
2025-01-02,32.58,32.68,32.080002,32.18,2820000,PPL,PPL Corporation
2024-12-31,32.45,32.59,32.19,32.46,3592600,PPL,PPL Corporation
2024-12-30,32.41,32.46,32.07,32.39,2513900,PPL,PPL Corporation
2024-12-27,32.4,32.75,32.33,32.52,2271200,PPL,PPL Corporation
2024-12-26,32.58,32.68,32.43,32.62,1636400,PPL,PPL Corporation
2024-12-24,32.41,32.62,32.32,32.6,964200,PPL,PPL Corporation
2024-12-23,32.28,32.47,32.11,32.41,3014800,PPL,PPL Corporation
2024-12-20,31.87,32.46,31.85,32.43,10037100,PPL,PPL Corporation
2024-12-19,31.54,32.29,31.52,32.02,5326900,PPL,PPL Corporation
2024-12-18,32.16,32.3,31.57,31.59,4363500,PPL,PPL Corporation
2024-12-17,32.16,32.48,32.12,32.26,4166300,PPL,PPL Corporation
2024-12-16,32.35,32.78,32.3,32.32,4056300,PPL,PPL Corporation
2024-12-13,32.32,32.57,32.18,32.29,2872600,PPL,PPL Corporation
2024-12-12,32.89,32.92,32.29,32.29,4013200,PPL,PPL Corporation
2024-12-11,33.099998,33.13,32.67,32.73,4023900,PPL,PPL Corporation
2024-12-10,32.87,33.02,32.4,32.92,4541700,PPL,PPL Corporation
2024-12-09,33.53,33.6,33.13,33.15,3854200,PPL,PPL Corporation
2024-12-06,34.02,34.14,33.56,33.6,3815800,PPL,PPL Corporation
2024-12-05,34.0,34.35,33.91,34.09,2764100,PPL,PPL Corporation
2024-12-04,34.22,34.36,33.87,34.02,2995100,PPL,PPL Corporation
2024-12-03,34.62,34.68,34.25,34.25,3745400,PPL,PPL Corporation
2024-12-02,34.94,34.98,34.23,34.44,4248700,PPL,PPL Corporation
2024-11-29,34.95,35.15,34.79,34.93,2348400,PPL,PPL Corporation
2024-11-27,34.94,35.14,34.88,35.0,2929500,PPL,PPL Corporation
2024-11-26,34.45,34.85,34.37,34.84,6555800,PPL,PPL Corporation
2024-11-25,34.5,34.75,34.080002,34.4,5393700,PPL,PPL Corporation
2024-11-22,34.93,35.0,34.43,34.45,11916300,PPL,PPL Corporation
2024-11-21,34.35,34.89,34.19,34.85,4976200,PPL,PPL Corporation
2024-11-20,34.099998,34.32,33.78,34.27,4584500,PPL,PPL Corporation
2024-11-19,33.86,34.16,33.71,34.14,8460000,PPL,PPL Corporation
2024-11-18,33.7,34.049999,33.64,34.0,4192000,PPL,PPL Corporation
2024-11-15,33.29,33.75,33.18,33.7,4465800,PPL,PPL Corporation
2024-11-14,33.54,33.55,33.17,33.21,3693500,PPL,PPL Corporation
2024-11-13,33.37,33.6,33.2,33.49,3685400,PPL,PPL Corporation
2024-11-12,33.48,33.58,33.2,33.24,4069600,PPL,PPL Corporation
2024-11-11,33.0,33.58,33.0,33.46,4816600,PPL,PPL Corporation
2024-11-08,32.43,33.18,32.42,33.060001,6209900,PPL,PPL Corporation
2024-11-07,32.61,32.76,32.099998,32.34,6239900,PPL,PPL Corporation
2024-11-06,32.55,32.9,32.34,32.55,7087100,PPL,PPL Corporation
2024-11-05,31.96,32.61,31.89,32.59,4081100,PPL,PPL Corporation
2024-11-04,32.060001,32.48,31.85,32.060001,15464500,PPL,PPL Corporation
2024-11-01,31.76,33.080002,31.47,31.56,5959100,PPL,PPL Corporation
2024-10-31,32.42,32.9,32.35,32.56,7185600,PPL,PPL Corporation
2024-10-30,32.26,32.33,32.12,32.24,4346000,PPL,PPL Corporation
2024-10-29,32.38,32.49,32.11,32.12,3825300,PPL,PPL Corporation
2024-10-28,32.67,32.82,32.56,32.71,2711000,PPL,PPL Corporation
2024-10-25,33.13,33.2,32.42,32.43,3001000,PPL,PPL Corporation
2024-10-24,33.060001,33.15,32.74,32.87,2212600,PPL,PPL Corporation
2024-10-23,32.7,33.14,32.67,33.13,2474400,PPL,PPL Corporation
2024-10-22,32.63,32.73,32.35,32.68,2841100,PPL,PPL Corporation
2024-10-21,32.65,33.040001,32.63,32.73,4039400,PPL,PPL Corporation
2024-10-18,32.47,32.71,32.27,32.66,3130900,PPL,PPL Corporation
