datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,119.96,120.83,116.72,117.87,7253700,PSX,Phillips 66
2025-01-30,124.45,124.56,119.81,120.84,3878900,PSX,Phillips 66
2025-01-29,121.21,123.31,121.050003,122.16,1720100,PSX,Phillips 66
2025-01-28,123.12,124.07,120.2,121.18,3025400,PSX,Phillips 66
2025-01-27,122.91,124.6,121.89,123.080002,3029900,PSX,Phillips 66
2025-01-24,122.47,123.96,121.42,121.86,2196700,PSX,Phillips 66
2025-01-23,119.65,122.68,119.44,122.62,2233100,PSX,Phillips 66
2025-01-22,119.57,120.82,118.35,118.55,2166300,PSX,Phillips 66
2025-01-21,120.22,120.93,119.35,120.49,3605800,PSX,Phillips 66
2025-01-17,119.72,120.98,118.74,120.53,2722200,PSX,Phillips 66
2025-01-16,118.45,119.86,118.18,119.63,1985900,PSX,Phillips 66
2025-01-15,118.45,119.72,117.83,119.0,2643000,PSX,Phillips 66
2025-01-14,116.059998,117.3,114.52,117.27,3284000,PSX,Phillips 66
2025-01-13,114.0,117.3,113.72,115.98,4153700,PSX,Phillips 66
2025-01-10,115.14,115.86,112.48,113.93,4525800,PSX,Phillips 66
2025-01-08,114.050003,116.42,113.8,116.25,3037100,PSX,Phillips 66
2025-01-07,116.080002,117.28,114.67,115.19,2526300,PSX,Phillips 66
2025-01-06,115.74,117.63,114.79,115.17,2324800,PSX,Phillips 66
2025-01-03,115.44,116.45,114.37,116.089996,2046000,PSX,Phillips 66
2025-01-02,114.76,115.5,113.83,114.41,2538200,PSX,Phillips 66
2024-12-31,112.3,114.14,112.19,113.93,2989000,PSX,Phillips 66
2024-12-30,112.6,113.12,111.43,111.99,2567500,PSX,Phillips 66
2024-12-27,111.97,113.61,111.33,112.59,2615000,PSX,Phillips 66
2024-12-26,111.54,112.62,110.91,112.2,1794800,PSX,Phillips 66
2024-12-24,110.12,112.029999,109.38,111.58,1448600,PSX,Phillips 66
2024-12-23,110.099998,110.96,108.91,110.48,3365100,PSX,Phillips 66
2024-12-20,110.49,112.050003,109.96,110.37,8178700,PSX,Phillips 66
2024-12-19,112.3,112.59,109.39,110.35,4445000,PSX,Phillips 66
2024-12-18,115.48,116.29,111.71,111.86,4211600,PSX,Phillips 66
2024-12-17,115.65,116.37,114.41,115.83,3608800,PSX,Phillips 66
2024-12-16,121.089996,121.35,116.07,116.29,3653200,PSX,Phillips 66
2024-12-13,123.82,124.080002,122.29,122.72,1825800,PSX,Phillips 66
2024-12-12,124.92,125.21,123.24,123.99,2646000,PSX,Phillips 66
2024-12-11,125.72,126.69,124.019997,125.33,2596800,PSX,Phillips 66
2024-12-10,130.38,131.0099945,125.22,125.62,3124100,PSX,Phillips 66
2024-12-09,129.23,133.14999,128.71001,130.080002,3475700,PSX,Phillips 66
2024-12-06,130.63,130.87,128.17999,128.67999,1926100,PSX,Phillips 66
2024-12-05,130.92,131.14999,128.080002,129.83,2928300,PSX,Phillips 66
2024-12-04,133.98,133.99001,129.28999,130.60001,2594900,PSX,Phillips 66
2024-12-03,137.14,138.0,134.31,134.48,2313600,PSX,Phillips 66
2024-12-02,133.42,136.64999,131.96001,136.42999,3319700,PSX,Phillips 66
2024-11-29,133.42999,134.39999,131.86,133.98,1402400,PSX,Phillips 66
2024-11-27,133.99001,136.34,132.98,133.35001,2151900,PSX,Phillips 66
2024-11-26,133.28,134.39,132.52,134.25,2705500,PSX,Phillips 66
2024-11-25,133.94,135.25999,133.14,133.28,4455800,PSX,Phillips 66
2024-11-22,131.2,133.52,130.72,133.27,2480800,PSX,Phillips 66
2024-11-21,131.62,133.16,131.16,131.41,2218800,PSX,Phillips 66
2024-11-20,131.32001,131.86,130.39,131.45,2502600,PSX,Phillips 66
