datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,258.0,259.95001,235.0,236.17999,2599200,RMD,ResMed
2025-01-30,255.34,263.049988,254.10001,257.64999,1832900,RMD,ResMed
2025-01-29,249.67,253.5,248.22,252.86,931900,RMD,ResMed
2025-01-28,252.48,253.39999,249.63,249.94,921500,RMD,ResMed
2025-01-27,249.46001,258.70001,249.28999,254.7,1253800,RMD,ResMed
2025-01-24,248.19,250.75999,243.23,250.50999,778500,RMD,ResMed
2025-01-23,246.63,249.12,244.67,248.88,643800,RMD,ResMed
2025-01-22,246.070007,248.87,244.92,247.33,762900,RMD,ResMed
2025-01-21,244.53999,249.31,243.88,247.78999,1047900,RMD,ResMed
2025-01-17,237.99001,240.37,235.88,239.78,776900,RMD,ResMed
2025-01-16,235.0,240.60001,233.080002,237.13,797000,RMD,ResMed
2025-01-15,230.69,233.92999,229.089996,233.38,1147400,RMD,ResMed
2025-01-14,231.81,232.12,227.67999,228.83,692800,RMD,ResMed
2025-01-13,231.52,231.55,227.25999,230.25999,580200,RMD,ResMed
2025-01-10,232.27,235.45,229.86,233.82001,1043300,RMD,ResMed
2025-01-08,234.039993,237.2,232.50999,236.17,878700,RMD,ResMed
2025-01-07,236.0099945,239.74001,234.89999,236.39999,675200,RMD,ResMed
2025-01-06,231.84,237.25,231.0,235.089996,793800,RMD,ResMed
2025-01-03,228.56,231.86,226.95,231.67,639400,RMD,ResMed
2025-01-02,230.99001,230.99001,226.66,228.48,557900,RMD,ResMed
2025-01-01,230.99001,230.99001,226.6601,228.48,558305,RMD,ResMed
2024-12-31,230.69,232.10001,228.27,228.69,522800,RMD,ResMed
2024-12-30,232.17999,232.52,228.11,229.5,504400,RMD,ResMed
2024-12-29,232.17999,232.52,228.11,229.5,504397,RMD,ResMed
2024-12-27,233.74001,234.39,231.089996,233.17999,390900,RMD,ResMed
2024-12-26,233.74001,234.39,231.090103,233.17999,390886,RMD,ResMed
2024-12-24,231.81,232.58,229.58,232.58,227600,RMD,ResMed
2024-12-23,230.21001,232.0,224.50999,231.17,1151400,RMD,ResMed
2024-12-20,231.0,238.60001,231.0,237.27,3057200,RMD,ResMed
2024-12-19,231.67,235.5,230.0099945,231.58,596800,RMD,ResMed
