datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,49.49,49.79,49.2,49.5,1771700,ROL,"Rollins, Inc."
2025-01-30,49.080002,49.74,49.049999,49.72,1170600,ROL,"Rollins, Inc."
2025-01-29,49.19,49.94,48.7,48.75,1481000,ROL,"Rollins, Inc."
2025-01-28,49.28,50.15,49.25,49.32,2054600,ROL,"Rollins, Inc."
2025-01-27,48.38,49.72,48.38,49.5,1541100,ROL,"Rollins, Inc."
2025-01-24,48.61,48.75,48.17,48.37,1085900,ROL,"Rollins, Inc."
2025-01-23,48.52,48.64,48.22,48.62,1133200,ROL,"Rollins, Inc."
2025-01-22,48.6,48.79,48.3,48.46,1572100,ROL,"Rollins, Inc."
2025-01-21,48.56,49.07,48.48,48.64,1563800,ROL,"Rollins, Inc."
2025-01-17,48.69,48.97,48.2,48.43,1986900,ROL,"Rollins, Inc."
2025-01-16,47.0,48.34,46.96,48.3,2152400,ROL,"Rollins, Inc."
2025-01-15,47.31,47.42,46.67,47.0099983,1725200,ROL,"Rollins, Inc."
2025-01-14,46.37,46.98,46.24,46.85,1547500,ROL,"Rollins, Inc."
2025-01-13,46.0,46.62,45.77,46.48,1251900,ROL,"Rollins, Inc."
2025-01-10,46.0,46.51,46.0,46.09,1339400,ROL,"Rollins, Inc."
2025-01-08,45.9,46.45,45.55,46.35,2701400,ROL,"Rollins, Inc."
2025-01-07,45.77,46.13,45.34,45.75,2248700,ROL,"Rollins, Inc."
2025-01-06,45.99,46.16,45.52,45.65,1021500,ROL,"Rollins, Inc."
2025-01-03,46.0,46.35,45.95,46.17,1274000,ROL,"Rollins, Inc."
2025-01-02,46.58,46.66,45.88,46.040001,1053100,ROL,"Rollins, Inc."
2024-12-31,46.42,46.55,46.19,46.35,1264900,ROL,"Rollins, Inc."
2024-12-30,46.26,46.65,46.049999,46.41,1169300,ROL,"Rollins, Inc."
2024-12-27,46.57,46.91,46.37,46.68,1355600,ROL,"Rollins, Inc."
2024-12-26,46.24,46.9,46.14,46.85,981200,ROL,"Rollins, Inc."
2024-12-24,46.47,46.68,46.42,46.6,691200,ROL,"Rollins, Inc."
2024-12-23,46.59,46.65,46.18,46.54,1766100,ROL,"Rollins, Inc."
2024-12-22,46.59,46.65,46.18,46.54,1766079,ROL,"Rollins, Inc."
2024-12-20,46.74,47.38,46.73,46.92,4863300,ROL,"Rollins, Inc."
2024-12-19,47.029999,47.5,46.74,47.0099983,1757800,ROL,"Rollins, Inc."
2024-12-18,48.099998,48.46,47.15,47.18,1520200,ROL,"Rollins, Inc."
2024-12-17,48.47,48.89,48.21,48.22,1313800,ROL,"Rollins, Inc."
2024-12-16,48.47,48.89,48.21,48.22,1313808,ROL,"Rollins, Inc."
2024-12-13,48.85,49.0099983,48.48,48.77,1745000,ROL,"Rollins, Inc."
2024-12-12,49.35,49.46,48.61,48.77,1137500,ROL,"Rollins, Inc."
2024-12-11,49.23,49.56,48.83,49.0099983,1242600,ROL,"Rollins, Inc."
2024-12-10,48.69,49.4,48.38,49.13,1222400,ROL,"Rollins, Inc."
2024-12-09,49.32,49.5,48.48,48.68,1384100,ROL,"Rollins, Inc."
2024-12-06,49.22,49.77,49.15,49.42,1289500,ROL,"Rollins, Inc."
2024-12-05,49.4,49.45,48.82,48.85,1532300,ROL,"Rollins, Inc."
2024-12-04,49.46,49.85,49.31,49.66,1052600,ROL,"Rollins, Inc."
2024-12-03,49.81,50.02,49.19,49.66,1389800,ROL,"Rollins, Inc."
2024-12-02,50.27,50.33,49.42,49.86,2194900,ROL,"Rollins, Inc."
2024-11-29,51.040001,51.080002,50.049999,50.33,1521800,ROL,"Rollins, Inc."
2024-11-27,51.75,52.060001,51.14,51.16,2313300,ROL,"Rollins, Inc."
2024-11-26,51.51,51.73,51.099998,51.59,2523800,ROL,"Rollins, Inc."
2024-11-25,50.96,51.52,50.88,51.23,1929200,ROL,"Rollins, Inc."
2024-11-22,49.86,50.69,49.78,50.63,763300,ROL,"Rollins, Inc."
2024-11-21,49.28,49.66,48.68,49.63,1359000,ROL,"Rollins, Inc."
2024-11-20,49.55,49.61,48.87,49.44,1013800,ROL,"Rollins, Inc."
2024-11-19,49.82,49.92,49.46,49.51,1196000,ROL,"Rollins, Inc."
2024-11-18,49.99,50.54,49.89,50.049999,1186200,ROL,"Rollins, Inc."
2024-11-15,50.22,50.22,49.55,49.91,2461000,ROL,"Rollins, Inc."
2024-11-14,51.040001,51.29,49.93,50.11,1523400,ROL,"Rollins, Inc."
