datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,572.0,581.91998,570.070007,575.65002,1158100,ROP,Roper Technologies
2025-01-30,565.98999,584.31,561.59998,570.59998,1153800,ROP,Roper Technologies
2025-01-29,547.90002,549.90997,542.85999,543.02002,691300,ROP,Roper Technologies
2025-01-28,540.10999,553.25,535.69,549.62,686000,ROP,Roper Technologies
2025-01-27,527.90997,541.66998,527.20001,541.33002,748400,ROP,Roper Technologies
2025-01-24,532.46002,535.0,529.34003,531.37,385400,ROP,Roper Technologies
2025-01-23,531.099976,533.35999,528.039978,533.23999,387600,ROP,Roper Technologies
2025-01-22,530.88,535.92999,529.90997,534.45001,481100,ROP,Roper Technologies
2025-01-21,524.090027,531.41998,523.039978,530.78998,686400,ROP,Roper Technologies
2025-01-17,529.059998,529.059998,520.070007,522.32001,763800,ROP,Roper Technologies
2025-01-16,518.79999,520.20001,515.81,519.099976,619700,ROP,Roper Technologies
2025-01-15,517.97998,521.01001,513.77002,517.96002,1000800,ROP,Roper Technologies
2025-01-14,506.76001,511.87,505.60001,510.69,535800,ROP,Roper Technologies
2025-01-13,499.47,509.85999,499.47,508.0,572700,ROP,Roper Technologies
2025-01-10,507.47,510.76001,502.10001,502.70999,575600,ROP,Roper Technologies
2025-01-08,507.32001,511.87,504.31,510.29999,960700,ROP,Roper Technologies
2025-01-07,508.47,513.65997,504.53,507.10001,621700,ROP,Roper Technologies
2025-01-06,512.73999,513.45001,504.76001,507.10001,969000,ROP,Roper Technologies
2025-01-03,520.65997,520.65997,513.21002,514.64001,478700,ROP,Roper Technologies
2025-01-02,524.70001,524.70001,513.62,513.78998,653400,ROP,Roper Technologies
2024-12-31,521.059998,522.02002,516.90997,519.84998,451900,ROP,Roper Technologies
2024-12-30,519.51001,521.82001,513.90997,519.87,357200,ROP,Roper Technologies
2024-12-27,525.059998,527.59003,520.21002,523.90997,422400,ROP,Roper Technologies
2024-12-26,525.31,528.54999,525.22998,527.23999,312600,ROP,Roper Technologies
2024-12-24,522.83002,528.16998,521.64001,528.14001,228100,ROP,Roper Technologies
