datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,218.53999,219.56,216.7,216.87,943900,RSG,Republic Services
2025-01-30,214.080002,218.92,212.59,218.36,863200,RSG,Republic Services
2025-01-29,216.13,216.14999,212.14,212.31,1140500,RSG,Republic Services
2025-01-28,215.53,216.24001,214.020004,216.059998,1318100,RSG,Republic Services
2025-01-27,212.89,215.77,211.99001,215.57001,1057300,RSG,Republic Services
2025-01-24,212.71001,212.78999,211.66,211.83,736500,RSG,Republic Services
2025-01-23,212.83,213.029999,211.27,212.27,655600,RSG,Republic Services
2025-01-22,214.13,214.39999,211.8,212.48,981700,RSG,Republic Services
2025-01-21,214.98,217.16,214.42999,214.94,931200,RSG,Republic Services
2025-01-17,212.47,214.67999,212.21001,213.73,1252800,RSG,Republic Services
2025-01-16,209.75999,212.87,209.52,211.92,909300,RSG,Republic Services
2025-01-15,208.17,210.21001,207.66,209.75999,1207000,RSG,Republic Services
2025-01-14,207.0,207.080002,205.16,207.0,849200,RSG,Republic Services
2025-01-13,205.78,207.25,203.91,207.22,1350600,RSG,Republic Services
2025-01-10,207.14,208.71001,205.81,206.28999,1315600,RSG,Republic Services
2025-01-08,203.89,207.24001,203.62,206.96001,1114500,RSG,Republic Services
2025-01-07,201.89999,203.67,201.87,203.050003,1057300,RSG,Republic Services
2025-01-06,201.050003,202.49001,200.24001,200.95,864200,RSG,Republic Services
2025-01-03,200.32001,201.53999,199.42999,201.039993,779500,RSG,Republic Services
2025-01-02,201.21001,202.72,199.45,200.089996,877500,RSG,Republic Services
2024-12-31,201.47,201.64999,199.73,201.17999,832200,RSG,Republic Services
2024-12-30,201.66,202.10001,200.53,201.19,880800,RSG,Republic Services
2024-12-27,203.2,204.77,202.24001,202.88,559600,RSG,Republic Services
2024-12-26,203.5,206.39,202.5,204.10001,394100,RSG,Republic Services
2024-12-24,201.85001,204.14,201.77,204.14,326800,RSG,Republic Services
2024-12-23,203.91,203.96001,200.67,202.25999,1027600,RSG,Republic Services
2024-12-20,204.44,205.60001,202.82001,203.73,2366700,RSG,Republic Services
2024-12-19,203.17,205.34,202.47,203.95,1603000,RSG,Republic Services
2024-12-18,205.94,206.81,203.37,203.46001,2226300,RSG,Republic Services
2024-12-17,207.49001,208.32001,205.14999,205.62,1077900,RSG,Republic Services
