datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,125.47,128.039993,121.56,126.13,1210200,RVTY,Revvity
2025-01-30,124.97,128.28999,124.17,126.84,1528900,RVTY,Revvity
2025-01-29,124.3,124.63,122.31,123.52,934200,RVTY,Revvity
2025-01-28,125.62,126.72,124.61,125.59,1201400,RVTY,Revvity
2025-01-27,123.76,125.0,122.82,124.059998,1174000,RVTY,Revvity
2025-01-24,122.98,124.59,122.099998,123.15,729300,RVTY,Revvity
2025-01-23,122.62,123.18,119.059998,123.029999,995500,RVTY,Revvity
2025-01-22,123.24,124.17,122.46,122.78,936400,RVTY,Revvity
2025-01-21,119.019997,124.040001,118.83,123.95,1231300,RVTY,Revvity
2025-01-17,119.32,120.36,118.23,118.39,659400,RVTY,Revvity
2025-01-16,118.52,119.88,116.6,119.53,667200,RVTY,Revvity
2025-01-15,122.059998,123.0,117.49,118.95,936200,RVTY,Revvity
2025-01-14,122.63,122.97,119.25,120.73,723600,RVTY,Revvity
2025-01-13,118.34,122.88,117.25,122.7,1175900,RVTY,Revvity
2025-01-10,114.0,115.89,113.58,113.88,641200,RVTY,Revvity
2025-01-08,116.089996,116.97,113.57,116.42,770400,RVTY,Revvity
2025-01-07,116.040001,119.41,115.56,116.6,690000,RVTY,Revvity
2025-01-06,113.5,117.38,113.46,115.59,766100,RVTY,Revvity
2025-01-03,112.029999,113.85,110.73,113.6,482700,RVTY,Revvity
2025-01-02,112.43,113.62,111.36,112.0,715300,RVTY,Revvity
2024-12-31,112.019997,112.98,111.23,111.61,337900,RVTY,Revvity
2024-12-30,110.9,112.080002,109.39,111.31,400000,RVTY,Revvity
2024-12-27,111.31,112.69,110.98,111.99,345800,RVTY,Revvity
2024-12-26,111.45,112.72,110.94,112.5,266200,RVTY,Revvity
2024-12-24,112.24,113.11,111.28,112.34,214100,RVTY,Revvity
2024-12-23,111.32,112.44,110.35,112.27,659700,RVTY,Revvity
2024-12-20,110.15,113.66,110.15,112.56,2049600,RVTY,Revvity
2024-12-19,109.0,111.040001,107.64,110.54,739000,RVTY,Revvity
2024-12-18,114.080002,115.2,109.099998,109.14,1006600,RVTY,Revvity
2024-12-17,115.099998,117.41,114.33,114.75,743700,RVTY,Revvity
2024-12-16,115.29,116.25,114.5,115.17,698100,RVTY,Revvity
2024-12-13,116.71,116.71,113.07,115.94,1275000,RVTY,Revvity
2024-12-12,115.99,116.82,115.59,116.010002,1456000,RVTY,Revvity
2024-12-11,118.5,119.48,116.33,116.64,973300,RVTY,Revvity
2024-12-10,120.79,120.81,117.57,117.84,743100,RVTY,Revvity
2024-12-09,116.51,120.61,116.51,120.29,709500,RVTY,Revvity
2024-12-06,115.81,117.54,115.65,116.46,709500,RVTY,Revvity
2024-12-05,115.53,116.19,114.34,115.089996,1216100,RVTY,Revvity
2024-12-04,114.47,117.23,114.059998,116.13,742900,RVTY,Revvity
2024-12-03,116.58,117.050003,114.56,115.019997,699500,RVTY,Revvity
2024-12-02,115.79,116.84,115.16,116.7,775200,RVTY,Revvity
