datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,83.23,83.73,82.28,82.72,7663700,SCHW,Charles Schwab Corporation
2025-01-30,82.5,83.84,82.07,83.6,7192600,SCHW,Charles Schwab Corporation
2025-01-29,82.3,82.65,81.4,82.059998,8717900,SCHW,Charles Schwab Corporation
2025-01-28,82.28,83.0,81.59,81.7,9057200,SCHW,Charles Schwab Corporation
2025-01-27,81.39,82.56,80.73,82.53,6983900,SCHW,Charles Schwab Corporation
2025-01-24,81.33,82.47,81.18,81.83,6665500,SCHW,Charles Schwab Corporation
2025-01-23,80.47,82.13,79.85,82.080002,8861400,SCHW,Charles Schwab Corporation
2025-01-22,81.080002,81.73,79.99,80.6,9767300,SCHW,Charles Schwab Corporation
2025-01-21,78.83,82.6,78.18,80.93,22648600,SCHW,Charles Schwab Corporation
2025-01-17,75.77,76.56,75.11,76.41,12288300,SCHW,Charles Schwab Corporation
2025-01-16,73.61,75.52,73.51,75.51,8044900,SCHW,Charles Schwab Corporation
2025-01-15,73.94,74.099998,72.58,73.66,8474900,SCHW,Charles Schwab Corporation
2025-01-14,72.76,72.97,71.31,72.34,6609900,SCHW,Charles Schwab Corporation
2025-01-13,72.2,72.75,71.85,72.66,6701500,SCHW,Charles Schwab Corporation
2025-01-10,71.92,73.46,71.48,72.77,10866900,SCHW,Charles Schwab Corporation
2025-01-08,72.71,73.029999,71.79,73.0,9576700,SCHW,Charles Schwab Corporation
2025-01-07,74.98,75.029999,71.45,72.26,12617600,SCHW,Charles Schwab Corporation
2025-01-06,74.56,75.86,74.29,74.48,7435000,SCHW,Charles Schwab Corporation
2025-01-03,74.23,74.51,73.32,74.45,4541400,SCHW,Charles Schwab Corporation
2025-01-02,74.38,74.6,73.28,73.84,5870000,SCHW,Charles Schwab Corporation
2024-12-31,74.2,74.35,73.68,74.010002,4082400,SCHW,Charles Schwab Corporation
2024-12-30,74.099998,74.32,73.32,73.93,5321700,SCHW,Charles Schwab Corporation
2024-12-27,74.84,75.15,74.17,74.74,3967500,SCHW,Charles Schwab Corporation
2024-12-26,74.7,75.11,74.44,75.050003,2926900,SCHW,Charles Schwab Corporation
2024-12-24,74.74,74.86,74.12,74.84,2150300,SCHW,Charles Schwab Corporation
2024-12-23,73.97,74.74,73.74,74.71,6863600,SCHW,Charles Schwab Corporation
2024-12-20,73.52,75.0,73.32,74.31,12322400,SCHW,Charles Schwab Corporation
2024-12-19,74.52,75.16,73.4,73.62,9749000,SCHW,Charles Schwab Corporation
2024-12-18,76.76,77.17,73.51,73.97,14116700,SCHW,Charles Schwab Corporation
2024-12-17,77.5,77.82,76.58,76.76,8409200,SCHW,Charles Schwab Corporation
2024-12-16,79.99,79.99,77.67,77.94,12313800,SCHW,Charles Schwab Corporation
2024-12-13,83.040001,83.080002,78.71,79.54,14089400,SCHW,Charles Schwab Corporation
2024-12-12,82.76,83.3,82.4,82.85,7469400,SCHW,Charles Schwab Corporation
2024-12-11,82.5,82.72,81.92,82.41,6323800,SCHW,Charles Schwab Corporation
2024-12-10,81.6,83.13,81.23,82.32,5923400,SCHW,Charles Schwab Corporation
2024-12-09,82.47,82.82,80.95,81.51,9564300,SCHW,Charles Schwab Corporation
2024-12-06,81.69,82.17,81.41,81.47,5071300,SCHW,Charles Schwab Corporation
2024-12-05,80.010002,82.23,80.0,81.81,6796600,SCHW,Charles Schwab Corporation
2024-12-04,80.68,81.69,80.19,81.51,6035200,SCHW,Charles Schwab Corporation
2024-12-03,81.78,81.97,80.88,81.12,4840200,SCHW,Charles Schwab Corporation
2024-12-02,82.75,83.050003,81.34,81.39,5658500,SCHW,Charles Schwab Corporation
2024-11-29,82.86,83.35,82.64,82.76,3201600,SCHW,Charles Schwab Corporation
2024-11-27,82.0,82.66,81.79,82.6,3977400,SCHW,Charles Schwab Corporation
2024-11-26,81.77,82.33,81.23,82.25,5120900,SCHW,Charles Schwab Corporation
2024-11-25,81.93,82.4,81.11,81.77,13029300,SCHW,Charles Schwab Corporation
2024-11-22,80.81,81.77,80.81,81.26,7738000,SCHW,Charles Schwab Corporation
2024-11-21,80.59,81.69,80.22,80.8,5081800,SCHW,Charles Schwab Corporation
2024-11-20,79.69,80.52,79.42,80.46,6613500,SCHW,Charles Schwab Corporation
2024-11-19,80.39,80.73,79.9,80.19,6549300,SCHW,Charles Schwab Corporation
2024-11-18,81.0,81.88,80.39,81.39,9448600,SCHW,Charles Schwab Corporation
2024-11-15,80.15,81.0,79.89,80.64,9372300,SCHW,Charles Schwab Corporation
2024-11-14,82.089996,82.5,79.81,80.19,14717700,SCHW,Charles Schwab Corporation
2024-11-13,77.75,79.050003,77.75,78.25,8731500,SCHW,Charles Schwab Corporation
2024-11-12,77.94,78.54,77.41,78.19,10244800,SCHW,Charles Schwab Corporation
2024-11-11,75.040001,77.96,75.010002,77.85,13162800,SCHW,Charles Schwab Corporation
2024-11-08,73.46,74.99,73.13,73.9,8728200,SCHW,Charles Schwab Corporation
2024-11-07,75.64,75.64,72.9,73.17,10380200,SCHW,Charles Schwab Corporation
2024-11-06,74.57,76.23,73.41,75.75,16218400,SCHW,Charles Schwab Corporation
2024-11-05,70.43,71.4,70.38,71.31,4232100,SCHW,Charles Schwab Corporation
2024-11-04,70.94,71.15,70.29,70.96,3924600,SCHW,Charles Schwab Corporation
2024-11-01,70.95,71.36,70.42,70.94,6266000,SCHW,Charles Schwab Corporation
2024-10-31,70.72,71.55,70.48,70.83,6997100,SCHW,Charles Schwab Corporation
2024-10-30,71.75,72.25,70.96,71.099998,6426100,SCHW,Charles Schwab Corporation
2024-10-29,72.16,72.46,71.87,71.89,6006000,SCHW,Charles Schwab Corporation
2024-10-28,72.27,72.58,71.65,72.040001,5758700,SCHW,Charles Schwab Corporation
2024-10-25,72.76,72.91,71.52,71.82,4503900,SCHW,Charles Schwab Corporation
2024-10-24,71.9,72.65,71.32,72.59,6727500,SCHW,Charles Schwab Corporation
2024-10-23,70.83,71.99,70.74,71.71,6593700,SCHW,Charles Schwab Corporation
2024-10-22,70.82,71.050003,69.93,70.91,5559600,SCHW,Charles Schwab Corporation
2024-10-21,71.2,71.25,70.48,70.87,5438500,SCHW,Charles Schwab Corporation
2024-10-18,72.58,72.61,71.19,71.36,8948400,SCHW,Charles Schwab Corporation
2024-10-17,72.52,72.71,71.76,71.91,8717600,SCHW,Charles Schwab Corporation
2024-10-16,72.68,74.18,71.71,72.080002,13643700,SCHW,Charles Schwab Corporation
2024-10-15,72.6,73.92,71.42,71.96,21705700,SCHW,Charles Schwab Corporation
2024-10-14,67.86,68.35,67.54,67.82,7672200,SCHW,Charles Schwab Corporation
2024-10-11,66.96,68.089996,66.81,67.68,7369900,SCHW,Charles Schwab Corporation
2024-10-10,66.4,67.16,66.25,66.65,6463300,SCHW,Charles Schwab Corporation
2024-10-09,65.25,66.73,64.97,66.7,11115600,SCHW,Charles Schwab Corporation
2024-10-08,64.53,65.080002,64.26,64.9,7510100,SCHW,Charles Schwab Corporation
2024-10-07,64.48,65.4,64.16,64.29,7060200,SCHW,Charles Schwab Corporation
2024-10-04,64.17,64.99,64.07,64.75,7141400,SCHW,Charles Schwab Corporation
2024-10-03,63.0,63.68,62.41,63.4,8144400,SCHW,Charles Schwab Corporation
2024-10-02,63.83,64.17,63.21,63.35,4817400,SCHW,Charles Schwab Corporation
2024-10-01,64.62,64.68,63.45,63.91,6331500,SCHW,Charles Schwab Corporation
