datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,83.3,83.93,82.61,82.93,2678900,SRE,Sempra
2025-01-30,82.79,83.47,82.42,83.29,2192000,SRE,Sempra
2025-01-29,81.83,83.0,81.83,81.98,2700000,SRE,Sempra
2025-01-28,82.24,82.31,81.0,81.75,4461800,SRE,Sempra
2025-01-27,82.56,83.019997,80.23,82.15,6813200,SRE,Sempra
2025-01-24,82.26,83.31,82.26,82.71,3683600,SRE,Sempra
2025-01-23,82.95,83.53,82.52,82.81,4586000,SRE,Sempra
2025-01-22,86.019997,86.25,82.65,82.8,4423300,SRE,Sempra
2025-01-21,85.85,87.12,85.44,86.51,5333400,SRE,Sempra
2025-01-17,84.19,85.33,83.72,85.18,3628900,SRE,Sempra
2025-01-16,82.29,84.13,82.019997,83.99,7815600,SRE,Sempra
2025-01-15,79.42,83.19,79.32,82.42,10263100,SRE,Sempra
2025-01-14,77.7,79.22,77.19,78.11,6083700,SRE,Sempra
2025-01-13,78.93,79.099998,76.72,76.94,9327700,SRE,Sempra
2025-01-10,81.86,82.46,78.6,78.73,8190700,SRE,Sempra
2025-01-08,84.19,84.41,81.29,82.82,6214400,SRE,Sempra
2025-01-07,84.79,85.2,84.059998,84.23,4262200,SRE,Sempra
2025-01-06,87.32,87.38,84.2,84.51,3075100,SRE,Sempra
2025-01-03,87.42,87.95,86.85,87.67,2838100,SRE,Sempra
2025-01-02,88.31,88.65,86.8,87.13,2330600,SRE,Sempra
2024-12-31,87.28,88.019997,87.25,87.72,1827300,SRE,Sempra
2024-12-30,87.2,87.64,86.32,87.35,4381300,SRE,Sempra
2024-12-27,87.0,88.16,87.0,87.77,1791200,SRE,Sempra
2024-12-26,87.51,87.74,87.0,87.61,7243800,SRE,Sempra
2024-12-24,86.96,87.97,86.67,87.96,795600,SRE,Sempra
2024-12-23,86.65,87.07,85.81,87.040001,2789500,SRE,Sempra
2024-12-20,85.34,87.23,85.34,86.81,4747300,SRE,Sempra
2024-12-19,85.33,86.68,85.099998,85.9,3532800,SRE,Sempra
2024-12-18,87.010002,87.94,85.059998,85.089996,3344600,SRE,Sempra
2024-12-17,87.58,88.58,86.36,86.96,4188800,SRE,Sempra
2024-12-16,89.11,89.77,88.62,88.63,2881300,SRE,Sempra
2024-12-13,89.010002,89.79,88.81,89.16,2766700,SRE,Sempra
2024-12-12,87.97,88.5,87.4,87.93,4254500,SRE,Sempra
2024-12-11,88.63,88.81,87.099998,87.41,3996900,SRE,Sempra
2024-12-10,88.89,89.43,87.78,88.55,2415500,SRE,Sempra
2024-12-09,89.42,89.68,88.69,88.78,3015600,SRE,Sempra
2024-12-06,91.11,91.25,89.29,89.6,3265200,SRE,Sempra
2024-12-05,91.24,91.8,90.83,90.94,3910500,SRE,Sempra
2024-12-04,91.86,92.050003,91.089996,91.5,3415500,SRE,Sempra
2024-12-03,92.9,93.58,91.99,92.010002,4018300,SRE,Sempra
2024-12-02,94.15,94.15,91.68,92.099998,3199500,SRE,Sempra
2024-11-29,94.52,94.92,93.67,93.67,1762800,SRE,Sempra
2024-11-27,93.78,94.83,93.35,94.28,2871800,SRE,Sempra
2024-11-26,94.69,94.69,92.88,93.29,5601900,SRE,Sempra
2024-11-25,95.56,95.77,94.34,94.77,4978000,SRE,Sempra
2024-11-22,94.99,95.29,94.15,94.27,2554400,SRE,Sempra
2024-11-21,92.91,94.86,92.46,94.69,2541400,SRE,Sempra
2024-11-20,93.73,93.9,92.49,93.12,2311700,SRE,Sempra
2024-11-19,92.16,93.44,91.72,93.38,2901800,SRE,Sempra
2024-11-18,91.85,93.21,91.72,92.92,2466800,SRE,Sempra
2024-11-15,90.44,92.28,90.25,92.19,3050100,SRE,Sempra
2024-11-14,92.0,92.12,90.43,90.44,3247500,SRE,Sempra
2024-11-13,92.44,93.12,91.26,92.19,3745200,SRE,Sempra
2024-11-12,92.27,92.49,91.48,92.2,3403000,SRE,Sempra
2024-11-11,90.52,92.66,90.52,92.12,2690300,SRE,Sempra
2024-11-08,89.68,91.88,89.48,91.25,3733600,SRE,Sempra
2024-11-07,88.25,90.16,88.050003,89.76,5243500,SRE,Sempra
2024-11-06,81.5,88.59,80.87,88.26,7768800,SRE,Sempra
2024-11-05,80.8,82.27,80.22,82.25,4274200,SRE,Sempra
2024-11-04,81.55,81.94,80.11,80.81,3379900,SRE,Sempra
2024-11-01,83.74,83.93,81.54,81.65,2789600,SRE,Sempra
2024-10-31,83.37,84.39,83.2,83.37,2236400,SRE,Sempra
2024-10-30,83.86,84.080002,82.65,83.55,2196500,SRE,Sempra
2024-10-29,84.54,84.54,83.45,83.55,2459700,SRE,Sempra
2024-10-28,84.9,85.6,84.73,85.17,1924400,SRE,Sempra
2024-10-25,86.24,86.36,84.33,84.38,2308500,SRE,Sempra
