datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,130.089996,131.45,127.099998,128.2,2064600,STLD,Steel Dynamics
2025-01-30,129.84,130.8,128.23,130.71001,1842900,STLD,Steel Dynamics
2025-01-29,127.24,129.42,126.7,129.17,1455200,STLD,Steel Dynamics
2025-01-28,122.75,127.26,120.66,127.050003,2133900,STLD,Steel Dynamics
2025-01-27,121.91,123.0,121.17,122.010002,1443200,STLD,Steel Dynamics
2025-01-24,126.7,126.7,122.16,122.35,1632800,STLD,Steel Dynamics
2025-01-23,121.0,125.07,117.68,122.37,2357900,STLD,Steel Dynamics
2025-01-22,125.36,125.9,122.59,122.89,1874600,STLD,Steel Dynamics
2025-01-21,127.88,128.5,124.35,124.69,1925900,STLD,Steel Dynamics
2025-01-17,125.97,127.71,125.56,125.83,1359800,STLD,Steel Dynamics
2025-01-16,124.51,125.69,124.32,125.0,875200,STLD,Steel Dynamics
2025-01-15,126.0,126.96,123.96,125.14,1361100,STLD,Steel Dynamics
2025-01-14,123.36,124.25,121.71,123.52,1382300,STLD,Steel Dynamics
2025-01-13,116.23,123.81,115.37,123.27,2704200,STLD,Steel Dynamics
2025-01-10,115.07,117.33,114.81,116.33,1744300,STLD,Steel Dynamics
2025-01-08,119.25,119.99,115.43,116.48,1528600,STLD,Steel Dynamics
2025-01-07,119.099998,121.34,118.73,119.81,1961300,STLD,Steel Dynamics
2025-01-06,114.54,119.95,114.54,118.64,2176700,STLD,Steel Dynamics
2025-01-03,113.31,113.82,110.91,113.15,2229400,STLD,Steel Dynamics
2025-01-02,114.97,115.86,111.74,111.93,1193700,STLD,Steel Dynamics
2024-12-31,113.62,115.07,113.4,114.07,860500,STLD,Steel Dynamics
2024-12-30,115.0,115.0,113.73,113.8,893700,STLD,Steel Dynamics
2024-12-27,116.34,118.3,115.28,115.77,782500,STLD,Steel Dynamics
2024-12-26,116.040001,117.48,115.5,117.089996,756900,STLD,Steel Dynamics
2024-12-24,115.12,117.48,115.080002,117.059998,512700,STLD,Steel Dynamics
2024-12-23,115.5,116.38,114.38,115.75,1278200,STLD,Steel Dynamics
2024-12-20,114.46,116.85,114.029999,115.69,4410500,STLD,Steel Dynamics
2024-12-19,117.21,119.14,114.79,115.29,1847700,STLD,Steel Dynamics
2024-12-18,118.58,120.81,116.66,116.76,1944800,STLD,Steel Dynamics
2024-12-17,121.29,121.59,118.019997,118.58,1562500,STLD,Steel Dynamics
2024-12-16,120.76,123.9,120.25,121.71,2320200,STLD,Steel Dynamics
2024-12-13,126.38,126.43,121.93,122.37,1651100,STLD,Steel Dynamics
2024-12-12,130.86,131.8,126.63,126.91,1776000,STLD,Steel Dynamics
2024-12-11,135.7,135.7,133.45,133.55,1488900,STLD,Steel Dynamics
2024-12-10,137.77,137.77,134.39999,135.28999,1547400,STLD,Steel Dynamics
2024-12-09,137.8,139.45,137.23,138.25,1300800,STLD,Steel Dynamics
2024-12-06,139.0,139.070007,136.72,136.89999,1273900,STLD,Steel Dynamics
2024-12-05,141.17999,141.17999,137.75,138.7,1445200,STLD,Steel Dynamics
2024-12-04,143.37,143.67999,140.69,141.38,1099800,STLD,Steel Dynamics
2024-12-03,145.75999,145.85001,142.47,143.2,1632900,STLD,Steel Dynamics
2024-12-02,145.24001,146.050003,144.48,144.81,1040300,STLD,Steel Dynamics
2024-12-01,145.24001,146.050003,144.48,144.81,1040577,STLD,Steel Dynamics
2024-11-29,144.36,146.080002,144.13,145.27,552200,STLD,Steel Dynamics
2024-11-28,144.36,146.080002,144.13,145.27,552239,STLD,Steel Dynamics
2024-11-27,144.5,145.42999,142.50999,143.83,1054200,STLD,Steel Dynamics
2024-11-26,146.0,148.81,143.21001,143.63,969000,STLD,Steel Dynamics
2024-11-25,144.23,146.63,143.63,144.98,1928300,STLD,Steel Dynamics
2024-11-22,144.080002,146.34,142.52,143.57001,1714000,STLD,Steel Dynamics
2024-11-21,143.72,147.17999,143.17999,144.96001,1672600,STLD,Steel Dynamics
2024-11-20,141.64,144.95,141.25999,144.039993,2190300,STLD,Steel Dynamics
2024-11-19,139.22,140.5,138.77,140.24001,1574200,STLD,Steel Dynamics
2024-11-18,138.39,141.48,138.070007,140.69,1104800,STLD,Steel Dynamics
2024-11-15,139.070007,140.47,138.2,139.41,1297800,STLD,Steel Dynamics
2024-11-14,141.070007,142.42999,136.72,137.81,1634300,STLD,Steel Dynamics
2024-11-13,143.86,144.87,141.67,141.89999,1159400,STLD,Steel Dynamics
2024-11-12,146.0,146.69,143.14,144.35001,863300,STLD,Steel Dynamics
2024-11-11,150.050003,151.0,147.55,147.8,772800,STLD,Steel Dynamics
2024-11-08,147.50999,149.67999,146.13,148.55,1073800,STLD,Steel Dynamics
2024-11-07,154.87,155.11,147.41,147.95,1779000,STLD,Steel Dynamics
2024-11-06,148.5,155.56,146.98,154.32001,4338000,STLD,Steel Dynamics
2024-11-05,133.080002,135.75,131.81,135.64999,926500,STLD,Steel Dynamics
2024-11-04,133.5,135.050003,132.64999,133.58,1071100,STLD,Steel Dynamics
2024-11-01,130.67999,133.99001,130.36,133.64999,1033300,STLD,Steel Dynamics
2024-10-31,132.53,133.78999,130.42,130.5,1007000,STLD,Steel Dynamics
2024-10-30,134.27,135.81,132.38,132.77,1135700,STLD,Steel Dynamics
2024-10-29,135.7,136.029999,133.78,135.16,873000,STLD,Steel Dynamics
2024-10-28,131.50999,135.99001,130.59,135.72,1132500,STLD,Steel Dynamics
2024-10-25,130.92,131.64,128.82001,129.58,916200,STLD,Steel Dynamics
2024-10-24,128.72,130.77,127.4,130.34,1148800,STLD,Steel Dynamics
2024-10-23,131.96001,133.24001,128.47,128.64,1049900,STLD,Steel Dynamics
2024-10-22,132.74001,132.74001,128.13,131.8,1316500,STLD,Steel Dynamics
2024-10-21,136.99001,137.0099945,132.63,133.45,1241800,STLD,Steel Dynamics
2024-10-18,136.77,137.86,135.46001,136.57001,1521200,STLD,Steel Dynamics
2024-10-17,135.99001,138.72,133.84,135.050003,2783900,STLD,Steel Dynamics
2024-10-16,128.63,130.020004,128.029999,129.86,1090100,STLD,Steel Dynamics
2024-10-15,128.85001,131.42,128.33,128.46001,1294400,STLD,Steel Dynamics
2024-10-14,128.33,130.27,127.69,130.17999,644900,STLD,Steel Dynamics
2024-10-11,128.44,130.69,128.44,129.86,720900,STLD,Steel Dynamics
2024-10-10,128.64999,129.75,128.039993,128.46001,949800,STLD,Steel Dynamics
2024-10-09,126.24,130.46001,126.24,130.17999,1345300,STLD,Steel Dynamics
2024-10-08,127.17,127.78,125.36,127.029999,1053100,STLD,Steel Dynamics
2024-10-07,127.4,130.19,127.31,130.070007,906600,STLD,Steel Dynamics
2024-10-04,130.17,130.78,127.66,128.22,800400,STLD,Steel Dynamics
2024-10-03,126.53,127.94,125.3,127.54,897800,STLD,Steel Dynamics
2024-10-02,129.57001,130.67,127.22,127.6,1160000,STLD,Steel Dynamics
2024-10-01,126.040001,129.5,126.040001,129.23,1120400,STLD,Steel Dynamics
