datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,102.0,102.74,101.2,101.62,1664600,STT,State Street Corporation
2025-01-30,101.89,103.0,101.27,102.23,1472000,STT,State Street Corporation
2025-01-29,100.47,102.63,99.96,100.85,1599000,STT,State Street Corporation
2025-01-28,99.45,100.78,99.28,100.4,2012100,STT,State Street Corporation
2025-01-27,99.74,100.29,98.87,100.24,1581800,STT,State Street Corporation
2025-01-24,97.21,100.0,97.019997,99.059998,1670400,STT,State Street Corporation
2025-01-23,97.22,98.58,96.77,97.54,2825000,STT,State Street Corporation
2025-01-22,98.61,99.040001,96.95,97.17,2509900,STT,State Street Corporation
2025-01-21,97.65,99.84,97.040001,99.0,2665000,STT,State Street Corporation
2025-01-17,95.66,98.13,94.49,97.63,4205000,STT,State Street Corporation
2025-01-16,99.27,100.49,99.14,100.49,2609500,STT,State Street Corporation
2025-01-15,97.95,99.79,97.65,99.77,3917300,STT,State Street Corporation
2025-01-14,94.72,95.88,94.63,95.44,1618500,STT,State Street Corporation
2025-01-13,93.29,94.5,92.87,94.45,2051800,STT,State Street Corporation
2025-01-10,96.65,96.65,93.7,93.91,2530800,STT,State Street Corporation
2025-01-08,97.35,97.86,96.81,97.73,1575700,STT,State Street Corporation
2025-01-07,99.13,99.14,97.23,97.72,1245000,STT,State Street Corporation
2025-01-06,98.92,99.97,98.07,98.43,1683700,STT,State Street Corporation
2025-01-03,98.080002,98.080002,96.72,97.67,1508200,STT,State Street Corporation
2025-01-02,98.13,99.12,97.32,97.95,1509600,STT,State Street Corporation
2024-12-31,98.63,98.94,97.74,98.15,1210700,STT,State Street Corporation
2024-12-30,97.4,98.61,96.88,98.28,1278100,STT,State Street Corporation
2024-12-27,98.92,99.84,98.22,98.58,1127200,STT,State Street Corporation
2024-12-26,98.96,99.75,98.41,99.56,1015800,STT,State Street Corporation
2024-12-24,98.58,99.35,98.15,99.27,658800,STT,State Street Corporation
2024-12-23,97.52,98.29,96.9,98.17,1400500,STT,State Street Corporation
2024-12-22,97.52,98.29,96.9,98.17,1400491,STT,State Street Corporation
2024-12-20,95.45,98.63,94.83,98.2,6637100,STT,State Street Corporation
2024-12-19,95.7,96.76,95.21,95.42,2130500,STT,State Street Corporation
2024-12-18,98.66,99.27,94.69,94.74,3705500,STT,State Street Corporation
2024-12-17,100.23,100.84,98.44,98.7,2200600,STT,State Street Corporation
2024-12-16,100.23,100.84,98.44,98.7,2200599,STT,State Street Corporation
2024-12-13,100.92,100.98,99.52,100.46,1922600,STT,State Street Corporation
2024-12-12,99.54,100.99,99.31,100.61,2250700,STT,State Street Corporation
2024-12-11,100.5,101.91,98.53,99.27,4546200,STT,State Street Corporation
