datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,98.099998,99.99,96.27,96.36,2799400,STX,Seagate Technology
2025-01-30,101.15,101.42,97.95,98.28,4212800,STX,Seagate Technology
2025-01-29,101.48,102.029999,99.089996,99.38,2548200,STX,Seagate Technology
2025-01-28,104.019997,104.029999,98.82,100.27,3460800,STX,Seagate Technology
2025-01-27,105.099998,107.0,102.32,103.48,4188600,STX,Seagate Technology
2025-01-24,108.74,110.24,107.6,108.19,3320400,STX,Seagate Technology
2025-01-23,107.41,108.53,105.92,108.42,3602100,STX,Seagate Technology
2025-01-22,108.63,111.91,105.86,108.18,9814200,STX,Seagate Technology
2025-01-21,99.85,102.54,99.22,101.25,6545200,STX,Seagate Technology
2025-01-17,96.6,97.93,95.6,97.67,5656300,STX,Seagate Technology
2025-01-16,94.38,95.82,93.7,95.07,3820500,STX,Seagate Technology
2025-01-15,92.13,94.98,92.13,94.34,3853600,STX,Seagate Technology
2025-01-14,89.36,91.75,89.099998,91.23,3252100,STX,Seagate Technology
2025-01-13,87.55,89.7,86.97,88.93,2715800,STX,Seagate Technology
2025-01-10,87.44,88.99,86.64,88.87,2201900,STX,Seagate Technology
2025-01-08,89.27,89.43,87.89,88.69,3189100,STX,Seagate Technology
2025-01-07,89.83,90.89,89.27,89.6,2379100,STX,Seagate Technology
2025-01-06,90.32,91.59,88.75,89.11,2499300,STX,Seagate Technology
2025-01-03,86.92,89.18,86.79,89.15,2351500,STX,Seagate Technology
2025-01-02,87.21,87.54,85.79,86.39,2046500,STX,Seagate Technology
2024-12-31,86.59,87.22,85.73,86.31,1458400,STX,Seagate Technology
2024-12-30,86.68,86.86,85.25,86.53,1731200,STX,Seagate Technology
2024-12-27,87.94,88.83,87.0,87.39,1611400,STX,Seagate Technology
2024-12-26,88.73,89.17,88.15,88.4,1382800,STX,Seagate Technology
2024-12-24,88.32,89.13,88.029999,88.49,1142200,STX,Seagate Technology
2024-12-23,87.46,88.62,87.3,88.53,2106800,STX,Seagate Technology
2024-12-20,88.089996,89.010002,86.87,87.31,6072500,STX,Seagate Technology
2024-12-19,91.6,92.11,87.41,87.54,4522300,STX,Seagate Technology
2024-12-18,94.6,95.31,91.52,91.6,3132100,STX,Seagate Technology
2024-12-17,94.8,96.46,94.089996,94.49,2406200,STX,Seagate Technology
2024-12-16,95.32,97.15,95.040001,95.58,3552500,STX,Seagate Technology
2024-12-13,97.58,98.31,95.52,95.75,4938000,STX,Seagate Technology
2024-12-12,98.46,100.18,97.12,97.64,2834700,STX,Seagate Technology
2024-12-11,97.95,99.13,96.57,98.39,2555600,STX,Seagate Technology
2024-12-10,98.85,98.94,96.77,97.59,2812400,STX,Seagate Technology
2024-12-09,98.43,99.9,98.099998,98.97,2437000,STX,Seagate Technology
2024-12-06,98.18,99.089996,97.61,98.51,2720200,STX,Seagate Technology
2024-12-05,98.029999,99.4,97.87,98.18,2285600,STX,Seagate Technology
2024-12-04,99.99,100.22,94.97,97.63,4572300,STX,Seagate Technology
2024-12-03,102.050003,102.72,97.91,98.8,3267100,STX,Seagate Technology
2024-12-02,101.82,105.12,101.44,103.16,2476800,STX,Seagate Technology
2024-11-29,100.0,102.32,99.97,101.33,1460300,STX,Seagate Technology
2024-11-27,101.32,101.41,98.63,100.0,1799200,STX,Seagate Technology
2024-11-26,101.92,103.17,101.25,101.66,2412500,STX,Seagate Technology
2024-11-25,101.0,103.39,100.81,101.36,4038900,STX,Seagate Technology
2024-11-22,100.4,100.66,99.17,99.62,2675600,STX,Seagate Technology
2024-11-21,98.75,100.21,98.07,99.92,1744500,STX,Seagate Technology
2024-11-20,98.0,98.43,96.58,98.019997,1875600,STX,Seagate Technology
2024-11-19,96.99,97.83,96.099998,97.8,1766600,STX,Seagate Technology
2024-11-18,97.39,97.55,96.34,97.019997,1384500,STX,Seagate Technology
2024-11-15,96.92,97.55,96.41,96.79,1926400,STX,Seagate Technology
2024-11-14,97.73,98.76,96.99,97.46,1814400,STX,Seagate Technology
2024-11-13,99.87,100.65,98.21,98.27,1630300,STX,Seagate Technology
2024-11-12,100.92,102.24,98.75,99.8,2064800,STX,Seagate Technology
2024-11-11,104.69,104.82,101.61,101.84,1633400,STX,Seagate Technology
2024-11-08,105.47,106.24,104.19,104.78,1329800,STX,Seagate Technology
2024-11-07,103.78,105.28,102.98,105.11,1953500,STX,Seagate Technology
2024-11-06,103.97,104.8,102.58,102.98,2411600,STX,Seagate Technology
2024-11-05,100.21,101.87,100.029999,101.65,1519500,STX,Seagate Technology
2024-11-04,98.83,101.27,98.83,99.89,1961200,STX,Seagate Technology
2024-11-01,99.59,100.98,98.66,99.11,2001600,STX,Seagate Technology
2024-10-31,99.42,101.21,98.91,100.37,2708500,STX,Seagate Technology
2024-10-30,100.97,101.3,98.94,99.79,2862200,STX,Seagate Technology
2024-10-29,101.36,101.71,100.19,101.33,2014700,STX,Seagate Technology
2024-10-28,103.77,103.89,101.029999,101.32,2766700,STX,Seagate Technology
2024-10-25,104.22,105.65,102.92,103.010002,2485700,STX,Seagate Technology
2024-10-24,104.53,105.080002,102.35,103.98,2746300,STX,Seagate Technology
2024-10-23,105.74,107.8,102.46,103.52,8774000,STX,Seagate Technology
2024-10-22,111.9,112.75,110.33,112.64,3166100,STX,Seagate Technology
2024-10-21,111.61,112.58,109.32,112.41,2419300,STX,Seagate Technology
2024-10-18,112.65,114.67,111.7,112.12,1951000,STX,Seagate Technology
2024-10-17,112.38,113.31,111.99,112.45,1728300,STX,Seagate Technology
2024-10-16,111.23,112.87,110.62,111.73,1238100,STX,Seagate Technology
2024-10-15,112.040001,115.32,111.37,111.79,2511100,STX,Seagate Technology
2024-10-14,110.0,111.42,108.84,111.059998,1619100,STX,Seagate Technology
2024-10-11,107.98,109.89,107.94,109.81,1054900,STX,Seagate Technology
2024-10-10,107.75,108.73,106.51,108.12,1255900,STX,Seagate Technology
2024-10-09,109.099998,109.39,105.55,109.29,3410500,STX,Seagate Technology
2024-10-08,106.97,108.95,106.5,108.65,1551400,STX,Seagate Technology
2024-10-07,106.089996,106.62,104.52,106.13,1871300,STX,Seagate Technology
2024-10-04,109.88,109.88,106.36,107.24,1447800,STX,Seagate Technology
2024-10-03,108.040001,109.42,107.82,108.8,1135000,STX,Seagate Technology
2024-10-02,108.059998,110.0,107.2,108.56,1476900,STX,Seagate Technology
2024-10-01,109.27,109.27,106.5,107.82,2155000,STX,Seagate Technology
2024-09-30,108.75,109.61,107.81,109.53,1600500,STX,Seagate Technology
2024-09-27,110.68,110.72,108.15,108.74,1320000,STX,Seagate Technology
