datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,89.59,90.74,87.66,88.76,2783700,SWKS,Skyworks Solutions
2025-01-30,90.65,90.65,89.089996,89.4,2088400,SWKS,Skyworks Solutions
2025-01-29,88.37,90.77,87.49,90.16,3637700,SWKS,Skyworks Solutions
2025-01-28,90.15,90.46,88.48,89.81,2956400,SWKS,Skyworks Solutions
2025-01-27,91.93,93.33,89.16,89.59,4053000,SWKS,Skyworks Solutions
2025-01-24,92.31,92.87,90.76,91.2,1803300,SWKS,Skyworks Solutions
2025-01-23,91.35,93.0,91.12,92.52,1777300,SWKS,Skyworks Solutions
2025-01-22,93.81,94.61,91.74,92.0,2774100,SWKS,Skyworks Solutions
2025-01-21,94.22,95.46,93.61,93.96,2389300,SWKS,Skyworks Solutions
2025-01-17,92.62,94.44,92.050003,93.64,2150600,SWKS,Skyworks Solutions
2025-01-16,92.0,92.41,90.94,91.44,1724100,SWKS,Skyworks Solutions
2025-01-15,93.52,93.52,92.11,92.28,2404200,SWKS,Skyworks Solutions
2025-01-14,90.83,91.84,90.71,91.57,1905500,SWKS,Skyworks Solutions
2025-01-13,89.86,90.54,88.49,90.34,1639700,SWKS,Skyworks Solutions
2025-01-10,92.14,93.98,90.16,90.2,3539800,SWKS,Skyworks Solutions
2025-01-08,91.94,92.86,89.56,92.63,2449800,SWKS,Skyworks Solutions
2025-01-07,91.89,94.17,91.78,92.66,2087700,SWKS,Skyworks Solutions
2025-01-06,89.029999,92.010002,89.019997,90.91,1861500,SWKS,Skyworks Solutions
2025-01-03,88.71,89.16,87.65,88.85,2197500,SWKS,Skyworks Solutions
2025-01-02,89.67,89.89,87.92,88.45,2351200,SWKS,Skyworks Solutions
2024-12-31,88.94,89.45,88.2,88.68,1559700,SWKS,Skyworks Solutions
2024-12-30,89.040001,89.040001,87.46,88.42,2359200,SWKS,Skyworks Solutions
2024-12-27,90.089996,90.68,89.38,90.15,1332100,SWKS,Skyworks Solutions
2024-12-26,89.64,91.47,89.5,90.42,1112700,SWKS,Skyworks Solutions
2024-12-24,90.33,90.69,89.65,90.35,835400,SWKS,Skyworks Solutions
2024-12-23,89.16,90.63,88.75,90.19,2156100,SWKS,Skyworks Solutions
2024-12-22,89.16,90.63,88.75,90.19,2156145,SWKS,Skyworks Solutions
2024-12-20,88.19,90.15,87.33,88.75,6291100,SWKS,Skyworks Solutions
2024-12-19,88.96,89.86,88.13,88.26,3079300,SWKS,Skyworks Solutions
2024-12-18,90.98,93.12,88.12,88.66,4134800,SWKS,Skyworks Solutions
2024-12-17,90.52,92.13,89.93,90.74,1665500,SWKS,Skyworks Solutions
2024-12-16,90.52,92.13,89.93,90.74,1665641,SWKS,Skyworks Solutions
2024-12-13,90.31,91.43,88.66,90.98,2599100,SWKS,Skyworks Solutions
2024-12-12,88.0,89.76,87.75,89.64,1624000,SWKS,Skyworks Solutions
