datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,1367.75,1371.68005,1350.52002,1353.33997,192100,TDG,TransDigm Group
2025-01-30,1347.0,1367.27002,1345.89001,1364.89001,198100,TDG,TransDigm Group
2025-01-29,1325.58997,1346.93994,1325.58997,1338.92004,191800,TDG,TransDigm Group
2025-01-28,1352.69995,1353.0,1320.71997,1329.47998,214800,TDG,TransDigm Group
2025-01-27,1328.77002,1347.41003,1323.98999,1344.22998,236700,TDG,TransDigm Group
2025-01-24,1349.41003,1349.52002,1336.88,1341.81995,185200,TDG,TransDigm Group
2025-01-23,1379.14001,1379.45996,1337.92004,1349.97998,239600,TDG,TransDigm Group
2025-01-22,1360.0,1362.98999,1343.050049,1354.0,204100,TDG,TransDigm Group
2025-01-21,1357.92004,1365.54004,1346.85999,1358.01001,198400,TDG,TransDigm Group
2025-01-17,1328.19995,1341.050049,1323.35999,1340.02002,213200,TDG,TransDigm Group
2025-01-16,1298.16003,1330.0,1297.32996,1322.02002,229400,TDG,TransDigm Group
2025-01-15,1315.21997,1315.38,1282.41003,1293.53003,292100,TDG,TransDigm Group
2025-01-14,1285.089966,1307.39001,1284.099976,1300.72998,211200,TDG,TransDigm Group
2025-01-13,1253.089966,1280.46997,1252.94995,1278.45996,221600,TDG,TransDigm Group
2025-01-10,1273.44995,1287.19995,1260.45996,1262.10999,266900,TDG,TransDigm Group
2025-01-08,1255.52002,1284.19995,1240.33997,1282.31995,319500,TDG,TransDigm Group
2025-01-07,1248.85999,1263.18994,1242.48999,1252.13,190900,TDG,TransDigm Group
2025-01-06,1276.62,1276.83997,1245.81995,1251.31995,363500,TDG,TransDigm Group
2025-01-03,1256.90002,1282.23999,1256.90002,1275.56006,219700,TDG,TransDigm Group
2025-01-02,1271.85999,1272.050049,1245.33997,1254.10999,297700,TDG,TransDigm Group
2024-12-31,1282.32996,1289.18005,1261.96997,1267.28003,256600,TDG,TransDigm Group
2024-12-30,1267.31006,1287.78003,1266.83997,1279.91003,216600,TDG,TransDigm Group
2024-12-27,1289.17004,1297.90002,1283.66003,1290.90002,154000,TDG,TransDigm Group
2024-12-26,1298.87,1302.48999,1291.39001,1301.22998,108500,TDG,TransDigm Group
2024-12-24,1287.15002,1301.66003,1283.68005,1301.66003,91500,TDG,TransDigm Group
2024-12-23,1269.60999,1296.55005,1263.82996,1290.60999,271900,TDG,TransDigm Group
2024-12-22,1269.60999,1296.55005,1263.82495,1290.60999,271922,TDG,TransDigm Group
2024-12-20,1247.0,1293.38,1247.0,1276.15002,608200,TDG,TransDigm Group
2024-12-19,1250.0,1266.14001,1246.70996,1260.12,454700,TDG,TransDigm Group
2024-12-18,1265.050049,1277.64001,1238.40002,1239.0,566800,TDG,TransDigm Group
