datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,150.47,151.14,147.83,147.97,1352600,TEL,TE Connectivity
2025-01-30,150.0,150.5,147.81,149.81,1618600,TEL,TE Connectivity
2025-01-29,149.42,149.53999,147.35001,147.71001,2010700,TEL,TE Connectivity
2025-01-28,150.73,150.73,147.24001,148.45,1180800,TEL,TE Connectivity
2025-01-27,150.92,152.42999,147.47,150.25,2121600,TEL,TE Connectivity
2025-01-24,156.45,156.81,154.32001,154.69,1017300,TEL,TE Connectivity
2025-01-23,154.82001,156.98,153.73,156.98,1417800,TEL,TE Connectivity
2025-01-22,151.33,156.71001,150.0,155.089996,3162200,TEL,TE Connectivity
2025-01-21,145.2,148.82001,145.2,148.3,2568300,TEL,TE Connectivity
2025-01-17,145.37,147.39999,144.49001,145.72,4102600,TEL,TE Connectivity
2025-01-16,144.39999,144.89999,142.21001,143.69,1882800,TEL,TE Connectivity
2025-01-15,145.53999,146.37,143.050003,143.47,2116500,TEL,TE Connectivity
2025-01-14,141.56,143.3,140.2,142.89999,1300000,TEL,TE Connectivity
2025-01-13,138.75,141.61,138.24001,141.16,1413400,TEL,TE Connectivity
2025-01-10,142.0099945,142.82001,140.38,140.91,1267000,TEL,TE Connectivity
2025-01-08,143.050003,144.17999,141.84,143.7,1425600,TEL,TE Connectivity
2025-01-07,144.82001,146.45,142.82001,143.75999,1390800,TEL,TE Connectivity
2025-01-06,142.41,145.59,142.33,143.44,1114400,TEL,TE Connectivity
2025-01-03,141.52,142.88,139.8,142.39999,1356400,TEL,TE Connectivity
2025-01-02,143.32001,143.89999,139.84,140.64,1269400,TEL,TE Connectivity
2024-12-31,143.35001,144.42,142.53999,142.97,824900,TEL,TE Connectivity
2024-12-30,143.39,143.69,141.52,142.87,853100,TEL,TE Connectivity
2024-12-27,145.23,146.75,144.28,144.98,692800,TEL,TE Connectivity
2024-12-26,145.020004,146.61,144.64,146.3,523900,TEL,TE Connectivity
2024-12-24,144.34,145.86,143.39,145.5,412300,TEL,TE Connectivity
2024-12-23,142.50999,144.48,142.50999,144.11,1209600,TEL,TE Connectivity
2024-12-20,142.66,145.67,142.23,143.67,4368100,TEL,TE Connectivity
2024-12-19,148.27,149.35001,143.50999,143.89,2965600,TEL,TE Connectivity
2024-12-18,148.81,150.28,144.66,144.78,2528100,TEL,TE Connectivity
2024-12-17,149.62,150.38,147.059998,147.95,2430700,TEL,TE Connectivity
2024-12-16,149.35001,151.039993,148.66,149.95,1751500,TEL,TE Connectivity
2024-12-13,150.50999,151.99001,149.21001,150.089996,1045900,TEL,TE Connectivity
2024-12-12,149.0099945,151.53,148.87,151.32001,1605100,TEL,TE Connectivity
2024-12-11,151.10001,152.23,149.78999,149.83,1166000,TEL,TE Connectivity
2024-12-10,152.23,153.55,149.87,150.25,1657800,TEL,TE Connectivity
2024-12-09,153.52,154.69,151.28,151.5,1901100,TEL,TE Connectivity
2024-12-06,152.46001,154.42999,152.0099945,152.39999,1465100,TEL,TE Connectivity
2024-12-05,154.10001,154.67,152.34,152.42999,964100,TEL,TE Connectivity
