datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,125.92,126.22,124.62,124.79,3268400,TJX,TJX Companies
2025-01-30,124.83,126.48,124.61,126.089996,4334300,TJX,TJX Companies
2025-01-29,124.28,125.3,124.0,124.21,3930500,TJX,TJX Companies
2025-01-28,124.61,125.45,123.7,124.34,3350800,TJX,TJX Companies
2025-01-27,123.099998,125.32,123.040001,124.9,4734000,TJX,TJX Companies
2025-01-24,122.57,123.48,122.31,122.73,4470300,TJX,TJX Companies
2025-01-23,122.5,123.07,122.21,122.6,3821400,TJX,TJX Companies
2025-01-22,123.41,123.49,121.35,122.57,4256800,TJX,TJX Companies
2025-01-21,123.68,124.49,122.71,123.3,4859700,TJX,TJX Companies
2025-01-17,122.58,122.84,121.47,121.85,4752400,TJX,TJX Companies
2025-01-16,119.55,121.69,119.23,121.38,3840100,TJX,TJX Companies
2025-01-15,120.34,120.42,118.47,119.11,4906300,TJX,TJX Companies
2025-01-14,120.5,120.6,118.69,119.24,4652500,TJX,TJX Companies
2025-01-13,120.059998,120.2,117.89,119.89,4603700,TJX,TJX Companies
2025-01-10,121.48,122.29,119.75,120.059998,4355200,TJX,TJX Companies
2025-01-08,120.17,122.010002,119.51,121.65,5219200,TJX,TJX Companies
2025-01-07,121.089996,121.77,120.029999,120.14,4500100,TJX,TJX Companies
2025-01-06,120.74,121.72,120.36,120.88,5963400,TJX,TJX Companies
2025-01-03,121.55,121.79,120.019997,120.73,3897200,TJX,TJX Companies
2025-01-02,121.71,122.14,120.75,121.15,3424400,TJX,TJX Companies
2024-12-31,121.89,121.89,120.35,120.81,3600100,TJX,TJX Companies
2024-12-30,122.21,122.64,120.61,121.089996,3976600,TJX,TJX Companies
2024-12-27,123.92,124.76,123.69,123.94,3471500,TJX,TJX Companies
2024-12-26,123.45,125.23,123.4,125.010002,2892800,TJX,TJX Companies
2024-12-24,121.99,123.49,121.76,123.49,1476100,TJX,TJX Companies
2024-12-23,121.54,122.13,120.3,121.77,5436900,TJX,TJX Companies
2024-12-20,121.099998,123.54,121.0,122.0,11714000,TJX,TJX Companies
2024-12-19,122.41,123.28,121.010002,121.2,7979800,TJX,TJX Companies
2024-12-18,123.27,124.32,121.16,121.24,5808500,TJX,TJX Companies
2024-12-17,124.23,124.98,122.9,123.059998,6813000,TJX,TJX Companies
2024-12-16,125.21,125.41,123.37,123.72,6990500,TJX,TJX Companies
2024-12-13,126.43,126.85,124.83,124.85,4595400,TJX,TJX Companies
