datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,74.88,75.2,72.17,72.94,6637800,TPR,"Tapestry, Inc."
2025-01-30,75.0,76.49,74.68,75.91,4292500,TPR,"Tapestry, Inc."
2025-01-29,74.080002,75.52,73.78,74.39,3007400,TPR,"Tapestry, Inc."
2025-01-28,72.5,74.0,72.26,73.79,3481400,TPR,"Tapestry, Inc."
2025-01-27,73.83,73.95,71.77,72.51,4528800,TPR,"Tapestry, Inc."
2025-01-24,73.62,75.78,73.53,74.65,3857700,TPR,"Tapestry, Inc."
2025-01-23,72.93,73.82,72.55,73.62,4276300,TPR,"Tapestry, Inc."
2025-01-22,74.39,74.54,73.22,73.34,3511200,TPR,"Tapestry, Inc."
2025-01-21,71.87,74.25,71.87,74.050003,4725900,TPR,"Tapestry, Inc."
2025-01-17,70.18,72.089996,70.019997,71.39,5254400,TPR,"Tapestry, Inc."
2025-01-16,68.6,69.83,68.15,69.63,3490500,TPR,"Tapestry, Inc."
2025-01-15,69.019997,69.6,67.36,67.65,4088500,TPR,"Tapestry, Inc."
2025-01-14,67.85,69.080002,67.38,67.66,6752400,TPR,"Tapestry, Inc."
2025-01-13,66.73,66.82,65.089996,66.75,3972500,TPR,"Tapestry, Inc."
2025-01-10,68.0,68.16,66.61,67.15,4858600,TPR,"Tapestry, Inc."
2025-01-08,68.029999,68.78,67.019997,68.53,4360500,TPR,"Tapestry, Inc."
2025-01-07,68.23,69.089996,67.21,67.36,3114900,TPR,"Tapestry, Inc."
2025-01-06,67.41,68.42,67.28,67.66,5163700,TPR,"Tapestry, Inc."
2025-01-03,66.2,67.4,65.97,66.77,3333700,TPR,"Tapestry, Inc."
2025-01-02,65.62,66.44,65.17,65.63,3373600,TPR,"Tapestry, Inc."
2024-12-31,66.0,66.47,65.22,65.33,2601100,TPR,"Tapestry, Inc."
2024-12-30,65.35,66.38,64.68,65.82,2476000,TPR,"Tapestry, Inc."
2024-12-27,65.71,66.47,65.54,65.87,2054900,TPR,"Tapestry, Inc."
