datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,205.69,205.69,196.14999,196.8,1722300,TRGP,Targa Resources
2025-01-30,205.21001,206.10001,203.22,205.21001,1022500,TRGP,Targa Resources
2025-01-29,201.78999,207.47,201.35001,202.86,925800,TRGP,Targa Resources
2025-01-28,200.49001,203.28,199.13,202.37,1610900,TRGP,Targa Resources
2025-01-27,205.89999,205.96001,197.0,199.24001,2002400,TRGP,Targa Resources
2025-01-24,210.059998,213.19,208.59,209.070007,1066000,TRGP,Targa Resources
2025-01-23,213.42999,213.75999,209.33,211.39,1042700,TRGP,Targa Resources
2025-01-22,218.19,218.50999,208.63,211.27,1554600,TRGP,Targa Resources
2025-01-21,215.020004,217.34,213.61,217.22,2239100,TRGP,Targa Resources
2025-01-17,212.67999,217.020004,210.14,215.72,1851500,TRGP,Targa Resources
2025-01-16,205.53,212.98,205.38,212.95,1908600,TRGP,Targa Resources
2025-01-15,203.89999,205.82001,202.67,205.5,1444700,TRGP,Targa Resources
2025-01-14,198.0,203.69,197.0,201.38,1625300,TRGP,Targa Resources
2025-01-13,193.34,198.2,193.0,197.47,1435800,TRGP,Targa Resources
2025-01-10,194.0,196.82001,192.0,193.3,1800500,TRGP,Targa Resources
2025-01-08,187.78999,192.070007,187.029999,191.98,1225600,TRGP,Targa Resources
2025-01-07,186.53999,189.22,184.12,187.82001,1588500,TRGP,Targa Resources
2025-01-06,187.97,187.97,184.71001,186.16,1911100,TRGP,Targa Resources
2025-01-03,184.36,187.61,184.089996,186.17,1156200,TRGP,Targa Resources
2025-01-02,180.17,183.31,179.28,183.059998,1145600,TRGP,Targa Resources
2024-12-31,178.13,179.45,177.23,178.5,1254800,TRGP,Targa Resources
2024-12-30,177.059998,178.82001,175.28,177.75999,1068500,TRGP,Targa Resources
2024-12-27,177.39,178.3,175.92,177.36,1017200,TRGP,Targa Resources
2024-12-26,180.53,180.53,177.12,177.89999,982200,TRGP,Targa Resources
2024-12-24,179.39,181.17,178.38,180.72,675600,TRGP,Targa Resources
2024-12-23,176.33,178.58,173.53,178.37,1577700,TRGP,Targa Resources
