datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,248.33,250.020004,245.0,245.17999,1463600,TRV,Travelers Companies (The)
2025-01-30,252.10001,252.10001,247.22,249.089996,836400,TRV,Travelers Companies (The)
2025-01-29,247.61,251.78999,247.0,249.52,1611300,TRV,Travelers Companies (The)
2025-01-28,251.73,252.14999,247.89,248.42999,1217600,TRV,Travelers Companies (The)
2025-01-27,244.19,251.24001,243.47,251.0099945,1721800,TRV,Travelers Companies (The)
2025-01-24,244.089996,244.14,240.64999,241.86,1282100,TRV,Travelers Companies (The)
2025-01-23,243.75,244.71001,240.36,241.50999,1478500,TRV,Travelers Companies (The)
2025-01-22,250.5,254.42,246.0,246.72,2564600,TRV,Travelers Companies (The)
2025-01-21,241.39999,241.88,238.35001,239.16,2639100,TRV,Travelers Companies (The)
2025-01-17,242.21001,244.10001,239.52,239.52,1346200,TRV,Travelers Companies (The)
2025-01-16,239.89,242.7,239.88,242.37,970700,TRV,Travelers Companies (The)
2025-01-15,240.13,242.17999,239.63,239.98,1481100,TRV,Travelers Companies (The)
2025-01-14,232.5,237.23,231.039993,236.92999,1550800,TRV,Travelers Companies (The)
2025-01-13,230.95,234.57001,230.23,233.33,1751000,TRV,Travelers Companies (The)
2025-01-10,238.0,240.059998,231.0,232.42999,1818500,TRV,Travelers Companies (The)
2025-01-08,243.50999,244.0,238.94,242.77,1373300,TRV,Travelers Companies (The)
2025-01-07,241.25,243.47,240.029999,241.67999,1460700,TRV,Travelers Companies (The)
2025-01-06,241.82001,246.080002,240.81,241.88,1442700,TRV,Travelers Companies (The)
2025-01-03,242.42,243.080002,240.12,242.28999,819700,TRV,Travelers Companies (The)
2025-01-02,242.23,242.71001,240.0099945,240.89,942500,TRV,Travelers Companies (The)
2024-12-31,240.42,241.75,238.82001,240.89,795100,TRV,Travelers Companies (The)
2024-12-30,239.88,241.17,237.61,239.87,734300,TRV,Travelers Companies (The)
2024-12-27,241.12,244.24001,240.57001,241.41,631700,TRV,Travelers Companies (The)
2024-12-26,241.99001,243.94,240.75999,243.73,434100,TRV,Travelers Companies (The)
