datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,54.52,54.9,53.31,54.36,9309300,TSCO,Tractor Supply
2025-01-30,54.040001,55.43,53.5,54.29,9205400,TSCO,Tractor Supply
2025-01-29,57.24,58.41,56.94,57.16,6908800,TSCO,Tractor Supply
2025-01-28,57.65,58.96,57.36,57.38,4134900,TSCO,Tractor Supply
2025-01-27,57.41,58.72,57.38,57.93,4213600,TSCO,Tractor Supply
2025-01-24,57.42,58.02,57.24,57.94,3384300,TSCO,Tractor Supply
2025-01-23,57.5,58.32,57.26,57.38,5468100,TSCO,Tractor Supply
2025-01-22,56.83,58.12,56.71,57.47,4867200,TSCO,Tractor Supply
2025-01-21,54.099998,57.060001,54.02,56.88,7910500,TSCO,Tractor Supply
2025-01-17,54.099998,54.72,53.51,53.66,5583000,TSCO,Tractor Supply
2025-01-16,52.92,53.73,52.63,53.53,4715300,TSCO,Tractor Supply
2025-01-15,53.95,54.42,52.81,53.099998,4975400,TSCO,Tractor Supply
2025-01-14,54.66,54.83,53.040001,53.18,3845400,TSCO,Tractor Supply
2025-01-13,54.0,54.66,53.65,54.57,4980400,TSCO,Tractor Supply
2025-01-10,54.24,55.8,54.16,54.59,6356700,TSCO,Tractor Supply
2025-01-08,53.85,54.5,53.45,54.39,4148400,TSCO,Tractor Supply
2025-01-07,53.89,54.21,53.28,53.87,3537100,TSCO,Tractor Supply
2025-01-06,52.35,53.8,51.93,53.65,6099000,TSCO,Tractor Supply
2025-01-03,52.44,52.69,51.28,51.93,6346100,TSCO,Tractor Supply
2025-01-02,53.12,53.64,51.97,52.38,4838600,TSCO,Tractor Supply
2024-12-31,52.6,53.64,52.45,53.060001,4204800,TSCO,Tractor Supply
2024-12-30,54.0,54.080002,52.56,52.59,3997200,TSCO,Tractor Supply
2024-12-27,55.080002,55.57,54.27,54.56,3466600,TSCO,Tractor Supply
2024-12-26,54.59,55.59,53.95,55.49,3416500,TSCO,Tractor Supply
2024-12-24,53.69,54.5,53.32,54.49,2000600,TSCO,Tractor Supply
