datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,109.63,110.32,104.86,105.84,6136900,UAL,United Airlines Holdings
2025-01-30,107.099998,109.77,106.53,109.4,4033800,UAL,United Airlines Holdings
2025-01-29,107.07,108.86,106.52,108.26,3873900,UAL,United Airlines Holdings
2025-01-28,105.83,106.72,104.33,106.34,4700100,UAL,United Airlines Holdings
2025-01-27,102.64,107.95,102.0,106.74,5934800,UAL,United Airlines Holdings
2025-01-24,102.81,107.95,102.27,105.0,8645800,UAL,United Airlines Holdings
2025-01-23,108.8,109.21,102.86,103.0,10416800,UAL,United Airlines Holdings
2025-01-22,115.85,116.0,107.0,107.97,16086400,UAL,United Airlines Holdings
2025-01-21,109.3,110.8,108.13,110.52,12720200,UAL,United Airlines Holdings
2025-01-17,107.019997,108.47,106.0,107.38,5178000,UAL,United Airlines Holdings
2025-01-16,105.4,106.7,104.38,106.11,4381700,UAL,United Airlines Holdings
2025-01-15,109.15,110.15,104.8,104.96,4721200,UAL,United Airlines Holdings
2025-01-14,107.29,108.14,105.6,107.67,5973100,UAL,United Airlines Holdings
2025-01-13,104.48,105.13,102.18,104.71,5859000,UAL,United Airlines Holdings
2025-01-10,109.47,110.92,105.8,107.11,14330600,UAL,United Airlines Holdings
2025-01-08,100.010002,103.9,99.4,103.72,5458200,UAL,United Airlines Holdings
2025-01-07,99.0,101.71,98.14,101.21,4995400,UAL,United Airlines Holdings
2025-01-06,96.95,101.3,96.37,98.57,7051000,UAL,United Airlines Holdings
2025-01-03,95.4,95.73,91.78,95.67,4154500,UAL,United Airlines Holdings
2025-01-02,97.29,97.92,94.45,95.43,3429200,UAL,United Airlines Holdings
2025-01-01,97.29,97.915,94.4485,95.43,3429770,UAL,United Airlines Holdings
2024-12-31,97.82,98.25,96.029999,97.099998,2816800,UAL,United Airlines Holdings
2024-12-30,98.31,98.97,95.3,98.21,3886400,UAL,United Airlines Holdings
2024-12-29,98.31,98.97,95.3,98.21,3886373,UAL,United Airlines Holdings
2024-12-27,100.44,100.55,98.18,99.65,3156900,UAL,United Airlines Holdings
2024-12-26,100.44,100.55,98.18,99.65,3156852,UAL,United Airlines Holdings
2024-12-24,99.35,101.29,99.059998,101.16,1968600,UAL,United Airlines Holdings
2024-12-23,97.5,99.55,96.25,99.48,4135400,UAL,United Airlines Holdings
2024-12-20,94.52,98.28,94.34,97.4,12239300,UAL,United Airlines Holdings
2024-12-19,92.75,96.18,92.73,95.56,6619500,UAL,United Airlines Holdings
2024-12-18,95.099998,97.48,90.17,91.47,6252100,UAL,United Airlines Holdings
2024-12-17,94.97,95.33,93.65,94.99,3436200,UAL,United Airlines Holdings
2024-12-16,94.53,97.099998,94.2,95.48,3775500,UAL,United Airlines Holdings
2024-12-13,96.12,96.67,94.92,95.11,4163900,UAL,United Airlines Holdings
2024-12-12,99.77,100.18,95.87,95.97,3349900,UAL,United Airlines Holdings
2024-12-11,97.19,100.25,97.19,98.96,5416000,UAL,United Airlines Holdings
2024-12-10,97.58,99.42,95.29,96.53,4124500,UAL,United Airlines Holdings
2024-12-09,100.24,100.89,95.38,96.019997,5627000,UAL,United Airlines Holdings
2024-12-06,103.84,104.0,100.050003,100.28,4292700,UAL,United Airlines Holdings
2024-12-05,101.33,105.089996,100.87,102.44,7567600,UAL,United Airlines Holdings
2024-12-04,96.86,99.29,96.86,99.25,4413600,UAL,United Airlines Holdings
2024-12-03,97.35,98.029999,95.64,95.79,3575900,UAL,United Airlines Holdings
2024-12-02,97.29,98.32,96.81,97.44,3468200,UAL,United Airlines Holdings
2024-11-29,96.36,97.43,96.14,96.83,1522900,UAL,United Airlines Holdings
2024-11-27,96.51,96.95,95.080002,96.35,3145700,UAL,United Airlines Holdings
2024-11-26,97.75,101.6,96.48,96.51,8317500,UAL,United Airlines Holdings
2024-11-25,97.22,98.0,96.14,96.83,5097500,UAL,United Airlines Holdings
2024-11-22,93.93,95.54,92.080002,95.24,6529300,UAL,United Airlines Holdings
2024-11-21,95.0,95.99,93.71,94.4,6127000,UAL,United Airlines Holdings
2024-11-20,93.65,95.0,91.24,94.63,5298800,UAL,United Airlines Holdings
2024-11-19,88.87,95.19,88.6,94.26,6887700,UAL,United Airlines Holdings
2024-11-18,90.95,91.12,88.9,90.38,3952200,UAL,United Airlines Holdings
2024-11-15,92.25,92.71,90.56,91.17,4470000,UAL,United Airlines Holdings
2024-11-14,90.75,93.33,90.6,91.16,6063800,UAL,United Airlines Holdings
2024-11-13,90.07,92.28,89.14,89.78,8040800,UAL,United Airlines Holdings
2024-11-12,88.41,89.24,87.059998,89.13,6054500,UAL,United Airlines Holdings
2024-11-11,87.86,89.6,87.34,89.43,5674900,UAL,United Airlines Holdings
2024-11-08,86.0,87.87,85.6,87.51,4604600,UAL,United Airlines Holdings
2024-11-07,86.58,87.84,85.36,85.43,5314500,UAL,United Airlines Holdings
2024-11-06,85.0,87.84,84.3,87.58,11592000,UAL,United Airlines Holdings
2024-11-05,77.26,80.089996,77.26,80.029999,4601500,UAL,United Airlines Holdings
2024-11-04,79.87,80.29,77.14,77.25,6452200,UAL,United Airlines Holdings
2024-11-01,79.19,81.35,78.79,80.46,6762300,UAL,United Airlines Holdings
2024-10-31,79.7,81.050003,78.12,78.26,6907500,UAL,United Airlines Holdings
2024-10-30,76.67,80.82,76.67,80.42,9568100,UAL,United Airlines Holdings
2024-10-29,75.39,77.62,75.15,76.93,5086400,UAL,United Airlines Holdings
2024-10-28,76.58,77.94,76.07,76.089996,7411900,UAL,United Airlines Holdings
2024-10-25,74.9,76.080002,73.94,74.64,7836400,UAL,United Airlines Holdings
2024-10-24,74.42,75.41,72.92,74.51,5887500,UAL,United Airlines Holdings
2024-10-23,73.87,74.44,72.89,73.45,5074500,UAL,United Airlines Holdings
2024-10-22,73.8,74.72,72.57,74.49,6626900,UAL,United Airlines Holdings
2024-10-21,73.25,74.97,72.57,74.0,8063800,UAL,United Airlines Holdings
2024-10-18,73.87,74.95,72.9,74.15,8399400,UAL,United Airlines Holdings
2024-10-17,72.0,74.56,71.59,73.33,14729800,UAL,United Airlines Holdings
2024-10-16,65.4,73.65,65.11,72.019997,37212900,UAL,United Airlines Holdings
2024-10-15,64.18,65.019997,63.5,64.050003,12808000,UAL,United Airlines Holdings
2024-10-14,62.33,63.81,62.060001,63.53,8236000,UAL,United Airlines Holdings
2024-10-11,60.0,61.93,59.71,61.8,5656400,UAL,United Airlines Holdings
2024-10-10,58.43,60.64,58.39,60.26,6757100,UAL,United Airlines Holdings
2024-10-09,60.4,61.040001,59.080002,59.43,6537800,UAL,United Airlines Holdings
2024-10-08,59.68,61.62,59.53,60.0099983,7092800,UAL,United Airlines Holdings
2024-10-07,59.0,60.38,58.54,59.18,7501900,UAL,United Airlines Holdings
2024-10-04,57.94,59.44,57.37,59.22,11169300,UAL,United Airlines Holdings
2024-10-03,55.6,56.21,54.93,55.62,6866800,UAL,United Airlines Holdings
2024-10-02,55.35,56.049999,54.64,55.74,5372900,UAL,United Airlines Holdings
2024-10-01,56.87,56.95,54.73,56.13,10449500,UAL,United Airlines Holdings
2024-09-30,57.75,58.39,56.71,57.060001,5288900,UAL,United Airlines Holdings
2024-09-27,58.98,60.23,57.95,57.99,9393400,UAL,United Airlines Holdings
2024-09-26,55.58,59.38,55.49,58.85,17688200,UAL,United Airlines Holdings
2024-09-25,53.58,55.14,53.58,54.11,7416200,UAL,United Airlines Holdings
2024-09-24,52.43,53.65,52.13,53.63,4546500,UAL,United Airlines Holdings
2024-09-23,52.17,52.54,51.44,52.36,4181300,UAL,United Airlines Holdings
2024-09-20,52.48,52.9,51.94,52.17,6514200,UAL,United Airlines Holdings
2024-09-19,54.060001,54.24,52.34,52.59,6547200,UAL,United Airlines Holdings
2024-09-18,52.74,54.43,52.59,52.96,7461700,UAL,United Airlines Holdings
2024-09-17,52.0,53.75,51.9,52.64,8701200,UAL,United Airlines Holdings
2024-09-16,50.38,51.44,50.31,51.34,5642000,UAL,United Airlines Holdings
2024-09-13,50.099998,51.24,49.89,50.22,9699900,UAL,United Airlines Holdings
2024-09-12,49.78,50.8,47.46,49.65,10378000,UAL,United Airlines Holdings
2024-09-11,48.42,48.62,47.52,48.47,5569600,UAL,United Airlines Holdings
2024-09-10,49.0,49.040001,47.0099983,48.42,6060700,UAL,United Airlines Holdings
2024-09-09,46.67,48.98,46.58,48.75,9955600,UAL,United Airlines Holdings
2024-09-06,44.98,46.19,44.85,46.0099983,7922000,UAL,United Airlines Holdings
2024-09-05,44.6,46.51,44.57,45.12,9230900,UAL,United Airlines Holdings
2024-09-04,43.8,44.42,43.8,44.17,4078500,UAL,United Airlines Holdings
2024-09-03,43.63,44.15,43.52,43.87,5853500,UAL,United Airlines Holdings
2024-08-30,43.18,44.16,42.87,44.040001,6621200,UAL,United Airlines Holdings
2024-08-29,41.63,43.24,41.63,42.64,6369400,UAL,United Airlines Holdings
2024-08-28,42.049999,42.18,40.96,41.33,6637000,UAL,United Airlines Holdings
2024-08-27,42.85,42.9,42.07,42.14,3849600,UAL,United Airlines Holdings
2024-08-26,43.45,43.66,42.74,42.78,3410900,UAL,United Airlines Holdings
2024-08-23,41.74,43.35,41.58,43.32,7150200,UAL,United Airlines Holdings
2024-08-22,42.2,42.67,41.38,41.44,5009700,UAL,United Airlines Holdings
2024-08-21,42.0,42.29,41.77,41.99,3824000,UAL,United Airlines Holdings
2024-08-20,42.32,42.41,41.53,41.76,4292000,UAL,United Airlines Holdings
2024-08-19,42.45,42.63,41.95,42.35,4494700,UAL,United Airlines Holdings
2024-08-16,42.51,42.58,41.32,42.07,6888000,UAL,United Airlines Holdings
2024-08-15,41.3,43.23,41.22,42.66,8669200,UAL,United Airlines Holdings
2024-08-14,41.11,41.28,40.13,40.24,6224400,UAL,United Airlines Holdings
2024-08-13,40.52,41.19,40.36,40.92,4280700,UAL,United Airlines Holdings
