datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,248.67,252.039993,247.66,247.78999,2987200,UNP,Union Pacific Corporation
2025-01-30,249.38,251.63,247.070007,249.92,2490500,UNP,Union Pacific Corporation
2025-01-29,249.7,252.99001,249.059998,249.55,3026900,UNP,Union Pacific Corporation
2025-01-28,254.0,256.28,248.81,249.16,3167200,UNP,Union Pacific Corporation
2025-01-27,250.63,256.84,250.0,254.42,4537400,UNP,Union Pacific Corporation
2025-01-24,247.48,250.5,245.71001,248.78,4048500,UNP,Union Pacific Corporation
2025-01-23,246.64999,249.67,242.059998,248.050003,5226200,UNP,Union Pacific Corporation
2025-01-22,236.73,237.0,234.16,235.8,2757500,UNP,Union Pacific Corporation
2025-01-21,235.59,237.34,234.99001,236.73,2630500,UNP,Union Pacific Corporation
2025-01-17,239.25999,239.25999,232.2,234.25999,3643700,UNP,Union Pacific Corporation
2025-01-16,230.28999,235.13,229.57001,234.89,2296900,UNP,Union Pacific Corporation
2025-01-15,233.0,233.3,230.44,230.86,1892300,UNP,Union Pacific Corporation
2025-01-14,228.83,229.58,227.63,229.38,1823400,UNP,Union Pacific Corporation
2025-01-13,223.73,227.020004,222.5,226.75999,2278100,UNP,Union Pacific Corporation
2025-01-10,228.82001,230.0099945,224.74001,225.21001,2711300,UNP,Union Pacific Corporation
2025-01-08,229.64,232.10001,229.0099945,231.82001,2062800,UNP,Union Pacific Corporation
2025-01-07,231.0,232.53,229.77,230.53999,2752700,UNP,Union Pacific Corporation
2025-01-06,232.21001,232.3,228.91,230.0099945,2798800,UNP,Union Pacific Corporation
2025-01-03,229.81,232.37,228.85001,231.5,1994500,UNP,Union Pacific Corporation
2025-01-02,229.98,230.62,228.33,229.12,3177200,UNP,Union Pacific Corporation
2024-12-31,228.0,229.5,226.95,228.039993,1784700,UNP,Union Pacific Corporation
2024-12-30,228.17999,229.63,226.78,227.78999,1659700,UNP,Union Pacific Corporation
2024-12-27,228.58,231.73,228.3,229.92999,1455900,UNP,Union Pacific Corporation
2024-12-26,228.72,230.8,228.53999,230.23,1021700,UNP,Union Pacific Corporation
2024-12-24,227.73,230.0099945,226.64,229.75,669000,UNP,Union Pacific Corporation
2024-12-23,225.63,227.52,224.75999,227.13,1939300,UNP,Union Pacific Corporation
2024-12-20,223.12,227.91,221.86,226.32001,5949400,UNP,Union Pacific Corporation
2024-12-19,224.42,226.60001,223.059998,223.14999,2785300,UNP,Union Pacific Corporation
2024-12-18,229.8,231.11,224.41,224.53999,3582400,UNP,Union Pacific Corporation
2024-12-17,230.67999,232.50999,229.33,229.88,3642400,UNP,Union Pacific Corporation
2024-12-16,234.039993,235.080002,231.57001,232.89,2839500,UNP,Union Pacific Corporation
2024-12-13,233.17999,237.53999,233.17999,234.98,2715600,UNP,Union Pacific Corporation
2024-12-12,234.25,234.55,231.89,233.71001,2242700,UNP,Union Pacific Corporation
2024-12-11,236.50999,238.42999,233.31,233.78,2862600,UNP,Union Pacific Corporation
2024-12-10,233.35001,239.020004,231.78999,237.089996,3092600,UNP,Union Pacific Corporation
2024-12-09,232.25,234.97,231.69,233.53999,3095700,UNP,Union Pacific Corporation
2024-12-06,235.69,236.67,233.37,233.57001,2585100,UNP,Union Pacific Corporation
2024-12-05,235.33,235.53999,233.57001,234.63,2011400,UNP,Union Pacific Corporation
2024-12-04,236.7,237.85001,233.61,235.0,3264900,UNP,Union Pacific Corporation
2024-12-03,241.73,241.73,235.11,236.99001,4196800,UNP,Union Pacific Corporation
2024-12-02,244.029999,244.57001,240.41,240.78,3100000,UNP,Union Pacific Corporation
2024-11-29,245.089996,246.63,244.10001,244.66,1484900,UNP,Union Pacific Corporation
2024-11-27,246.039993,247.89,244.86,245.23,2040800,UNP,Union Pacific Corporation
2024-11-26,246.75999,247.17,242.46001,245.63,3305300,UNP,Union Pacific Corporation
2024-11-25,243.46001,250.58,243.050003,249.32001,4224400,UNP,Union Pacific Corporation
2024-11-22,240.0,242.67,239.47,242.39,2664900,UNP,Union Pacific Corporation
2024-11-21,234.070007,239.92999,233.67,239.020004,3490700,UNP,Union Pacific Corporation
2024-11-20,233.47,234.32001,231.84,233.56,1158000,UNP,Union Pacific Corporation
2024-11-19,233.14,234.089996,231.86,233.28999,1773900,UNP,Union Pacific Corporation
2024-11-18,235.080002,235.46001,233.88,234.41,1401400,UNP,Union Pacific Corporation
2024-11-15,234.88,237.83,234.0,235.57001,2068500,UNP,Union Pacific Corporation
2024-11-14,240.25999,241.089996,234.82001,235.58,2766000,UNP,Union Pacific Corporation
2024-11-13,239.41,240.92999,238.31,240.41,2563900,UNP,Union Pacific Corporation
2024-11-12,242.35001,242.64,238.59,238.91,2362900,UNP,Union Pacific Corporation
2024-11-11,243.86,245.94,241.84,241.95,3299100,UNP,Union Pacific Corporation
2024-11-08,241.96001,244.13,240.81,241.49001,2209300,UNP,Union Pacific Corporation
2024-11-07,249.3,249.89,242.2,242.56,2921300,UNP,Union Pacific Corporation
2024-11-06,248.080002,251.72,242.35001,248.49001,5318700,UNP,Union Pacific Corporation
2024-11-05,230.60001,233.89,229.5,233.87,1483700,UNP,Union Pacific Corporation
2024-11-04,231.95,233.23,229.44,229.91,2195600,UNP,Union Pacific Corporation
2024-11-01,233.55,234.84,232.3,232.69,2653300,UNP,Union Pacific Corporation
2024-10-31,230.74001,233.84,230.28999,232.070007,2594700,UNP,Union Pacific Corporation
2024-10-30,231.5,234.64999,231.28,232.17,3079400,UNP,Union Pacific Corporation
