datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,103.67,104.7,103.35,103.39,994900,VLTO,Veralto
2025-01-30,103.63,104.4,102.99,103.85,881500,VLTO,Veralto
2025-01-29,103.39,104.0,102.63,102.85,891700,VLTO,Veralto
2025-01-28,103.32,104.48,102.6,103.45,1265900,VLTO,Veralto
2025-01-27,101.94,103.38,101.76,103.28,2060300,VLTO,Veralto
2025-01-24,102.86,103.11,101.31,101.75,1441500,VLTO,Veralto
2025-01-23,102.75,103.69,102.099998,103.27,1680100,VLTO,Veralto
2025-01-22,103.16,103.425,102.43,102.71,1190400,VLTO,Veralto
2025-01-21,102.81,103.55,102.059998,103.089996,1761300,VLTO,Veralto
2025-01-17,104.25,104.435,102.9,102.94,1372700,VLTO,Veralto
2025-01-16,102.71,104.46,102.019997,104.050003,1369700,VLTO,Veralto
2025-01-15,104.2,104.78,102.34,102.55,1718100,VLTO,Veralto
2025-01-14,100.82,102.49,100.48,102.37,996100,VLTO,Veralto
2025-01-13,100.12,101.36,99.77,101.14,1370200,VLTO,Veralto
2025-01-10,100.89,101.216,99.83,100.099998,1272100,VLTO,Veralto
2025-01-08,101.65,102.050003,100.2,102.0,1034900,VLTO,Veralto
2025-01-07,101.010002,101.959,100.32,101.65,1313500,VLTO,Veralto
2025-01-06,100.69,101.41,99.99,101.17,1180400,VLTO,Veralto
2025-01-03,100.29,101.195,99.8,100.8,903000,VLTO,Veralto
2025-01-02,102.55,102.55,100.15,100.59,1315200,VLTO,Veralto
2024-12-31,102.18,102.55,101.339,101.85,644000,VLTO,Veralto
2024-12-30,102.36,102.5,101.091003,102.010002,528600,VLTO,Veralto
2024-12-27,102.9,103.67,102.44,103.12,608800,VLTO,Veralto
2024-12-26,102.86,104.080002,102.75,103.87,580100,VLTO,Veralto
2024-12-24,102.85,103.49,102.33,103.49,277500,VLTO,Veralto
2024-12-23,103.099998,103.99,102.2,102.89,949100,VLTO,Veralto
2024-12-20,101.36,104.54,101.3,104.25,4807300,VLTO,Veralto
2024-12-19,101.059998,102.52,100.0,101.33,1738600,VLTO,Veralto
2024-12-18,103.48,103.74,101.16,101.23,2211700,VLTO,Veralto
2024-12-17,103.69,104.47,102.6,103.46,2706400,VLTO,Veralto
2024-12-16,104.57,105.94,103.94,104.23,1247200,VLTO,Veralto
2024-12-13,105.51,105.76,104.2,104.22,756300,VLTO,Veralto
2024-12-12,105.0,106.56,104.56,105.79,859400,VLTO,Veralto
