datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,287.64001,289.85999,286.5,287.44,651400,VRSK,Verisk Analytics
2025-01-30,284.079987,288.39999,284.079987,288.079987,652200,VRSK,Verisk Analytics
2025-01-29,283.16,284.67001,281.32999,282.59,600600,VRSK,Verisk Analytics
2025-01-28,284.57001,285.73001,276.60999,281.85001,633300,VRSK,Verisk Analytics
2025-01-27,278.92999,286.45001,278.67001,285.45999,753800,VRSK,Verisk Analytics
2025-01-24,277.42999,279.97,276.51999,278.92999,404500,VRSK,Verisk Analytics
2025-01-23,279.35001,279.87,274.82001,277.98001,498500,VRSK,Verisk Analytics
2025-01-22,281.049988,282.13,279.14999,279.35001,547900,VRSK,Verisk Analytics
2025-01-21,278.79999,280.76001,278.35999,280.059998,684300,VRSK,Verisk Analytics
2025-01-17,282.059998,282.059998,277.76999,278.54999,670700,VRSK,Verisk Analytics
2025-01-16,273.98999,279.14999,273.38,278.47,666900,VRSK,Verisk Analytics
2025-01-15,275.5,276.5,272.39001,273.81,855700,VRSK,Verisk Analytics
2025-01-14,275.12,276.29999,271.60001,273.48999,623500,VRSK,Verisk Analytics
2025-01-13,267.39999,275.70999,266.19,275.47,876000,VRSK,Verisk Analytics
2025-01-10,278.56,280.32999,268.41,268.63,1139600,VRSK,Verisk Analytics
2025-01-08,274.70999,280.62,273.32001,280.42001,1101200,VRSK,Verisk Analytics
2025-01-07,272.81,274.0,271.25,273.51999,713700,VRSK,Verisk Analytics
2025-01-06,274.01001,275.48999,272.14001,273.0,860700,VRSK,Verisk Analytics
2025-01-03,273.5,277.76999,272.85999,276.28,791100,VRSK,Verisk Analytics
2025-01-02,275.98001,277.82999,273.39001,273.39001,1013500,VRSK,Verisk Analytics
2024-12-31,276.45001,277.79001,273.62,275.42999,576000,VRSK,Verisk Analytics
2024-12-30,276.79999,278.41,273.29999,275.73999,699900,VRSK,Verisk Analytics
2024-12-27,276.54001,278.79999,275.22,277.29999,480100,VRSK,Verisk Analytics
2024-12-26,277.26001,279.45999,276.079987,278.38,319700,VRSK,Verisk Analytics
2024-12-24,276.17999,279.019989,275.049988,278.54999,249800,VRSK,Verisk Analytics
2024-12-23,277.0,277.19,274.17001,276.70999,501100,VRSK,Verisk Analytics
2024-12-20,274.35001,279.60999,273.23999,276.85999,1713900,VRSK,Verisk Analytics
2024-12-19,273.85001,277.75,273.85001,275.57999,908000,VRSK,Verisk Analytics
2024-12-18,279.95999,280.39001,275.48999,275.56,805200,VRSK,Verisk Analytics
2024-12-17,281.35999,282.51999,278.79999,280.22,1343800,VRSK,Verisk Analytics
2024-12-16,283.75,284.70001,280.94,281.35999,808600,VRSK,Verisk Analytics
