datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,9.95,10.75,9.52,10.28,91510600,WBA,Walgreens Boots Alliance
2025-01-30,11.25,11.6,11.25,11.46,17338000,WBA,Walgreens Boots Alliance
2025-01-29,10.88,11.42,10.87,11.25,16862800,WBA,Walgreens Boots Alliance
2025-01-28,11.27,11.32,10.7,10.89,19020700,WBA,Walgreens Boots Alliance
2025-01-27,11.98,12.13,10.66,11.34,36468400,WBA,Walgreens Boots Alliance
2025-01-24,11.65,11.87,11.56,11.87,12999000,WBA,Walgreens Boots Alliance
2025-01-23,11.61,12.09,11.48,11.74,17669200,WBA,Walgreens Boots Alliance
2025-01-22,11.25,11.64,11.13,11.62,20153400,WBA,Walgreens Boots Alliance
2025-01-21,11.72,11.74,10.77,11.37,50854600,WBA,Walgreens Boots Alliance
2025-01-17,13.03,13.25,12.43,12.52,34974400,WBA,Walgreens Boots Alliance
2025-01-16,12.4,12.97,12.32,12.93,18807000,WBA,Walgreens Boots Alliance
2025-01-15,12.46,12.57,12.02,12.53,24092800,WBA,Walgreens Boots Alliance
2025-01-14,11.93,12.35,11.74,12.24,33235700,WBA,Walgreens Boots Alliance
2025-01-13,11.65,11.94,10.96,11.9,36278300,WBA,Walgreens Boots Alliance
2025-01-10,10.6,12.0,10.5,11.76,104115900,WBA,Walgreens Boots Alliance
2025-01-08,9.5,9.55,9.2,9.22,22071500,WBA,Walgreens Boots Alliance
2025-01-07,9.58,10.1,9.55,9.67,20448300,WBA,Walgreens Boots Alliance
2025-01-06,9.6,9.97,9.41,9.47,21102800,WBA,Walgreens Boots Alliance
2025-01-03,9.2,9.52,9.13,9.5,14320700,WBA,Walgreens Boots Alliance
2025-01-02,9.39,9.59,9.07,9.19,17482500,WBA,Walgreens Boots Alliance
2024-12-31,9.3,9.51,9.22,9.33,12616500,WBA,Walgreens Boots Alliance
2024-12-30,9.48,9.53,9.23,9.26,13992700,WBA,Walgreens Boots Alliance
2024-12-27,9.6,9.73,9.54,9.62,11621000,WBA,Walgreens Boots Alliance
2024-12-26,9.15,9.7,9.14,9.68,15705800,WBA,Walgreens Boots Alliance
2024-12-24,9.26,9.29,9.12,9.19,8724500,WBA,Walgreens Boots Alliance
2024-12-23,9.49,9.54,9.19,9.3,18506100,WBA,Walgreens Boots Alliance
2024-12-20,9.35,9.62,9.28,9.55,29994300,WBA,Walgreens Boots Alliance
2024-12-19,9.61,9.77,9.3,9.35,19414400,WBA,Walgreens Boots Alliance
2024-12-18,9.89,10.15,9.63,9.7,25829900,WBA,Walgreens Boots Alliance
2024-12-17,10.04,10.39,9.54,9.97,31030000,WBA,Walgreens Boots Alliance
2024-12-16,10.2,10.2,9.85,10.18,26161300,WBA,Walgreens Boots Alliance
2024-12-13,9.65,10.45,9.41,10.39,38949000,WBA,Walgreens Boots Alliance
2024-12-12,9.84,10.02,9.56,9.73,20052300,WBA,Walgreens Boots Alliance
2024-12-11,9.96,10.37,9.54,9.84,44671700,WBA,Walgreens Boots Alliance
2024-12-10,8.85,11.3,8.54,10.42,104973100,WBA,Walgreens Boots Alliance
2024-12-09,8.65,9.12,8.57,8.85,22174300,WBA,Walgreens Boots Alliance
2024-12-06,8.65,8.82,8.46,8.56,15912800,WBA,Walgreens Boots Alliance
2024-12-05,8.79,8.87,8.35,8.47,24911100,WBA,Walgreens Boots Alliance
2024-12-04,8.95,9.1,8.73,8.74,14373100,WBA,Walgreens Boots Alliance
2024-12-03,9.02,9.07,8.79,8.95,14916900,WBA,Walgreens Boots Alliance
2024-12-02,9.0,9.07,8.87,8.98,18652400,WBA,Walgreens Boots Alliance
2024-11-29,9.08,9.19,8.98,9.02,10057000,WBA,Walgreens Boots Alliance
2024-11-27,8.77,9.08,8.77,9.06,13827900,WBA,Walgreens Boots Alliance
2024-11-26,8.96,8.97,8.65,8.73,17438100,WBA,Walgreens Boots Alliance
2024-11-25,8.74,9.15,8.69,9.06,29645100,WBA,Walgreens Boots Alliance
2024-11-22,8.33,8.69,8.21,8.66,20106600,WBA,Walgreens Boots Alliance
2024-11-21,8.26,8.33,8.08,8.3,19346800,WBA,Walgreens Boots Alliance
2024-11-20,8.24,8.33,8.11,8.24,25808900,WBA,Walgreens Boots Alliance
2024-11-19,8.52,8.68,8.25,8.29,22487200,WBA,Walgreens Boots Alliance
2024-11-18,8.25,8.95,8.2,8.66,25253100,WBA,Walgreens Boots Alliance
2024-11-15,8.89,8.9,8.46,8.48,22188400,WBA,Walgreens Boots Alliance
2024-11-14,9.09,9.12,8.74,8.81,19596700,WBA,Walgreens Boots Alliance
2024-11-13,9.03,9.25,8.98,9.03,16756000,WBA,Walgreens Boots Alliance
2024-11-12,9.25,9.38,8.91,9.01,22423500,WBA,Walgreens Boots Alliance
2024-11-11,9.15,9.56,9.04,9.39,20371600,WBA,Walgreens Boots Alliance
2024-11-08,9.25,9.39,9.05,9.07,21096300,WBA,Walgreens Boots Alliance
2024-11-07,9.38,9.59,9.25,9.27,19195100,WBA,Walgreens Boots Alliance
2024-11-06,9.83,9.85,9.21,9.23,21728900,WBA,Walgreens Boots Alliance
2024-11-05,9.29,9.62,9.17,9.62,18324700,WBA,Walgreens Boots Alliance
2024-11-04,9.51,9.69,9.31,9.33,12252900,WBA,Walgreens Boots Alliance
2024-11-01,9.56,9.57,9.36,9.46,12190100,WBA,Walgreens Boots Alliance
2024-10-31,9.24,9.5,9.08,9.46,17058600,WBA,Walgreens Boots Alliance
2024-10-30,9.29,9.45,9.23,9.24,13504000,WBA,Walgreens Boots Alliance
2024-10-29,9.34,9.67,9.26,9.35,17788500,WBA,Walgreens Boots Alliance
2024-10-28,9.38,9.55,9.29,9.44,16275200,WBA,Walgreens Boots Alliance
2024-10-25,9.37,9.57,9.25,9.26,18012300,WBA,Walgreens Boots Alliance
2024-10-24,9.39,9.59,9.27,9.34,19522100,WBA,Walgreens Boots Alliance
2024-10-23,9.68,9.73,9.26,9.35,26213900,WBA,Walgreens Boots Alliance
2024-10-22,10.4,10.54,9.62,9.73,37311500,WBA,Walgreens Boots Alliance
2024-10-21,10.78,10.8,10.44,10.45,19985300,WBA,Walgreens Boots Alliance
2024-10-18,10.67,10.89,10.32,10.79,21827300,WBA,Walgreens Boots Alliance
2024-10-17,10.97,11.06,10.34,10.66,32179900,WBA,Walgreens Boots Alliance
2024-10-16,10.47,11.11,10.25,11.07,49804600,WBA,Walgreens Boots Alliance
