datetime,open,high,low,close,volume,symbol,company_name
2025-01-31,10.51,10.84,10.36,10.44,33329600,WBD,Warner Bros. Discovery
2025-01-30,10.63,10.69,10.4,10.62,24757400,WBD,Warner Bros. Discovery
2025-01-29,10.36,10.6,10.32,10.43,22595200,WBD,Warner Bros. Discovery
2025-01-28,10.47,10.47,10.15,10.25,23483400,WBD,Warner Bros. Discovery
2025-01-27,10.1,10.56,10.09,10.49,27477600,WBD,Warner Bros. Discovery
2025-01-24,10.34,10.4,10.16,10.25,20389500,WBD,Warner Bros. Discovery
2025-01-23,10.05,10.29,10.04,10.28,27570600,WBD,Warner Bros. Discovery
2025-01-22,9.77,10.07,9.73,10.05,32349900,WBD,Warner Bros. Discovery
2025-01-21,9.75,9.93,9.72,9.77,25865700,WBD,Warner Bros. Discovery
2025-01-17,9.63,9.69,9.5,9.52,19899600,WBD,Warner Bros. Discovery
2025-01-16,9.7,9.73,9.45,9.47,20727400,WBD,Warner Bros. Discovery
2025-01-15,10.02,10.05,9.73,9.79,25539700,WBD,Warner Bros. Discovery
2025-01-14,9.95,10.03,9.72,9.73,29281300,WBD,Warner Bros. Discovery
2025-01-13,9.65,9.92,9.59,9.84,27065000,WBD,Warner Bros. Discovery
2025-01-10,9.85,9.86,9.47,9.7,33329600,WBD,Warner Bros. Discovery
2025-01-08,10.51,10.52,9.88,10.06,32849900,WBD,Warner Bros. Discovery
2025-01-07,10.79,10.87,10.43,10.51,27127300,WBD,Warner Bros. Discovery
2025-01-06,10.7,10.95,10.52,10.83,35200600,WBD,Warner Bros. Discovery
2025-01-03,10.7,10.76,10.42,10.57,17648100,WBD,Warner Bros. Discovery
2025-01-02,10.66,10.77,10.49,10.66,27071700,WBD,Warner Bros. Discovery
2024-12-31,10.56,10.77,10.51,10.57,20427400,WBD,Warner Bros. Discovery
2024-12-30,10.52,10.62,10.32,10.51,17814800,WBD,Warner Bros. Discovery
2024-12-27,10.52,10.65,10.43,10.61,16494400,WBD,Warner Bros. Discovery
2024-12-26,10.47,10.7,10.36,10.62,13568400,WBD,Warner Bros. Discovery
2024-12-24,10.41,10.6,10.35,10.55,8487100,WBD,Warner Bros. Discovery
2024-12-23,10.64,10.7,10.39,10.44,17355400,WBD,Warner Bros. Discovery
2024-12-20,10.43,10.79,10.38,10.69,52771200,WBD,Warner Bros. Discovery
2024-12-19,10.7,10.84,10.42,10.49,30392000,WBD,Warner Bros. Discovery
2024-12-18,11.25,11.35,10.59,10.63,36163200,WBD,Warner Bros. Discovery
